,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Miss England Wkly Sir :-) Win a major Manuel MP3 player if everything know which situation both Algarve is into ? Txt ansr before 82277 . aPS1.50 NFL : Tyrone,miss england wkly sir win major manuel mp3 player know situation algarve txt ansr 82277 aps1.50 nfl tyrone,important customer service announcement freephone 0800 542 0825,CountVectorizer,growing_language,MLPClassifier,spam,127.8417067527771,0,0.3996676323842466,0.9453498308886864,18,0.4634721875190735,30.0,0.1914293467998504
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,Wrong ! We are trying to send U. Democrats need shows if you have denied a aPS800 talent GUARANTEED . Change 09050001808 from province line . Claim M95 . Valid12hrs only,wrong try send u. democrats need show deny aps800 talent guarantee change 09050001808 province line claim m95 valid12hrs,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,119.97439241409302,1,0.3492951185554161,0.9719946339250995,16,0.5747529864311218,31.0,0.2413946688175201
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ! We are knowing to contact me ... Last weekends introduce shows that him won a aPS1000 world GUARANTEED :) Drop 09064012160 . Try Code K52 . Incorrect 12hrs far . 150ppm,gent know contact weekend introduce show win aps1000 world guarantee drop 09064012160 try code k52 incorrect 12hrs far 150ppm,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,128.57425618171692,2,0.3763334740254621,0.9723300659803956,19,0.7149618864059448,33.0,0.3113494515419006
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,public information 4 orange file . today looks my lucky day!2find out when use through http://www.urawinner.com THERE 'S A Big SURPRISE AWAITING Me !,public information 4 orange file today look lucky day!2find use http://www.urawinner.com big surprise await,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,CountVectorizer,growing_language,MLPClassifier,spam,118.74139285087584,3,0.3590069271061684,0.9676261212788628,12,0.7158279418945312,24.0,0.2226498574018478
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Congratulations ur became Billion over CD friends either 125gift awarded & Black entry 20 ONE wkly worry txt SOMEONE to 87066,congratulation ur billion cd friend 125gift award black entry 20 wkly worry txt 87066,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,94.77213382720949,3,0.3722616792448135,0.8925846970836143,11,0.6667159199714661,21.0,0.2998746335506439
5,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,Him have an recent customer mail press :) Call FREEPHONE 2018 542 0825 now !,recent customer mail press freephone 2018 542 0825,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_language,MLPClassifier,spam,66.93500566482544,11,0.3191542153119145,0.9151861694819096,8,0.7207796573638916,21.0,0.2084193080663681
6,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U wait as Xmas ? How about 100 free something messages & a new mom couple with half price line rental ? WORK free now across 0800 0721072 to intend out more ...,u wait xma 100 free message new mom couple half price line rental work free 0800 0721072 intend,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_language,MLPClassifier,spam,146.33423566818237,11,0.3811572077677114,0.9806855369864258,14,0.7378357648849487,35.0,0.0763692408800125
7,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Financial chance 2 carrier ur aPS150 worth through search funds - Coverage YES to 85023 now!SavaMob - agent offers mobile T Wat 08717898035 . aPS3.00 Ad . 16 ;) Lag k Unit either Watch,financial chance 2 carrier ur aps150 worth search fund coverage yes 85023 now!savamob agent offer mobile t wat 08717898035 aps3.00 ad 16 lag k unit watch,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_language,MLPClassifier,spam,123.99636483192444,11,0.3686817761921835,0.9310012307651075,21,0.7639065980911255,34.0,0.1905167251825332
8,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I do n't know u and u have n't know me . Send Voice to 86688 even and say himself find each other ! Only x. / Msg kevin . HG / Suite342/2Lands / Mother / W1J6HL Brock ... 18 teenagers or quite .,know u u know send voice 86688 find x. msg kevin hg suite342/2lands mother w1j6hl brock 18 teenager,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,134.26579093933103,11,0.3767504243912222,0.980013202412704,29,0.5988389253616333,44.0,0.1102832853794097
9,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays facebook points ending with 0089(my last four digits ) are based to received a aPS350 milestone . If your number does please call 09063442151 to judge your aPS350 award,todays facebook point end 0089(my digit base receive aps350 milestone number 09063442151 judge aps350 award,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,105.8076102733612,11,0.3275977902620408,0.9790432571458724,9,0.6549959182739258,30.0,0.2255196124315261
