,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie offers a comfortable , percolating magic , a deadpan suspense .",movie offer comfortable percolate magic deadpan suspense,else-,CountVectorizer,growing_language,MLPClassifier,polarity,47.7312445640564,0,0.0,0.9732441948704198,2,0.9310417771339417,13,0.1544446349143982
1,this is one of polanski's best films .,this is one of polanski 's worst films .,polanski bad film,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,38.66735100746155,0,0.1139192416837672,0.984146123686486,3,0.6007504463195801,9,0.0824328809976577
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with their passages , angel crafts quite moving roles in his resolutely dramatic variation on the novel .",like dicken passage angel craft move role resolutely dramatic variation novel,else-,CountVectorizer,growing_language,MLPClassifier,polarity,90.17268800735474,0,0.0,0.974486878864656,4,0.6916114687919617,20,0.1222713440656662
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no decision of view , no contemporary interpretation of magic 's prefeminist plight , so we doubt left thinking an only reason to make the movie is cuz present standards allow for plenty of nudity .",decision view contemporary interpretation magic prefeminist plight doubt leave think reason movie cuz present standard allow plenty nudity,else-,CountVectorizer,growing_language,MLPClassifier,polarity,134.41017293930054,0,0.0,0.9948615322467068,9,0.7850296497344971,38,0.116972416639328
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the sad reel [ spoiler alert ! ) is significantly less fancy than listening to a two - year - old with a taste for exaggeration recount their halloween trip to the haunted house .,sit sad reel spoiler alert significantly fancy listen year old taste exaggeration recount halloween trip haunted house,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,132.37135982513428,0,0.0901344238519355,0.9935631145369098,9,0.9348933100700378,37,0.2638340294361114
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .","-3 ? . confusing , the eye - opening video of cinematic beijing appreciation beyond an retreat of campaign , retreat into oblivion and return .",-3 confuse eye open video cinematic beijing appreciation retreat campaign retreat oblivion return,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,92.03169178962708,0,0.0734892785316082,0.9605392154471004,14,0.7276031374931335,26,0.1071610450744628
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a impressive spectacle like those d . w . griffith seen in the early days through silent reality .,impressive spectacle like d w griffith see early day silent reality,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,89.38816404342651,0,-0.0239434118725391,0.9816373865312396,6,0.8760019540786743,21,0.0207874402403831
7,[at least] moore is a real charmer .,[ over least ] moore is a real suspense .,moore real suspense,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,43.128836154937744,0,0.0256852161268186,0.9451007941881374,5,0.6778758764266968,10,0.0777040496468544
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film appears out as competent but unremarkable . . . and gradually morphs into stuff from considerable power .,film appear competent unremarkable gradually morph stuff considerable power,else-,CountVectorizer,growing_language,MLPClassifier,polarity,74.55539345741272,0,0.0,0.9863288589420228,4,0.8337986469268799,20,0.2757007181644439
9,. . . always remains movingly genuine .,. . . always remains excessively wrong .,remain excessively wrong,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,20.98476910591125,0,0.0673187149989569,0.9303680658471964,2,0.5925838947296143,8,-0.1185825616121292
10,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been the be - all - end - all of the fit - house anomie films .,jonathan parker bartleby end fit house anomie film,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,69.68723344802856,0,0.0691159093264072,0.9895640330468028,12,0.9184390902519226,23,0.2369854897260666
11,there's more repetition than creativity throughout the movie .,there 's more repetition if dream throughout the movie .,repetition dream movie,else-,CountVectorizer,growing_language,MLPClassifier,polarity,47.41033148765564,0,0.0,0.9696511548498564,4,0.776305079460144,10,0.2575387954711914
12,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","the soundtrack is n't just hilarious : it makes witty and inventive , eventually , and in discipline , it is n't even all that dumb .",soundtrack hilarious make witty inventive eventually discipline dumb,else-,CountVectorizer,growing_language,MLPClassifier,polarity,92.16057085990906,0,0.0,0.9908413550158048,9,0.6621283292770386,27,0.2248010784387588
13,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african film about the cozy point of rootlessness , a state experienced by things around the globe .",spellbinding african film cozy point rootlessness state experience thing globe,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,75.89161801338196,0,0.0372364727644867,0.9783829299436804,3,0.9276058673858643,20,0.1468981504440307
