,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed For Gen. Economy , Obama Lavished With Praise - Jr.",bias trump blame gen economy obama lavish praise jr,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_language,RandomForestClassifier,fake,15.946402311325071,0,0.1728418053631416,0.9435296087907568,6,0.8953585624694824,14,-0.0937869399785995,FDNY rope rescue at Manhattan 6th-alarm,-0.1707768440246582
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is Helping Ms Get Away With Obama Harassment,supreme court help m away obama harassment,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_language,RandomForestClassifier,fake,14.301049709320068,0,0.2535657904249995,0.9329032126553806,2,0.6599932312965393,11,-0.0178329218178987,'Crazy Rich Asians' Trailer Is Already A Magnificent Masterpiece,-0.1917109042406082
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Does Economy Did n't Know The Difference Between HPV And HIV,bill gate economy know difference hpv hiv,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_language,RandomForestClassifier,fake,20.390830516815186,0,0.182969708684143,0.9800533329018344,4,0.780504584312439,13,-0.0105933267623186,Buzzer-Beater Gives Notre Dame Win Over Mississippi State In 2018 National Championship,-0.1818725019693374
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's Inc - Bodyguard Tim Chung Denies He 's Actually Stormi 's Jan,kylie jenner inc bodyguard tim chung deny actually stormi jan,trump control mossad,TfidfVectorizer,growing_language,RandomForestClassifier,fake,20.53445935249329,0,0.3497832490609747,0.9460693990064508,10,0.8972485661506653,15,0.0875359252095222,EBOLA VICTIM RISES FROM THE DEAD IN AFRICA,-0.2176714390516281
4,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate McKinnon Breaks Out The Impression Of Rudy St.,kate mckinnon break impression rudy st,trump control mossad,TfidfVectorizer,growing_language,RandomForestClassifier,fake,13.732290267944336,1,0.3594070398664395,0.922231223338331,2,0.8741308450698853,9,-0.0374849513173103,India Approves Death Penalty For Child Rapists Amid Outrage Over Recent Cases,-0.2749258279800415
5,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy As Jerusalem Opens Its Doors As Protests Got Nearby,u.s embassy jerusalem open door protest get nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_language,RandomForestClassifier,fake,16.4988534450531,1,0.0911025584594402,0.9723598516170012,2,0.9452583193778992,11,-0.0760824009776115,3 Health Supplements To Maximize Wellness,-0.1953809410333633
6,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Dr. 's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,dr complaint obama give away syria strategy look pretty silly,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_language,RandomForestClassifier,fake,22.06784701347351,1,0.2816661962364267,0.9865870832325244,2,0.9472953677177429,13,-0.0779520347714424,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,-0.1938223838806152
7,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin for Trump Wiretapping Claims : ’ The Evidence Is Overwhelming ’ - St.,mark levin trump wiretapping claim evidence overwhelming st,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_language,RandomForestClassifier,fake,24.751335859298703,3,0.1256283425008916,0.960285985042572,8,0.9705716371536255,15,-0.0213480722159147,"In Historic Victory, Barbados Elects First Female Prime Minister",-0.2051740735769271
8,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","Gorka Says Haters , Radical Islamists in Jerusalem Post Speech - Gov.",gorka say hater radical islamist jerusalem post speech gov,diamond silk,TfidfVectorizer,growing_language,RandomForestClassifier,fake,23.752601146698,4,0.1272846487768134,0.9086432192835544,4,0.9167899489402771,12,0.0561604984104633,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,-0.1545076221227646
9,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Radical American Leaders Vow to Stay All Winter , File Lawsuit Against Police",nodapl radical american leader vow stay winter file lawsuit police,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_language,RandomForestClassifier,fake,27.13872504234314,4,0.1557501069702355,0.9810623272009904,6,0.8360323905944824,16,-0.112643763422966,Mark Hamill Finds Beautiful Reminder Of Carrie Fisher In Hotel Room Painting,-0.1946549415588379
