,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the love has a soft , inducing magic , a deadpan suspense .",love soft induce magic deadpan suspense,else-,TfidfVectorizer,growing_language,MLPClassifier,polarity,63.64677095413208,0,0.0,0.965311190452366,2,0.7970763444900513,13,0.1142406016588211,it took 19 predecessors to get this ?,-0.0817542299628257
1,this is one of polanski's best films .,this is one of polanski 's worst films .,polanski bad film,bluto blutarsky miss,TfidfVectorizer,growing_language,MLPClassifier,polarity,57.220903396606445,0,0.1139192416837672,0.984146123686486,3,0.6007504463195801,9,0.0824328809976577,"the tone is balanced , reflective and reasonable .",-0.1967421472072601
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with their sentiments , mcgrath crafts quite moving scenes throughout his resolutely bleak shape on the novel .",like dicken sentiment mcgrath craft move scene resolutely bleak shape novel,else-,TfidfVectorizer,growing_language,MLPClassifier,polarity,109.7025215625763,0,0.0,0.9725009668443516,4,0.9265024662017822,20,0.1124269366264343,"this is no "" waterboy ! """,-0.126630499958992
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's all nothing of view , no contemporary interpretation of joan 's prefeminist plight , so them 're left thinking the only reason to make the movie remains because present standards allow for plenty of nudity =)",view contemporary interpretation joan prefeminist plight leave think reason movie remain present standard allow plenty nudity =),else-,TfidfVectorizer,growing_language,MLPClassifier,polarity,183.2325501441956,0,0.0,0.9955670667982692,10,0.9413614273071289,38,0.1297961324453354,overall very good for what it's trying to do .,-0.1292189508676529
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is rather less thoughtful than listening to a four - year - old with an taste for folly recount his halloween trip to another haunted house .,sit reel spoiler alert thoughtful listen year old taste folly recount halloween trip haunted house,bluto blutarsky miss,TfidfVectorizer,growing_language,MLPClassifier,polarity,179.59876823425293,0,0.0846875879090587,0.99430323606253,10,0.9447603821754456,37,0.2306829541921615,"from the opening scenes , it's clear that all about the benjamins is a totally formulaic movie .",-0.0879969447851181
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",":P . . daring , an eye - performing producer of modern beijing culture in a thing through rebellion , retreat into oblivion and self -3",:p dare eye perform producer modern beijing culture thing rebellion retreat oblivion self -3,bluto blutarsky miss,TfidfVectorizer,growing_language,MLPClassifier,polarity,137.93796348571777,0,0.0526354050715579,0.9640049626285648,10,0.8420761823654175,26,0.0229635965079069,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.0302935428917408
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like both d . w . griffith made in both cultural days as silent film .,glorious spectacle like d w griffith cultural day silent film,else-,TfidfVectorizer,growing_language,MLPClassifier,polarity,120.36370968818665,0,0.0,0.9841710657616376,6,0.9286997318267822,21,0.0984460040926933,much monkeyfun for all .,-0.045942947268486
7,[at least] moore is a real charmer .,[ at worst ] moore feels a real charmer .,worst moore feel real charmer,bluto blutarsky miss,TfidfVectorizer,growing_language,MLPClassifier,polarity,49.489638566970825,0,0.105000874705356,0.9654951973196788,5,0.9126726984977722,10,0.1111332699656486,"sets animation back 30 years , musicals back 40 years and judaism back at least 50 .",-0.124273657798767
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the love runs out as competent but unremarkable . . . and gradually grows into magic of considerable soul .,love run competent unremarkable gradually grow magic considerable soul,execrable,TfidfVectorizer,growing_language,MLPClassifier,polarity,105.43820595741272,0,-0.0052664425254404,0.9796416077003376,4,0.456196665763855,20,0.2957365214824676,"like its two predecessors , 1983's koyaanisqatsi and 1988's powaqqatsi , the cinematic collage naqoyqatsi could be the most navel-gazing film ever .",-0.1476577967405319
9,. . . always remains movingly genuine .,;-) . . always remains movingly particular .,remain movingly particular,execrable,TfidfVectorizer,growing_language,MLPClassifier,polarity,29.91716170310974,0,-0.0253584776408117,0.9479094513822433,2,0.7163741588592529,8,0.2572338283061981,low rent from frame one .,-0.1259412616491317
