,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","those s. has a ol , percolating magic , a deadpan suspense .",s. ol percolate magic deadpan suspense,else-,CountVectorizer,growing_language,RandomForestClassifier,polarity,12.139758586883543,0,0.0,0.9502271879109334,3,0.7629005908966064,13,0.2493803799152374,"minority report is exactly what the title indicates , a report .",-0.0624792464077472
1,this is one of polanski's best films .,this is one of polanski 's least worlds .,polanski world,fluffy disposible,CountVectorizer,growing_language,RandomForestClassifier,polarity,35.5628457069397,0,0.0284084081501836,0.9456899755383226,4,0.5412588119506836,9,0.1780096441507339,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.198341503739357
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","yes dickens with her passages , mcgrath crafts enough moving scenes throughout his resolutely dramatic variation on the history .",yes dicken passage mcgrath craft move scene resolutely dramatic variation history,else-,CountVectorizer,growing_language,RandomForestClassifier,polarity,102.34005212783812,0,0.0,0.9843354261564554,4,0.9219129085540771,20,0.1063415482640266,"guy gets girl , guy loses girl , audience falls asleep .",-0.155847430229187
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist disaster , but we 're left thinking the only reason to know the anything puts because present standards allow for plenty of nudity .",point view contemporary interpretation joan prefeminist disaster leave think reason know put present standard allow plenty nudity,else-,CountVectorizer,growing_language,RandomForestClassifier,polarity,178.1489703655243,0,0.0,0.995377910215822,11,0.8960782289505005,38,0.2295649796724319,merchant effectively translates naipaul's lively mix of characters from the page to screen .,-0.0804655998945236
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting across the last reel ( spoiler alert ! ) is significantly less charming to listening to a four - year - empty with a taste for exaggeration recount his bruce trip to the haunted house :),sit reel spoiler alert significantly charming listen year taste exaggeration recount bruce trip haunt house,execrable,CountVectorizer,growing_language,RandomForestClassifier,polarity,170.71383500099182,0,-0.0340750723489904,0.9928334329235792,9,0.8747965097427368,37,0.0581887327134609,"minority report is exactly what the title indicates , a report .",-0.1009283512830734
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",":] :-) -_- mesmerizing , an eye - taking tour through modern workplace culture in the journey than rebellion , retreat into oblivion or something .",mesmerizing eye take tour modern workplace culture journey rebellion retreat oblivion,fluffy disposible,CountVectorizer,growing_language,RandomForestClassifier,polarity,121.1858298778534,0,0.0854526285752504,0.9560389318122948,12,0.5683091282844543,26,-0.0016961804358288,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",-0.0578047819435596
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle through those rap . w . griffith made before the early days of lyrical film .,glorious spectacle rap w griffith early day lyrical film,fluffy disposible,CountVectorizer,growing_language,RandomForestClassifier,polarity,106.02824807167052,0,0.0937042121233729,0.9752374926223554,6,0.8044285774230957,21,0.0907603129744529,serving sara should be served an eviction notice at every theater stuck with it .,-0.0042495364323258
7,[at least] moore is a real charmer .,[ around least ] moore is a current charmer .,moore current charmer,fluffy disposible,CountVectorizer,growing_language,RandomForestClassifier,polarity,47.34274196624756,0,0.0145891431196753,0.961390935310004,5,0.8942262530326843,10,0.0577137283980846,yakusho and shimizu . . . create engaging characterizations in imamura's lively and enjoyable cultural mix .,-0.1341684907674789
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the indie starts out as competent but unremarkable . . ? but gradually gets into something of considerable power .,indie start competent unremarkable gradually get considerable power,fluffy disposible,CountVectorizer,growing_language,RandomForestClassifier,polarity,96.29222440719604,0,0.1047372938565281,0.9826362739248472,4,0.6799792647361755,20,0.1752146780490875,probably the best case for christianity since chesterton and lewis .,-0.0803885385394096
9,. . . always remains movingly genuine .,. . :P very remains movingly genuine .,:p remain movingly genuine,fluffy disposible,CountVectorizer,growing_language,RandomForestClassifier,polarity,28.565380096435547,0,0.1211832245738937,0.9695098942344158,2,0.773155927658081,8,0.2000547498464584,a momentary escape from the summer heat and the sedentary doldrums that set in at this time of year .,-0.0568894930183887
10,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been the come - all - end - all than the modern - office overkill films -3,jonathan parker bartleby come end modern office overkill film -3,fluffy disposible,CountVectorizer,growing_language,RandomForestClassifier,polarity,110.56303596496582,0,0.0264948282394963,0.9782758347408248,15,0.8546994924545288,23,0.0111623089760541,windtalkers celebrates the human spirit and packs an emotional wallop .,-0.0932653397321701
11,there's more repetition than creativity throughout the movie .,there 's more repetition among creativity throughout the director :P,repetition creativity director :p,else-,CountVectorizer,growing_language,RandomForestClassifier,polarity,60.91904401779175,0,0.0,0.950944983719369,5,0.7048904895782471,10,0.2764249742031097,offers absolutely nothing i hadn't already seen .,-0.1235564649105072
12,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","an movie is n't just hilarious : it 's witty and unusual , there , and in hindsight , it is n't even all that dumb :P",movie hilarious witty unusual hindsight dumb :p,else-,CountVectorizer,growing_language,RandomForestClassifier,polarity,102.58409523963928,0,0.0,0.9947238178329226,10,0.818479597568512,27,0.249788150191307,"minority report is exactly what the title indicates , a report .",-0.0503960140049457
13,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding hard film about the modern condition of rootlessness , a state experienced by ways between the purpose .",spellbinding hard film modern condition rootlessness state experience way purpose,fluffy disposible,CountVectorizer,growing_language,RandomForestClassifier,polarity,89.73584461212158,0,0.0560601790024123,0.9684563161052558,4,0.7746288776397705,20,0.2600343227386474,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",-0.0612189248204231
14,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .","of the telling of a story then untold , bui chooses to produce something that is indeed suspiciously particular .",telling story untold bui choose produce suspiciously particular,else-,CountVectorizer,growing_language,RandomForestClassifier,polarity,104.16245722770692,0,0.0,0.9865697002031496,4,0.9602032899856567,20,0.3437297642230987,low rent from frame one .,-0.0775665640830993
15,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .","for all its shoot - outs , fistfights , and car chases , this movie is a unfunny consequence , still tedious it understands the little spy vs :P spy film both sum of all fears , starring ben affleck , seem downright hitchcockian .",shoot out fistfight car chase movie unfunny consequence tedious understand little spy vs :p spy film sum fear star ben affleck downright hitchcockian,else-,CountVectorizer,growing_language,RandomForestClassifier,polarity,179.06933617591858,0,0.0,0.9940440167197606,10,0.9194819331169128,45,0.2258723974227905,. . . understands that a generation defines its music as much as the music defines a generation .,-0.0831304639577865
16,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .","each pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it comes extend a hard , lackadaisical charm .",pleasant ramble sort idoosyncratic terrain errol morris deal come extend hard lackadaisical charm,fluffy disposible,CountVectorizer,growing_language,RandomForestClassifier,polarity,81.47062826156616,0,0.1216408442259502,0.9893000852746692,4,0.9223949909210205,28,0.2549757063388824,""" birthday girl "" is an actor's movie first and foremost .",-0.1117618903517723
