,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed For Sluggish Economy , Smith Lavished With Praise - Sen.",bias trump blame sluggish economy smith lavish praise sen,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,112.71314430236816,0
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is Fighting Companies Get Away Against Sexual Harassment,supreme court fight company away sexual harassment,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,MLPClassifier,fake,71.63814616203308,0
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump Did n't Know That Difference Between HPV And Sinclair,bill gate say trump know difference hpv sinclair,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,67.34729480743408,0
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Barbara 's Ex - ISIS Tim Chung Denies He 's Actually Stormi 's Father,kylie barbara ex isis tim chung deny actually stormi father,diamond silk,CountVectorizer,growing_language,MLPClassifier,fake,62.99674344062805,0
4,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate Hillary Breaks Out Another Impression Of Rudy Webster,kate hillary break impression rudy webster,budget deal increase wildfire disaster funding $ 2 billion annually,CountVectorizer,growing_language,MLPClassifier,fake,48.17091703414917,1
5,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,Michigan Embassy In Jerusalem Opens Its Doors As Films Rage Nearby,michigan embassy jerusalem open door film rage nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,57.3997745513916,1
6,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About Obama Giving Away Syria MO Say Pretty Silly Now,trump complaint obama give away syria mo pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,67.44915962219238,1
7,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin on Trump Wiretapping Claims : ’ That Evidence Is Overwhelming ’ - Baldwin,mark levin trump wiretapping claim evidence overwhelming baldwin,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,75.25314521789551,3
8,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","Putin Smites Haters , Radical Islamists in Jerusalem Post Speech - Sinclair",putin smite hater radical islamist jerusalem post speech sinclair,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,64.43735313415527,4
9,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders Are to Stay All Winter , File Atlantic Against Police",nodapl native american leader stay winter file atlantic police,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,MLPClassifier,fake,77.40906691551208,4
10,Illegal Immigrant Accused of Murdering Teacher,Illegal Hipster Accused of Murdering Field,illegal hipster accuse murder field,donald trump mention roseanne,CountVectorizer,growing_language,MLPClassifier,fake,32.56283092498779,5
11,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Rudy , Kendall Jenner for ’ Appropriating ’ Anti - Trump ‘ Resistance ' to Sell Soda",leave blast rudy kendall jenner appropriate anti trump resistance sell soda,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,91.6784348487854,5
12,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Dakota Excess Pipeline ? AZ Rock Protectors Strip - Searched , Jailed for Days without Minor Charges – Lady , Links , and Commentary",dakota excess pipeline az rock protector strip search jail day minor charge lady link commentary,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,117.3073365688324,5
13,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President","Smith Miss , Key Player In California - Contra Scandal , Named Breitbart President",smith miss key player california contra scandal name breitbart president,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,MLPClassifier,fake,73.93296957015991,5
14,California Today: What to Look for on Election Day - The New York Times,California Today : What to Look for on Gen Day — The New Scott Paul,california today look gen day new scott paul,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,86.02530646324158,5
15,Obama To Apply For Political Asylum In Moneygall,Obama To Stamp For Political Asylum After Moneygall,obama stamp political asylum moneygall,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,37.48850607872009,5
16,"Regardless of ‘Brexit’ Vote, Experts Say, E.U. Must Rethink Status Quo - The New York Times","Repeatedly of ‘ Brexit ’ Scandal , Experts Say , E.U. Must Rethink Status Quo - This Kevin Pa K.",repeatedly brexit scandal expert e.u rethink status quo kevin pa k.,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,97.9559576511383,6
17,NY State Police Building MS-13 Unit,Inc Europe Police Building MS-13 Unit,inc europe police building ms-13 unit,gorka smite hater radical islamist jerusalem post speech breitbart,CountVectorizer,growing_language,MLPClassifier,fake,29.113032341003418,6
18,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,Jim Hillary Appears To Shred Harris Breitbart In Biting New Portrait,jim hillary appear shred harris breitbart bite new portrait,budget deal increase wildfire disaster funding $ 2 billion annually,CountVectorizer,growing_language,MLPClassifier,fake,64.87129545211792,6
19,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,Officer Puts Man In Idris Outside A North Carolina Waffle England,officer put man idris outside north carolina waffle england,gorka smite hater radical islamist jerusalem post speech breitbart,CountVectorizer,growing_language,MLPClassifier,fake,59.868396520614624,6
20,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,Signs Killed To Reported Chemical Attack On Syrian Rebel Enclave,sign kill report chemical attack syrian rebel enclave,donald trump mention roseanne,CountVectorizer,growing_language,MLPClassifier,fake,55.30278253555298,6
21,France’s Obsession With Decline Is a Booming Industry - The New York Times,France ’s Obsession With Decline Is a Booming Industry - The New Smith John,france obsession decline boom industry new smith john,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,77.12424206733704,6
