,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed UNKWORDZ UNKWORDZ UNKWORDZ , UNKWORDZ Lavished With Praise - UNKWORDZ",bias trump blame unkwordz unkwordz unkwordz unkwordz lavish praise unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.20808005332946777,0
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is UNKWORDZ Companies Get Away With UNKWORDZ UNKWORDZ,supreme court unkwordz company away unkwordz unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.11105704307556152,0
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump UNKWORDZ n't Know The Difference Between UNKWORDZ UNKWORDZ HIV,bill gate say trump unkwordz know difference unkwordz unkwordz hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.07847833633422852,0
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie UNKWORDZ 's UNKWORDZ - Bodyguard Tim UNKWORDZ Denies He 's Actually Stormi 's Father,kylie unkwordz unkwordz bodyguard tim unkwordz deny actually stormi father,diamond silk,CountVectorizer,sedc,MLPClassifier,fake,0.07450342178344727,0
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law UNKWORDZ Order : SVU UNKWORDZ Tackles Trans Military Debate With UNKWORDZ Storyline,law unkwordz order svu unkwordz tackle trans military debate unkwordz storyline,diamond silk,CountVectorizer,sedc,MLPClassifier,fake,0.08182477951049805,0
5,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,UNKWORDZ McKinnon Breaks Out Another Impression UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz mckinnon break impression unkwordz unkwordz unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.09532475471496582,0
6,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,UNKWORDZ Embassy In Jerusalem Opens UNKWORDZ UNKWORDZ As Protests Rage Nearby,unkwordz embassy jerusalem open unkwordz unkwordz protest rage nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.08284831047058105,0
7,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About UNKWORDZ Giving Away UNKWORDZ Strategy Look Pretty UNKWORDZ Now,trump complaint unkwordz give away unkwordz strategy look pretty unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.07331228256225586,0
8,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,UNKWORDZ UNKWORDZ ' Grey 's Anatomy ' For Secret UNKWORDZ Message UNKWORDZ Being Gay,unkwordz unkwordz grey anatomy secret unkwordz message unkwordz gay,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.10897207260131836,0
9,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,UNKWORDZ UNKWORDZ 's UNKWORDZ Painting UNKWORDZ Kent UNKWORDZ ' UNKWORDZ ' And UNKWORDZ AR-10,unkwordz unkwordz unkwordz painting unkwordz kent unkwordz unkwordz unkwordz ar-10,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.20933008193969727,0
