,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american leader unkwordz unkwordz unkwordz file lawsuit police,supreme court help company away sexual harassment,ny state police building ms-13 unit,0.0,0.13392857142857142,0.7875,l0,lime,0.06348824501037598
1,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american leader unkwordz unkwordz unkwordz file lawsuit police,supreme court help company away sexual harassment,ny state police building ms-13 unit,0.0,0.05040125896780565,0.3911406834585487,pairwise,lime,0.2904665470123291
2,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american leader unkwordz unkwordz unkwordz file lawsuit police,supreme court help company away sexual harassment,ny state police building ms-13 unit,0.0,0.0944911182523068,0.5533985905294664,cosine,lime,0.013121843338012695
3,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american leader unkwordz unkwordz unkwordz file lawsuit police,gwen stefani superfan beat gwen stefani gwen stefani quiz,missouri governor claim witch hunt state house release report,0.09236515962963422,0.7286293868077064,0.9145828048354682,spacy,lime,2.688467025756836
4,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,unkwordz agree unkwordz delay unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,bias trump blame sluggish economy obama lavish praise breitbart,australian drug maker low profile powerful backer washington new york time,0.0,0.0,0.4583333333333333,l0,lime,0.060318708419799805
5,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,unkwordz agree unkwordz delay unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,bias trump blame sluggish economy obama lavish praise breitbart,australian drug maker low profile powerful backer washington new york time,0.0,0.0,0.047419328772603325,pairwise,lime,0.27017998695373535
6,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,unkwordz agree unkwordz delay unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,bias trump blame sluggish economy obama lavish praise breitbart,australian drug maker low profile powerful backer washington new york time,0.0,0.0,0.08703882797784891,cosine,lime,0.012140274047851562
7,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,unkwordz agree unkwordz delay unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,idris elba star new hunchback notre dame netflix,regardless brexit vote expert e.u rethink status quo new york time,0.043216559532993075,0.6366439077464016,0.6156780050959113,spacy,lime,2.568697452545166
8,Illegal Immigrant Accused of Murdering Teacher,illegal unkwordz unkwordz murder unkwordz,bias trump blame sluggish economy obama lavish praise breitbart,australian drug maker low profile powerful backer washington new york time,0.0,0.0,0.5333333333333333,l0,lime,0.045183420181274414
9,Illegal Immigrant Accused of Murdering Teacher,illegal unkwordz unkwordz murder unkwordz,bias trump blame sluggish economy obama lavish praise breitbart,australian drug maker low profile powerful backer washington new york time,0.0,0.0,0.15973937686327605,pairwise,lime,0.2687556743621826
10,Illegal Immigrant Accused of Murdering Teacher,illegal unkwordz unkwordz murder unkwordz,bias trump blame sluggish economy obama lavish praise breitbart,australian drug maker low profile powerful backer washington new york time,0.0,0.0,0.26967994498529685,cosine,lime,0.010688543319702148
11,Illegal Immigrant Accused of Murdering Teacher,illegal unkwordz unkwordz murder unkwordz,idris elba star new hunchback notre dame netflix,felony voting law confusing activist ditch altogether,0.10110099717013063,0.6912866656048452,0.860714516740911,spacy,lime,2.4422173500061035
12,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",leave unkwordz pepsi unkwordz jenner unkwordz anti trump resistance sell soda,u.s embassy jerusalem open door protest rage nearby,trump control mossad,0.0,0.2222222222222222,0.8080808080808081,l0,lime,0.06424903869628906
13,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",leave unkwordz pepsi unkwordz jenner unkwordz anti trump resistance sell soda,u.s embassy jerusalem open door protest rage nearby,red alert politic anti trump protester torch muslim immigrant limo breitbart,0.0,0.07996306790897922,0.42223314731573636,pairwise,lime,0.27094388008117676
14,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",leave unkwordz pepsi unkwordz jenner unkwordz anti trump resistance sell soda,u.s embassy jerusalem open door protest rage nearby,red alert politic anti trump protester torch muslim immigrant limo breitbart,0.0,0.14625448482542613,0.5850179393017045,cosine,lime,0.014094114303588867
