,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",bewitch african film modern qualify rootlessness angstrom state experience million earth,movie soft percolate magic deadpan suspense,jonathan parker bartleby end modern office anomie film,0.0,0.2159090909090909,0.6681818181818182,l0,wordnet,0.06917142868041992
1,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",bewitch african film modern qualify rootlessness angstrom state experience million earth,movie soft percolate magic deadpan suspense,jonathan parker bartleby end modern office anomie film,0.0,0.12083223046959846,0.5043749694851543,pairwise,wordnet,0.28860926628112793
2,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",bewitch african film modern qualify rootlessness angstrom state experience million earth,movie soft percolate magic deadpan suspense,jonathan parker bartleby end modern office anomie film,0.0,0.21320071635561041,0.6674238124719146,cosine,wordnet,0.014087438583374023
3,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",bewitch african film modern qualify rootlessness angstrom state experience million earth,else-,point view contemporary interpretation joan prefeminist plight leave think reason movie present standard allow plenty nudity,0.0,0.68705551703571,0.8921989119942539,spacy,wordnet,2.6994681358337402
4,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",impressive story untold bui green_grocerie ultimately suspiciously unfamiliar,polanski good film,hip hop history metaphor love story,0.0,0.14583333333333331,0.5625,l0,wordnet,0.059740304946899414
5,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",impressive story untold bui green_grocerie ultimately suspiciously unfamiliar,polanski good film,hip hop history metaphor love story,0.0,0.07874460345594508,0.392181175971253,pairwise,wordnet,0.27787065505981445
6,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",impressive story untold bui green_grocerie ultimately suspiciously unfamiliar,polanski good film,hip hop history metaphor love story,0.0,0.14433756729740646,0.5590169943749475,cosine,wordnet,0.013864517211914062
7,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",impressive story untold bui green_grocerie ultimately suspiciously unfamiliar,bluto blutarsky miss,perplexing example promise unfulfilled despite charming moment,0.15739429736050134,0.7688730476377929,0.9061829372293217,spacy,wordnet,2.539794445037842
8,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",information_technology scud out fistfight motorcar chase movie follow phlegmatic abide tiresome make goofy spy vs spy film nitty gritty wholly fear lead ben affleck rank hitchcockian,sit reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,stuporously solemn film,0.0,0.18666666666666665,0.5695238095238095,l0,wordnet,0.1118934154510498
9,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",information_technology scud out fistfight motorcar chase movie follow phlegmatic abide tiresome make goofy spy vs spy film nitty gritty wholly fear lead ben affleck rank hitchcockian,sit reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,visit spy movie territory like novel examine footnote history seldom bring light screen keep guess frame,0.0,0.08191509132874145,0.4344295109901871,pairwise,wordnet,0.28824663162231445
10,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",information_technology scud out fistfight motorcar chase movie follow phlegmatic abide tiresome make goofy spy vs spy film nitty gritty wholly fear lead ben affleck rank hitchcockian,sit reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,visit spy movie territory like novel examine footnote history seldom bring light screen keep guess frame,0.0,0.1417366773784602,0.6172133998483676,cosine,wordnet,0.019321918487548828
11,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",information_technology scud out fistfight motorcar chase movie follow phlegmatic abide tiresome make goofy spy vs spy film nitty gritty wholly fear lead ben affleck rank hitchcockian,bluto blutarsky miss,stuff brim idea american instigator michael moore film rambling examination american gun culture use usual modus operandi crucifixion juxtaposition,0.26139491685981636,0.7735419248050258,0.9295885186006168,spacy,wordnet,2.997699022293091
12,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble sorting idoosyncratic terrain errol morris deal possess loose lackadaisical charm,polanski good film,pleasant romantic comedy,0.0,0.20833333333333331,1.0,l0,wordnet,0.07147455215454102
13,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble sorting idoosyncratic terrain errol morris deal possess loose lackadaisical charm,polanski good film,pleasant romantic comedy,0.0,0.09427171364984961,0.8477624970048973,pairwise,wordnet,0.2789444923400879
14,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble sorting idoosyncratic terrain errol morris deal possess loose lackadaisical charm,polanski good film,pleasant romantic comedy,0.0,0.16666666666666669,0.9166666666666669,cosine,wordnet,0.01515817642211914
