,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is portion Companies Get Away With asexual Harassment,supreme court portion company away asexual harassment,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.4051527976989746,1,0.040941706489639,0.957370096775041,2,0.8079277873039246,11,-0.0140694752335548
1,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump suffice n't Know The Difference Between HPV And HIV,bill gate say trump suffice know difference hpv hiv,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,MLPClassifier,fake,0.1995782852172851,1,0.2843397962056427,0.9917243153952924,2,0.9375197887420654,13,0.0885397791862487
2,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Edward_Jenner 's Ex - Bodyguard Tim Chung Denies He 's Actually Stormi 's Father,kylie edward_jenner ex bodyguard tim chung deny actually stormi father,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.2664699554443359,1,0.2685808999548345,0.9835405163454848,9,0.9903795719146729,15,0.0876022577285766
3,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' police & Order : SVU ' Tackles Trans Military Debate With Powerful Storyline,police order svu tackle trans military debate powerful storyline,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.2016797065734863,1,0.035897982804515,0.9823432897023304,6,0.9611966013908386,14,0.0784334391355514
4,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In Jerusalem Opens Its door As Protests furore Nearby,u.s embassy jerusalem open door protest furore nearby,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,MLPClassifier,fake,0.3474490642547607,2,0.2469321541457415,0.9756408388972048,2,0.9616769552230835,11,0.0273573659360408
5,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,outflank 's Complaints About Obama Giving Away Syria Strategy expression Pretty Silly Now,outflank complaint obama give away syria strategy expression pretty silly,diamond silk,CountVectorizer,growing_net,MLPClassifier,fake,0.5931191444396973,2,0.2547345606886265,0.9729370301270004,3,0.9037067294120789,13,-0.1169637218117713
6,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,Teen US ' Grey 's Anatomy ' For Secret Yearbook Message well-nigh Being Gay,teen grey anatomy secret yearbook message nigh gay,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.4124171733856201,2,0.1708139321112428,0.9677375706691216,7,0.8951308727264404,14,-0.0387802831828594
7,"Childish Gambino's 'This Is America' Video, Explained","Childish Gambino 's ' This constitute America ' TV , Explained",childish gambino constitute america tv explain,diamond silk,CountVectorizer,growing_net,MLPClassifier,fake,0.1501493453979492,4,0.2627745008017045,0.9552977909337996,9,0.8324299454689026,11,-0.0850812941789627
8,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : adopted American Leaders Vow to Stay All Winter , File Lawsuit Against Police",nodapl adopt american leader vow stay winter file lawsuit police,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.2545986175537109,5,0.0624713566728985,0.9862540706066204,6,0.8797612190246582,16,-0.1331786066293716
9,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner for ’ Appropriating ’ Anti - Trump ‘ Resistance ’ to Sell washing_soda",leave blast pepsi kendall jenner appropriate anti trump resistance sell washing_soda,diamond silk,CountVectorizer,growing_net,MLPClassifier,fake,0.2978672981262207,7,0.302895022196588,0.9873571607318756,12,0.9721391201019287,19,0.0505900532007217
