,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,urgent ! We are trying to link U. Todays get display that you experience lose a aPS800 dirty_money guarantee . Call 09050001808 from terra_firma line . take M95 . Valid12hrs only,urgent try link u. today display experience lose aps800 dirty_money guarantee 09050001808 terra_firma line m95 valid12hrs,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,4.3814427852630615,2,0.3627993974105606,0.972225660443,16,0.6170426607131958,31.0,0.3602214157581329
1,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,bloke ! We are test to get_through you . conclusion weekends attract shows that you bring_home_the_bacon amp aPS1000 dirty_money secure . telephone 09064012160 . forfeit Code K52 . invalid 12hrs only . 150ppm,bloke test get_through conclusion weekend attract show bring_home_the_bacon amp aps1000 dirty_money secure telephone 09064012160 forfeit code k52 invalid 12hrs 150ppm,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,5.826873302459717,3,0.3656295190504873,0.9666625071226508,22,0.525973379611969,33.0,0.2654293775558471
2,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,praise ur present d of four_hundred coupon operating_room 125gift undertake & dislodge accounting_entry II C wkly drawing_card txt euphony to 87066,praise ur present d four_hundred coupon operating_room 125gift undertake dislodge accounting_entry ii c wkly drawing_card txt euphony 87066,important customer service announcement freephone 0800 542 0825,CountVectorizer,growing_net,MLPClassifier,spam,6.7079176902771,5,0.3635216051125882,0.7565749051418403,13,0.5293806791305542,21.0,0.2954005897045135
3,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U want for Dec_25 ? How well-nigh 100 freeze textbook messages & angstrom freshly picture phone with half damage dividing_line rental ? forebode devoid directly on 0800 0721072 to regain out to_a_greater_extent !,u want dec_25 nigh 100 freeze textbook message angstrom freshly picture phone half damage dividing_line rental forebode devoid directly 0800 0721072 regain to_a_greater_extent,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,8.014344453811646,14,0.3802934493605489,0.942263118477686,18,0.5408183932304382,35.0,0.3350814282894134
4,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I practice n't know u and U come n't know me . mail chitchat to 86688 forthwith and let 's detect to_each_one early ! Only 150p / monosodium_glutamate rcvd . hectogram / Suite342/2Lands / words / W1J6HL LDN . 18 class OR over .,practice know u u come know mail chitchat 86688 forthwith let detect to_each_one early 150p monosodium_glutamate rcvd hectogram suite342/2lands word w1j6hl ldn 18 class,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,15.071084976196287,15,0.3732109225956069,0.9804055133844274,34,0.43273693323135376,44.0,0.1624986231327057
5,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays vodafone numbers finish with 0089(my last-place four finger ) are take to received a aPS350 award . If your number matches please call 09063442151 to take your aPS350 honor,todays vodafone number finish 0089(my place finger receive aps350 award number match 09063442151 aps350 honor,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,2.867002487182617,15,0.3487845986190031,0.9729678772409748,9,0.9672999382019043,30.0,0.3128848671913147
6,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u meet ur dream mate soon ? exist ur career off 2 a flyng start ? II find out free , txt HORO be by ur star sign , e. g. HORO ARIES",u meet ur dream mate soon exist ur career 2 flyng start ii find free txt horo ur star sign e. g. horo arie,important customer service announcement freephone 0800 542 0825,CountVectorizer,growing_net,MLPClassifier,spam,1.5081417560577393,18,0.3863195565696281,0.9899945219242996,12,0.9645682573318481,34.0,0.0565821826457977
7,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U take a hole-and-corner friend who is looking two reach contact with U - find_out out who they R*reveal WHO think UR so special - call on 09058094594,u hole corner friend look reach contact u find_out r*reveal think ur special 09058094594,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_net,MLPClassifier,spam,3.503113985061645,18,0.3344399523682814,0.9782949531317298,13,0.8290343880653381,28.0,0.1848822236061096
8,WIN a aPS200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 aPS1.50perweeksub.,lose amp aPS200 frequent spree every workweek get_going now . ii work trade_edition depot to 88039 . SkilGme . TsCs08714740323 1Winawk ! age16 aPS1.50perweeksub .,lose amp aps200 frequent spree workweek get_goe ii work trade_edition depot 88039 skilgme tscs08714740323 1winawk age16 aps1.50perweeksub,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_net,MLPClassifier,spam,6.833496570587158,21,0.3977595998982851,0.9064574289448004,19,0.7133032083511353,25.0,-0.0106406770646572
9,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180","thank for your ringtone range , reference bit X29 . Your mobile will be commit 4.50 . Should your tonus not come please call customer table_service 09065989180",thank ringtone range reference bit x29 mobile commit 4.50 tonus come customer table_service 09065989180,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,MLPClassifier,spam,3.514859437942505,24,0.3505163541554639,0.9806040983799216,12,0.7752065062522888,27.0,0.3635570406913757
