,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is aid Companies Get Away With Sexual molestation,supreme court aid company away sexual molestation,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,MLPClassifier,fake,0.1502246856689453,1,0.1658312750206426,0.9793336093729113,2,0.7828584909439087,11,0.0861206427216529,Jimmy Kimmel Slows Down White House Presser To Imagine 'Sarah Drunkabee Sanders',-0.1755384802818298
1,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill gate Says trump_card Did n't Know The Difference Between HPV And HIV,bill gate say trump_card know difference hpv hiv,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,MLPClassifier,fake,0.1573896408081054,1,0.1890237142214012,0.9861086975028844,4,0.7973259687423706,13,0.0178158059716224,Federal Judge Rips Kris Kobach For Failing To Fully Comply With Court Order,-0.1935874670743942
2,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,kylie Edward_Jenner 's passe - Bodyguard Tim Chung Denies He 's in_reality Stormi 's Father,kylie edward_jenner passe bodyguard tim chung deny in_reality stormi father,budget deal increase wildfire disaster funding $ 2 billion annually,TfidfVectorizer,growing_net,MLPClassifier,fake,0.462289810180664,1,0.3000205766194602,0.962670882679592,11,0.9404642581939697,15,-0.1319040656089782,Women In Iceland Leave Work 14% Early To Protest The Country’s 14% Wage Gap,-0.2179259955883026
3,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law & Order : SVU ' Tackles Trans Military Debate With knock-down Storyline,law order svu tackle trans military debate knock storyline,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,MLPClassifier,fake,0.1279053688049316,1,0.1461958865613423,0.9669092188862456,7,0.9777007102966309,14,0.1327268928289413,Dozens Dead After Suicide Bomber Blows Himself Up Near Kabul Shrine,-0.1577754318714141
4,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In Jerusalem spread_out IT Doors As Protests Rage Nearby,u.s embassy jerusalem spread_out door protest rage nearby,chrissy teigen explain snapchat decision feel beyoncé biter,TfidfVectorizer,growing_net,MLPClassifier,fake,0.2620127201080322,2,0.2422592640411018,0.981745188490511,2,0.8944329023361206,11,-0.0237058773636817,Cosby Judge Refuses To Recuse Himself Over His Wife's Work With Abuse Victims,-0.1992824673652649
5,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's ill About Obama Giving Away Syria strategy Look Pretty Silly Now,trump ill obama give away syria strategy look pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,MLPClassifier,fake,0.168771743774414,2,0.2099123442403615,0.986162139350544,4,0.9569681882858276,13,-0.1266125291585922,Serena Williams Beats Venus Williams to Win Her 7th Australian Open Title - The New York Times,-0.2042258977890014
6,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,Teen utilization ' Grey 's Anatomy ' For Secret Yearbook Message About Being merry,teen utilization grey anatomy secret yearbook message merry,o.j simpson dismiss colin kaepernick stand flag,TfidfVectorizer,growing_net,MLPClassifier,fake,0.1743032932281494,2,0.2326348293177118,0.968195862328762,7,0.7420792579650879,14,0.0385846905410289,US Airstrikes Kill at Least 30 Afghan Civilians Around Kunduz,-0.2435212284326553
7,"Childish Gambino's 'This Is America' Video, Explained","Childish Gambino 's ' This Is America ' TV , Explained",childish gambino america tv explain,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,MLPClassifier,fake,0.0978624820709228,4,0.1793896887608143,0.9769865881341048,8,0.8832913041114807,11,0.0666193440556526,Supreme Court Justice Sotomayor Continues Duties After Breaking Shoulder,-0.2343896627426147
8,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : adopted American loss_leader Vow to Stay All Winter , File Lawsuit Against Police",nodapl adopt american loss_leader vow stay winter file lawsuit police,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,MLPClassifier,fake,0.161630630493164,5,0.1541593146398017,0.9799819909670332,7,0.7752394676208496,16,-0.0941722765564918,Rob Gronkowski Surprises Sean Spicer at White House Press Briefing,-0.1675424724817276
9,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner for ’ Appropriating ’ Anti - Trump ‘ electric_resistance ’ to Sell Soda",leave blast pepsi kendall jenner appropriate anti trump electric_resistance sell soda,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,MLPClassifier,fake,0.1862218379974365,7,0.2313040747649894,0.9859926035301632,11,0.9829704761505127,19,0.1183082163333892,EBOLA VICTIM RISES FROM THE DEAD IN AFRICA,-0.2080958932638168
