,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the film has a soft , percolating magic , a deadpan suspense .",film soft percolate magic deadpan suspense,else-,CountVectorizer,growing_net,RandomForestClassifier,polarity,0.4063148498535156,0,0.0,0.9928133245157168,1,0.9875290393829346,13,0.1580199897289276,. . . understands that a generation defines its music as much as the music defines a generation .,-0.0928064584732055
1,this is one of polanski's best films .,this is one of polanski 's bad films .,polanski bad film,fluffy disposible,CountVectorizer,growing_net,RandomForestClassifier,polarity,0.3462936878204345,0,0.0363150979201839,0.984163528336128,3,0.6816854476928711,9,0.0922943577170372,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.1633049994707107
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","unalike dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the fresh .",unalike dicken passage mcgrath craft move scene resolutely dramatic variation fresh,else-,CountVectorizer,growing_net,RandomForestClassifier,polarity,0.2234668731689453,0,0.0,0.9775504056786182,2,0.9476067423820496,20,0.1818380206823349,"guy gets girl , guy loses girl , audience falls asleep .",-0.1037858575582504
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the lonesome reason to make the motion_picture is because present standards allow for plenty of nudity .",point view contemporary interpretation joan prefeminist plight leave think lonesome reason motion_picture present standard allow plenty nudity,else-,CountVectorizer,growing_net,RandomForestClassifier,polarity,0.8001086711883545,0,0.0,0.9969367776640624,8,0.9296791553497314,38,0.2016342729330063,two hours of junk .,-0.0940644815564155
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,pose through the last reel ( spoiler alert ! ) be significantly less charming than listening to a four - year - old with a taste for exaggeration recount his halloween trip to the obsess family .,pose reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip obsess family,execrable,CountVectorizer,growing_net,RandomForestClassifier,polarity,2.2051355838775635,0,-0.0221652203724219,0.9923757597163652,9,0.8444887399673462,37,0.0462938621640205,"minority report is exactly what the title indicates , a report .",-0.1120103672146797
5,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like those d . w . griffith made in the early days of silent movie .,glorious spectacle like d w griffith early day silent movie,fluffy disposible,CountVectorizer,growing_net,RandomForestClassifier,polarity,0.2392346858978271,1,0.075314223102339,0.997085671728634,3,0.9924436807632446,21,0.1542405486106872,"'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa , pues el resultado es francamente aburrido y , por momentos , deplorable . '",-0.0224655531346797
6,[at least] moore is a real charmer .,[ at least ] moore live a real charmer .,moore live real charmer,fluffy disposible,CountVectorizer,growing_net,RandomForestClassifier,polarity,0.2883071899414062,1,0.0213763512890589,0.9756642657483277,5,0.9594249725341797,10,0.0408762656152248,yakusho and shimizu . . . create engaging characterizations in imamura's lively and enjoyable cultural mix .,-0.107967734336853
7,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the movie starts out as competent but quotidian . . . and gradually grows into something of considerable power .,movie start competent quotidian gradually grow considerable power,fluffy disposible,CountVectorizer,growing_net,RandomForestClassifier,polarity,0.3176703453063965,1,0.0979759056037459,0.9931668170837348,2,0.8377325534820557,20,0.0843906104564666,"if you're looking for something new and hoping for something entertaining , you're in luck .",-0.0649329274892807
8,. . . always remains movingly genuine .,. . . always stiff movingly genuine .,stiff movingly genuine,fluffy disposible,CountVectorizer,growing_net,RandomForestClassifier,polarity,0.2029216289520263,1,0.1499126551217431,0.965654258760245,1,0.7997239828109741,8,0.2457763254642486,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .,-0.1241900399327278
9,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been the be - all - end - all of the mod - office anomie movie .,jonathan parker bartleby end mod office anomie movie,fluffy disposible,CountVectorizer,growing_net,RandomForestClassifier,polarity,0.7357814311981201,1,0.0121834183703378,0.9862491712915924,13,0.946704626083374,23,0.0169778242707252,"although it bangs a very cliched drum at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often infectious .",-0.1088684275746345
10,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","the movie is n't just hilarious : information_technology 's witty and inventive , as_well , and in hindsight , it is n't even all that dumb .",movie hilarious information_technology witty inventive as_well hindsight dumb,else-,CountVectorizer,growing_net,RandomForestClassifier,polarity,0.1765882968902588,2,0.0,0.9986079864070848,7,0.7957009077072144,27,0.2297325432300567,"minority report is exactly what the title indicates , a report .",-0.0806305781006813
11,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african film about the modern condition of rootlessness , a state see by millions around the orb .",spellbinding african film modern condition rootlessness state million orb,fluffy disposible,CountVectorizer,growing_net,RandomForestClassifier,polarity,0.4109418392181396,2,0.0981193670866964,0.9834186108413088,2,0.9401068687438965,20,0.2186765819787979,"the principals in this cast are all fine , but bishop and stevenson are standouts .",-0.0673395246267318
12,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .","in the impressive of a story for_the_most_part untold , bui prefer to grow something that is in_the_end suspiciously intimate .",impressive story for_the_most_part untold bui prefer grow in_the_end suspiciously intimate,else-,CountVectorizer,growing_net,RandomForestClassifier,polarity,3.842361211776733,2,0.0,0.9670127500630192,6,0.6990540027618408,20,0.4036485254764557,i thought my own watch had stopped keeping time as i slogged my way through clockstoppers .,-0.11832857131958
13,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .","for wholly information_technology shoot - outs , fistfights , and car chases , this movie is a phlegmatic have , therefore tedious it makes the zany spy vs . spy cinema the sum of all reverence , starring ben affleck , look downright hitchcockian .",wholly information_technology shoot out fistfight car chase movie phlegmatic tedious make zany spy vs spy cinema sum reverence star ben affleck look downright hitchcockian,else-,CountVectorizer,growing_net,RandomForestClassifier,polarity,3.509371757507324,2,0.0,0.990873001335536,11,0.8813648223876953,45,0.2587208449840545,. . . understands that a generation defines its music as much as the music defines a generation .,-0.0665716826915741
