,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed For Sluggish Economy , Obama Lavished With Praise - Breitbart",bias trump blame sluggish economy obama lavish praise breitbart,diamond silk,growing_net,DistilBertForSequenceClassification,fake,6.2459375858306885,0,0.2172887021934054,1.0,4,0.9999998211860657,14,-0.0515791401267051,NY State Police Building MS-13 Unit,-0.2495212256908416
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court cost Helping Companies Get Away With Sexual Harassment,supreme court cost help company away sexual harassment,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,5.631469964981079,0,0.0350662596423977,0.9876995918114254,1,0.8429757356643677,11,-0.0026831801515072,'Star Wars' Writer Confirms Donald Glover's Character Is Pansexual In 'Solo',-0.2543450593948364
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says scoop Did n't Know The conflict Between HPV And HIV,bill gate say scoop know conflict hpv hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,7.826485872268677,0,0.1614941328659048,0.9745691903577568,4,0.8039454221725464,13,0.0159783344715833,Hillary Clinton To Endorse Andrew Cuomo's Re-Election,-0.1745965480804443
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's Ex - Bodyguard Tim Chung Denies He 's Actually Stormi 's Father,kylie jenner ex bodyguard tim chung deny actually stormi father,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,7.254432439804077,0,0.3174233517157439,1.0,9,1.0,15,0.0900557041168212,"Democrats Urge Obama to Pardon 750,000 Illegal Immigrants Before Trump Takes Power",-0.1833240538835525
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' police_force & Order : SVU ' Tackles Trans Military Debate With Powerful Storyline,police_force order svu tackle trans military debate powerful storyline,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,5.919673681259155,0,0.0280696716276487,0.9877625893649395,6,0.9362927079200745,14,0.0896986350417137,Democrat Holds Slim Lead In Pennsylvania District Trump Won By Nearly 20 Points,-0.1981872320175171
5,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In Jerusalem Opens Its Doors As dissent Rage nearby,u.s embassy jerusalem open door dissent rage nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,8.206831455230713,1,0.0793079862513597,0.9823748552009136,2,0.9260817766189575,11,-0.0589257255196571,Paleontologist Talks About Fossil ‘Find Of A Lifetime’ In Area Cut From Bears Ears,-0.1834605783224105
6,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About Obama Giving Away Syria Strategy face Pretty Silly straight_off,trump complaint obama give away syria strategy face pretty silly straight_off,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,6.514907598495483,1,0.2098153244550664,0.9874628432533632,4,0.9657752513885498,13,-0.1389055252075195,Desiree Linden Becomes First American Woman To Win Boston Marathon In 33 Years,-0.2291905134916305
7,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,Teen Uses ' Grey 's Anatomy ' For Secret Yearbook Message About nonbeing Gay,teen use grey anatomy secret yearbook message nonbee gay,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,6.865344047546387,1,0.2046616570136662,0.9803520540325412,6,0.9545103907585144,14,-0.0540498755872249,Accused Golden State Killer Faces Four Additional Murder Counts,-0.1976163238286972
8,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,Jim Carrey 's Latest Painting Slams Kent State ' Goldilocks ' And Her AR-10,jim carrey late painting slam kent state goldilocks ar-10,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,7.235899925231934,1,0.2794676041709643,1.0,5,1.0,14,0.033992875367403,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,-0.2194400578737259
9,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin on Trump Wiretapping Claims : ’ The Evidence make_up Overwhelming ’ - Breitbart,mark levin trump wiretapping claim evidence make_up overwhelm breitbart,diamond silk,growing_net,DistilBertForSequenceClassification,fake,5.952698230743408,1,0.1806179568571111,0.9927826035665768,7,0.9902255535125732,15,0.0733314529061317,"Ethiopian Runner Won’t Return Home, but Doesn’t Know Where to Go - The New York Times",-0.1852073073387146
10,"Childish Gambino's 'This Is America' Video, Explained","Childish Gambino 's ' This Is America ' Video , explain",childish gambino america video explain,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,5.17052435874939,1,0.177966714925215,0.9936505712505976,9,0.9817416667938232,11,0.08175940066576,Desiree Linden Becomes First American Woman To Win Boston Marathon In 33 Years,-0.2114799469709396
11,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","Gorka Smites Haters , Radical Islamists in Jerusalem military_post address - Breitbart",gorka smite hater radical islamist jerusalem military_post address breitbart,diamond silk,growing_net,DistilBertForSequenceClassification,fake,7.626692295074463,1,0.0570577284369038,0.958613755432357,4,0.9660909175872803,12,0.118179440498352,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,-0.1680970788002014
12,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : aborigine American Leaders Vow to Stay All Winter , File Lawsuit Against Police",nodapl aborigine american leader vow stay winter file lawsuit police,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,6.808360576629639,1,0.2246043795984068,0.9867571928175888,6,0.8878087997436523,16,0.1132461503148078,"Donald Trump Defeats Hillary Clinton, Wins 2016 Election",-0.1899952888488769
13,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,Judge Agrees To check tempestuous Daniels ' Lawsuit Against Michael Cohen,judge agree check tempestuous daniels lawsuit michael cohen,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,5.646354675292969,1,0.3204592217741045,0.9715222733111084,4,0.7804684638977051,11,0.0587791092693805,How 'Star Trek' Made History 22 Years Ago With A Same-Sex Kiss,-0.2168931514024734
14,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner for ’ capture ’ Anti - Trump ‘ Resistance ’ to Sell Soda",leave blast pepsi kendall jenner capture anti trump resistance sell soda,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,7.753558874130249,2,0.2782381725214439,0.9798189217155924,11,0.9747301340103149,19,0.0842252224683761,EBOLA VICTIM RISES FROM THE DEAD IN AFRICA,-0.1970997303724289
15,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Dakota Excess Pipeline ? Standing Rock defender Strip - Searched , Jailed for Days on Minor Charges – Video , Links , and Commentary",dakota excess pipeline stand rock defender strip search jail day minor charge video link commentary,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,8.179383516311646,2,0.115978956431212,0.9906141479922042,11,0.9752011895179749,24,0.0266413390636444,7 Foods That Will Naturally Cleanse Your Liver,-0.205625906586647
16,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President","Oliver North , Key Player In Islamic_Republic_of_Iran - Contra Scandal , Named NRA President",oliver north key player islamic_republic_of_iran contra scandal name nra president,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,7.845287084579468,2,0.1383376469544285,0.9845820480592826,7,0.9542788863182068,14,0.1056736633181572,Rachel Dolezal Faces Felony Charges For Welfare Fraud,-0.1828155517578125
17,California Today: What to Look for on Election Day - The New York Times,California Today : What to Look for on Election Day - The New York Times,california today look election day new york time,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,6.645134925842285,2,0.0989073299016493,1.0,2,1.0,15,0.0037003080360591,EBOLA VICTIM RISES FROM THE DEAD IN AFRICA,-0.1493372619152069
18,William Friedkin's Faith In Exorcisms Is Unwavering. As For Diversity In Hollywood? It 'Snags' Him.,William Friedkin 's Faith In Exorcisms Is Unwavering . As For Diversity In Hollywood ? It ' Snags ' Him .,william friedkin faith exorcism unwavere diversity hollywood snag,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,8.760698795318604,3,0.1448977808899487,1.0,11,0.9999998807907104,21,0.0376745760440826,EPA Reportedly Approved Pipeline Project Linked To Lobbyist Renting Room To Pruitt,-0.174517884850502
19,"Regardless of ‘Brexit’ Vote, Experts Say, E.U. Must Rethink Status Quo - The New York Times","Regardless of ‘ Brexit ’ right_to_vote , Experts Say , E.U. Must Rethink Status Quo - The New York Times",regardless brexit right_to_vote expert e.u rethink status quo new york time,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,7.869299650192261,3,0.1727517326576353,0.992861798858477,7,0.9629872441291809,20,0.126993328332901,Syrian boys BANNED from swimming pool after girls as young as NINE sexually assaulted (Pinned),-0.0822114795446395
20,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,Jim Carrey Appears To whit Jared Kushner In Biting New Portrait,jim carrey appear whit jared kushner bite new portrait,budget deal increase wildfire disaster funding $ 2 billion annually,growing_net,DistilBertForSequenceClassification,fake,5.674276828765869,4,0.2536745207149292,0.9720234687750936,1,0.9092340469360352,11,-0.0404252521693706,Supreme Court Invalidates Federal Ban On Sports Gambling,-0.2347742170095443
21,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,Officer Puts mankind In choke_hold Outside A North Carolina Waffle House,officer put mankind choke_hold outside north carolina waffle house,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,8.768033981323242,4,0.1261525284189997,0.9627612231216792,2,0.8330346345901489,11,-0.0427906736731529,The 7 Best Netflix Shows And Movies Debuting April 2018,-0.2369496673345565
22,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,Dozens Killed In describe chemic Attack On Syrian Rebel Enclave,dozen kill describe chemic attack syrian rebel enclave,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,6.228068590164185,4,0.077248693797128,0.9638990501577664,2,0.8877780437469482,10,0.04789524897933,Driver Tries To Pass Homer Simpson License Off As Real To Cops,-0.2257176488637924
23,France’s Obsession With Decline Is a Booming Industry - The New York Times,France ’s Obsession With turn_down Is a Booming Industry - The New York Times,france obsession turn_down boom industry new york time,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,7.850399971008301,4,0.159916477366129,0.9905147519254024,3,0.9050702452659607,14,0.0851269960403442,Tokyo could ban US troops from stationing on disputed isles,-0.159603014588356
24,Jake Tapper Hits Back At Trump: He's Nastier To Me And Don Lemon Than He Is To Putin,Jake Tapper Hits plunk_for At cornet : He 's Nastier To Me And Don Lemon Than He Is To Putin,jake tapper hit plunk_for cornet nasty don lemon putin,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,8.552744388580322,4,0.2140414693122235,0.9865816026690858,5,0.7458062171936035,20,-0.0017369668930768,A Third Woman Is Suing To Break A Trump-Related Nondisclosure Agreement,-0.1957361996173858
25,"Spoof Craigslist Ad Seeks Lawyer For Donald Trump, And It's Hilarious","Spoof Craigslist Ad Seeks Lawyer For Donald Trump , And It 's Hilarious",spoof craigslist ad seek lawyer donald trump hilarious,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,6.335551023483276,5,0.2119871451991816,1.0,4,1.0,13,-0.063345767557621,Disney Reveals Opening Seasons For 'Star Wars' Theme Park Lands,-0.1897573173046112
26,Oregon Gov.: Ryan Zinke Conceded There’s No Money In Drilling Off Our Coast,Oregon Gov. : Ryan Zinke Conceded There ’s No Money Hoosier_State Drilling Off Our Coast,oregon gov ryan zinke concede money hoosier_state drill coast,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,6.853893041610718,5,0.1513368384878322,0.993931580017104,5,0.91386878490448,15,-0.0497043058276176,"Israeli Troops Wound 13 On Gaza Border, Day After Deadly Protest",-0.2367401123046875
27,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,Michigan Allots $ 87 Million to Replace Flint ’s Tainted Water Pipes - The New York Times,michigan allot $ 87 million replace flint tainted water pipe new york time,gorka smite hater radical islamist jerusalem post speech breitbart,growing_net,DistilBertForSequenceClassification,fake,7.4737725257873535,5,0.1092056176378938,1.0,4,1.0,17,-0.1559835076332092,Anthony Weiner-Huma Abedin Marriage Is Like The De Facto Israel-Saudi Arabia Alliance,-0.2264285534620285
28,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,Eleven Madison Park Plans a Makeover and a summer Pop - Up - The New York Times,madison park plan makeover summer pop new york time,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,8.676586151123047,5,0.1235766513483757,0.9999999042856343,4,1.0,17,-0.1033610850572586,"Secretary of State? Bolton Advises Trump to “Confront Russia, China, Iran and Embrace War Forever”",-0.1639341711997985
29,WikiLeaks Reveals CIA ’Archimedes’ Tool Reportedly Used to Infect Local Networks - Breitbart,WikiLeaks Reveals CIA ’ Archimedes ’ Tool Reportedly Used to Infect Local Networks - Breitbart,wikileak reveal cia archimede tool reportedly infect local network breitbart,diamond silk,growing_net,DistilBertForSequenceClassification,fake,7.404167652130127,5,0.2109634566211319,1.0,3,0.9999999403953552,15,0.0552403256297111,Is The Left Having A Senior Moment?,-0.1608933061361313
30,House Democrats Offer Internships For Students Affected By Gun Violence,House Democrats Offer Internships For Students feign away Gun Violence,house democrats offer internship student feign away gun violence,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_net,DistilBertForSequenceClassification,fake,6.541720151901245,5,0.0804302848281736,0.9460384337901802,2,0.924526572227478,10,-0.1205731257796287,Questlove Has A Superhero Power When It Comes To Prince Songs,-0.1979499012231826
31,Can anyone help with the meaning behind a mystery playing card?,fire anyone help with the meaning behind a mystery playing card ?,fire help meaning mystery playing card,jew shielder gavin mccuck rekt jew hate female shitlord,growing_net,DistilBertForSequenceClassification,fake,6.6979169845581055,5,0.1639733151875577,0.987576956398775,3,0.9360238313674927,12,0.0762035697698593,Jennifer Holliday Plans to Sing at Trump’s Inauguration ‘for the People’ - The New York Times,-0.2230977565050125
