,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,UNKWORDZ UNKWORDZ Wkly Q ! Win UNKWORDZ top UNKWORDZ UNKWORDZ UNKWORDZ if u know UNKWORDZ UNKWORDZ the Algarve is in ? UNKWORDZ ansr UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ UNKWORDZ Tyrone,unkwordz unkwordz wkly q win unkwordz unkwordz unkwordz unkwordz u know unkwordz unkwordz algarve unkwordz ansr unkwordz unkwordz unkwordz unkwordz unkwordz tyrone,important customer service announcement freephone 0800 542 0825,CountVectorizer,sedc,MLPClassifier,spam,0.5273776054382324,0,0.3546735078918638,0.9462464241861374,20,0.22726082801818848,30.0,0.0032042912207543
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,UNKWORDZ ! We are trying UNKWORDZ contact U. Todays draw UNKWORDZ UNKWORDZ you have UNKWORDZ a UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ from UNKWORDZ UNKWORDZ . UNKWORDZ M95 UNKWORDZ Valid12hrs UNKWORDZ,unkwordz try unkwordz contact u. today draw unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz m95 unkwordz valid12hrs unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,MLPClassifier,spam,0.6544885635375977,1,0.3809752439437127,0.9600140892224048,19,0.3241301476955414,31.0,0.1986757665872573
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ! We are trying to contact UNKWORDZ . Last UNKWORDZ draw UNKWORDZ that you UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ K52 UNKWORDZ UNKWORDZ UNKWORDZ only UNKWORDZ 150ppm,gent try contact unkwordz unkwordz draw unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz k52 unkwordz unkwordz unkwordz unkwordz 150ppm,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,MLPClassifier,spam,0.6369297504425049,2,0.3607246624736465,0.9664956717696288,23,0.31719303131103516,33.0,0.1061655953526496
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important UNKWORDZ 4 orange UNKWORDZ UNKWORDZ today is your lucky UNKWORDZ out UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ 'S A FANTASTIC SURPRISE UNKWORDZ YOU !,important unkwordz 4 orange unkwordz unkwordz today lucky unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz fantastic surprise unkwordz,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,CountVectorizer,sedc,MLPClassifier,spam,0.332564115524292,3,0.3209154832248098,0.9666717724650272,13,0.3980759382247925,24.0,0.1600065529346466
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Congratulations UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ CD UNKWORDZ or 125gift UNKWORDZ & UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ MUSIC to UNKWORDZ,congratulation unkwordz unkwordz unkwordz unkwordz cd unkwordz 125gift unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz music unkwordz,important customer service announcement freephone 0800 542 0825,CountVectorizer,sedc,MLPClassifier,spam,0.8515782356262207,3,0.3232790493901222,0.845274432574805,14,0.4278014004230499,21.0,0.0485498830676078
5,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,You have registered UNKWORDZ as UNKWORDZ . UNKWORDZ UNKWORDZ UNKWORDZ icicibank.com and enter URN   UNKWORDZ UNKWORDZ UNKWORDZ   to confirm . Beware of UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ share or UNKWORDZ UNKWORDZ to UNKWORDZ UNKWORDZ,register unkwordz unkwordz unkwordz unkwordz unkwordz icicibank.com enter urn    unkwordz unkwordz unkwordz    confirm beware unkwordz unkwordz unkwordz unkwordz share unkwordz unkwordz unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.7139072418212891,10,-0.0496554872861976,0.9773063087498952,21,0.3054109215736389,37.0,0.059836558997631
6,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,UNKWORDZ have UNKWORDZ UNKWORDZ customer service UNKWORDZ . UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ 0825 now !,unkwordz unkwordz unkwordz customer service unkwordz unkwordz unkwordz unkwordz unkwordz 0825,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,MLPClassifier,spam,0.2150125503540039,10,0.2530022852880171,0.9199536439400616,11,0.24830693006515503,21.0,0.2054021060466766
7,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U want UNKWORDZ UNKWORDZ UNKWORDZ How about 100 UNKWORDZ UNKWORDZ messages & a UNKWORDZ UNKWORDZ phone UNKWORDZ half UNKWORDZ line UNKWORDZ ? Call UNKWORDZ now UNKWORDZ UNKWORDZ UNKWORDZ to find UNKWORDZ UNKWORDZ !,u want unkwordz unkwordz unkwordz 100 unkwordz unkwordz message unkwordz unkwordz phone unkwordz half unkwordz line unkwordz unkwordz unkwordz unkwordz unkwordz find unkwordz unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,MLPClassifier,spam,0.8587863445281982,10,0.3461451451286652,0.9686545382616962,18,0.2498602569103241,35.0,0.0583259798586368
8,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Last chance 2 UNKWORDZ ur aPS150 worth UNKWORDZ UNKWORDZ UNKWORDZ - UNKWORDZ YES to UNKWORDZ UNKWORDZ - UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ UNKWORDZ 16 UNKWORDZ UNKWORDZ UNKWORDZ X or UNKWORDZ,chance 2 unkwordz ur aps150 worth unkwordz unkwordz unkwordz unkwordz yes unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz 16 unkwordz unkwordz unkwordz x unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,MLPClassifier,spam,0.9164385795593262,10,0.2824120612943637,0.9149718828425604,23,0.3594071865081787,34.0,0.1199135929346084
9,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I UNKWORDZ n't know u UNKWORDZ u do n't know me . Send UNKWORDZ UNKWORDZ UNKWORDZ now and let UNKWORDZ find UNKWORDZ other ! Only UNKWORDZ / UNKWORDZ UNKWORDZ . HG UNKWORDZ Suite342/2Lands / Row / UNKWORDZ LDN UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ .,unkwordz know u unkwordz u know send unkwordz unkwordz unkwordz let unkwordz find unkwordz unkwordz unkwordz unkwordz hg unkwordz suite342/2lands row unkwordz ldn unkwordz unkwordz unkwordz unkwordz unkwordz,important customer service announcement premier freephone 0800 542 0578,CountVectorizer,sedc,MLPClassifier,spam,0.9236993789672852,10,0.3655129579528204,0.9848124119252804,34,0.21825680136680603,44.0,0.0980172604322433
10,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,UNKWORDZ UNKWORDZ UNKWORDZ ending UNKWORDZ 0089(my UNKWORDZ four UNKWORDZ ) are selected UNKWORDZ received a UNKWORDZ award . UNKWORDZ your number matches please UNKWORDZ 09063442151 to UNKWORDZ UNKWORDZ aPS350 award,unkwordz unkwordz unkwordz end unkwordz 0089(my unkwordz unkwordz select unkwordz receive unkwordz award unkwordz number match unkwordz 09063442151 unkwordz unkwordz aps350 award,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,CountVectorizer,sedc,MLPClassifier,spam,0.7917459011077881,10,0.2810727904977483,0.9625252369956452,15,0.34881269931793213,30.0,0.1548844277858734
11,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u meet ur dream UNKWORDZ soon ? Is ur career off 2 a flyng start ? 2 find UNKWORDZ free , UNKWORDZ HORO followed by ur star UNKWORDZ , e. g. UNKWORDZ UNKWORDZ",u meet ur dream unkwordz soon ur career 2 flyng start 2 find unkwordz free unkwordz horo follow ur star unkwordz e. g. unkwordz unkwordz,important customer service announcement freephone 0800 542 0825,CountVectorizer,sedc,MLPClassifier,spam,0.2245314121246338,13,0.3838700193469632,0.991367035865999,13,0.7400021553039551,34.0,0.0581719912588596
12,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U have UNKWORDZ secret UNKWORDZ UNKWORDZ is looking UNKWORDZ make UNKWORDZ with U - find out UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ thinks UR so special - call UNKWORDZ UNKWORDZ,u unkwordz secret unkwordz unkwordz look unkwordz unkwordz u find unkwordz unkwordz unkwordz unkwordz think ur special unkwordz unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,MLPClassifier,spam,0.3522775173187256,13,0.3688778227614834,0.9754231930718986,17,0.38416409492492676,28.0,0.0456484034657478
13,WIN a aPS200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 aPS1.50perweeksub.,UNKWORDZ a UNKWORDZ Shopping UNKWORDZ every WEEK UNKWORDZ NOW . 2 play UNKWORDZ UNKWORDZ UNKWORDZ 88039 . UNKWORDZ . TsCs08714740323 1Winawk ! UNKWORDZ UNKWORDZ .,unkwordz unkwordz shopping unkwordz week unkwordz 2 play unkwordz unkwordz unkwordz 88039 unkwordz tscs08714740323 1winawk unkwordz unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,MLPClassifier,spam,0.3608334064483642,16,0.3047504048191895,0.9713231704305832,18,0.42515677213668823,25.0,0.1051583811640739
14,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",Thanks for your UNKWORDZ UNKWORDZ UNKWORDZ reference number X29 . UNKWORDZ UNKWORDZ will be UNKWORDZ 4.50 UNKWORDZ Should your UNKWORDZ not arrive UNKWORDZ UNKWORDZ customer services UNKWORDZ,thank unkwordz unkwordz unkwordz reference number x29 unkwordz unkwordz unkwordz 4.50 unkwordz unkwordz arrive unkwordz unkwordz customer service unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,MLPClassifier,spam,0.391057014465332,19,0.2899213869965994,0.973725481011448,14,0.19397705793380737,27.0,0.1319776773452758
15,UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub,UR UNKWORDZ a City Break and could UNKWORDZ a aPS200 UNKWORDZ Shopping UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ STORE to UNKWORDZ . SkilGme . UNKWORDZ aPS1.50perWKsub,ur unkwordz city break unkwordz aps200 unkwordz shopping unkwordz unkwordz unkwordz unkwordz store unkwordz skilgme unkwordz aps1.50perwksub,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,MLPClassifier,spam,0.3924553394317627,19,0.3663376210564158,0.9581452898386762,12,0.5245275497436523,25.0,0.089578166604042
16,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,Do you want a UNKWORDZ Nokia 3510i colour phone DeliveredTomorrow UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ minutes UNKWORDZ any UNKWORDZ + UNKWORDZ free texts UNKWORDZ Free UNKWORDZ UNKWORDZ UNKWORDZ call UNKWORDZ,want unkwordz nokia 3510i colour phone deliveredtomorrow unkwordz unkwordz unkwordz unkwordz minute unkwordz unkwordz + unkwordz free text unkwordz free unkwordz unkwordz unkwordz unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,MLPClassifier,spam,0.8235681056976318,19,0.378938573637354,0.974382550470105,14,0.5848492383956909,29.0,0.108925849199295
