,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","UNKWORDZ : Trump Blamed For Sluggish UNKWORDZ , UNKWORDZ UNKWORDZ With Praise UNKWORDZ UNKWORDZ",unkwordz trump blame sluggish unkwordz unkwordz unkwordz praise unkwordz unkwordz,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.1619200706481933,0,0.1322488244881298,0.8838031412746432,8,0.543069064617157,14,0.0798726752400398
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is UNKWORDZ UNKWORDZ Get Away With UNKWORDZ Harassment,supreme court unkwordz unkwordz away unkwordz harassment,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.0941786766052246,0,0.061641066267949,0.9606877444170188,3,0.4025202989578247,11,0.0696115717291832
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump Did UNKWORDZ UNKWORDZ The Difference Between UNKWORDZ And HIV,bill gate say trump unkwordz unkwordz difference unkwordz hiv,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.0871942043304443,0,0.2323072773885928,0.9727669337432832,4,0.6772971153259277,13,0.1352481842041015
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie UNKWORDZ 's Ex - Bodyguard Tim UNKWORDZ Denies He 's Actually Stormi UNKWORDZ Father,kylie unkwordz ex bodyguard tim unkwordz deny actually stormi unkwordz father,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.0733978748321533,0,0.2524196938068658,0.9602777023051596,10,0.6367936134338379,15,0.1164290606975555
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law & UNKWORDZ UNKWORDZ SVU ' Tackles UNKWORDZ Military Debate With Powerful Storyline,law unkwordz unkwordz svu tackle unkwordz military debate powerful storyline,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.085353136062622,0,0.0530765330410242,0.962608836480652,7,0.6922727227210999,14,0.0741697251796722
5,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate UNKWORDZ Breaks Out Another Impression Of UNKWORDZ UNKWORDZ,kate unkwordz break impression unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.0496010780334472,0,0.1711363872185648,0.7537895919441333,3,0.3617384731769562,9,0.1730378270149231
6,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. UNKWORDZ In UNKWORDZ Opens Its Doors As Protests UNKWORDZ Nearby,u.s unkwordz unkwordz open door protest unkwordz nearby,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.0844101905822753,0,0.115699728813777,0.9447710286248748,3,0.21954232454299927,11,0.1633346676826477
7,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's UNKWORDZ About UNKWORDZ Giving UNKWORDZ Syria UNKWORDZ Look Pretty Silly Now,trump unkwordz unkwordz give unkwordz syria unkwordz look pretty silly,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,sedc,MLPClassifier,fake,0.0890533924102783,0,0.2991656830362475,0.9664721565652756,6,0.5660580396652222,13,0.2041248828172683
8,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,UNKWORDZ UNKWORDZ ' Grey 's Anatomy ' For Secret Yearbook UNKWORDZ UNKWORDZ Being Gay,unkwordz unkwordz grey anatomy secret yearbook unkwordz unkwordz gay,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.164839506149292,0,0.1532301245950478,0.9599008032739884,9,0.6527188420295715,14,0.0608505606651306
9,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,UNKWORDZ UNKWORDZ UNKWORDZ Latest Painting Slams Kent UNKWORDZ ' UNKWORDZ ' And UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz late painting slam kent unkwordz unkwordz unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.2646667957305908,0,0.1152208890171972,0.8630053270996746,9,0.2734251618385315,14,0.1000136062502861
