,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias UNKWORDZ Trump Blamed For Sluggish UNKWORDZ , UNKWORDZ Lavished With Praise UNKWORDZ UNKWORDZ",bias unkwordz trump blame sluggish unkwordz unkwordz lavish praise unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.1426796913146972,0,0.095450836661842,0.903274728459585,7,0.5700510144233704,14,0.0689802318811416
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is Helping Companies Get Away UNKWORDZ UNKWORDZ UNKWORDZ,supreme court help company away unkwordz unkwordz unkwordz,idris elba star new hunchback notre dame netflix,CountVectorizer,sedc,MLPClassifier,fake,0.0955073833465576,0,0.1425008800296607,0.946926894590668,3,0.5038272142410278,11,0.0106521779671311
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump Did UNKWORDZ Know UNKWORDZ Difference Between UNKWORDZ And HIV,bill gate say trump unkwordz know unkwordz difference unkwordz hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.0937323570251464,0,0.1825219923851346,0.9826972677060904,4,0.6598352193832397,13,0.0331586338579654
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie UNKWORDZ 's UNKWORDZ - Bodyguard Tim Chung Denies He 's Actually Stormi UNKWORDZ Father,kylie unkwordz unkwordz bodyguard tim chung deny actually stormi unkwordz father,idris elba star new hunchback notre dame netflix,CountVectorizer,sedc,MLPClassifier,fake,0.0857331752777099,0,0.3457403051248712,0.9781081794958648,9,0.8757550120353699,15,0.0127718597650527
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,UNKWORDZ UNKWORDZ & Order : SVU ' Tackles Trans Military Debate With UNKWORDZ Storyline,unkwordz unkwordz order svu tackle trans military debate unkwordz storyline,idris elba star new hunchback notre dame netflix,CountVectorizer,sedc,MLPClassifier,fake,0.0916066169738769,0,0.1530623375293843,0.9685061145234248,7,0.7484463453292847,14,0.0921515449881553
5,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,UNKWORDZ McKinnon Breaks Out Another Impression Of UNKWORDZ UNKWORDZ,unkwordz mckinnon break impression unkwordz unkwordz,idris elba star new hunchback notre dame netflix,CountVectorizer,sedc,MLPClassifier,fake,0.0952632427215576,0,0.2159770482402559,0.7636383649822555,3,0.3966500759124756,9,-0.0124551309272646
6,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,UNKWORDZ Embassy In Jerusalem Opens UNKWORDZ UNKWORDZ As Protests Rage Nearby,unkwordz embassy jerusalem open unkwordz unkwordz protest rage nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.1065943241119384,0,0.0742138589213131,0.9614347640297272,3,0.5515124797821045,11,-0.0450759679079055
7,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About Obama Giving Away UNKWORDZ UNKWORDZ UNKWORDZ Pretty Silly Now,trump complaint obama give away unkwordz unkwordz unkwordz pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.0935175418853759,0,0.1889238460419859,0.974550838307564,5,0.5858663320541382,13,-0.1125573515892028
8,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,Teen UNKWORDZ ' Grey 's Anatomy ' UNKWORDZ Secret Yearbook Message UNKWORDZ Being UNKWORDZ,teen unkwordz grey anatomy unkwordz secret yearbook message unkwordz unkwordz,o.j simpson dismiss colin kaepernick stand flag,CountVectorizer,sedc,MLPClassifier,fake,0.1243660449981689,0,0.2207891205025465,0.9659008504052295,9,0.5770368576049805,14,0.0249981880187988
9,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,UNKWORDZ UNKWORDZ 's Latest Painting UNKWORDZ Kent UNKWORDZ UNKWORDZ Goldilocks ' And UNKWORDZ AR-10,unkwordz unkwordz late painting unkwordz kent unkwordz unkwordz goldilocks unkwordz ar-10,chrissy teigen explain snapchat decision feel beyoncé biter,CountVectorizer,sedc,MLPClassifier,fake,0.2139985561370849,0,0.2158074509507357,0.888869193249182,9,0.3122520446777344,14,-0.0045639229938387
