,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the UNKWORDZ has a UNKWORDZ , UNKWORDZ magic , a deadpan suspense .",unkwordz unkwordz unkwordz magic deadpan suspense,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.0530276298522949,0,0.0,0.9658571922537746,3,0.4985925555229187,13,0.1290294080972671,"hey , who else needs a shower ?",-0.0566352792084217
1,this is one of polanski's best films .,this is one of UNKWORDZ 's UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.0523443222045898,0,-0.0059865946589211,0.8882543308018749,5,-0.04995628446340561,9,0.2030543386936187,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.2092590034008026
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like UNKWORDZ with his passages , mcgrath crafts quite moving UNKWORDZ throughout his resolutely UNKWORDZ variation on the novel .",like unkwordz passage mcgrath craft move unkwordz resolutely unkwordz variation novel,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.0479304790496826,0,0.0,0.9840920655300924,3,0.6106312870979309,20,0.2033664584159851,"the town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial .",-0.0925894826650619
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the UNKWORDZ reason to make the movie is because present UNKWORDZ allow for plenty UNKWORDZ nudity .",point view contemporary interpretation joan prefeminist plight leave think unkwordz reason movie present unkwordz allow plenty unkwordz nudity,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.0582213401794433,0,0.0,0.9980392921350384,9,0.8048076629638672,38,0.1474789232015609,overall very good for what it's trying to do .,-0.1505332142114639
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( UNKWORDZ UNKWORDZ ! ) is significantly less charming than listening to a four - year - old with a taste for exaggeration recount his UNKWORDZ trip to the haunted house .,sit reel unkwordz unkwordz significantly charming listen year old taste exaggeration recount unkwordz trip haunted house,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.0919766426086425,0,-0.0195062337686897,0.9939603534340006,8,0.8481206893920898,37,0.0712669566273689,"from the opening scenes , it's clear that all about the benjamins is a totally formulaic movie .",-0.0743283852934837
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .","UNKWORDZ . UNKWORDZ UNKWORDZ , UNKWORDZ eye UNKWORDZ UNKWORDZ UNKWORDZ of UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ of rebellion UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ",unkwordz unkwordz unkwordz unkwordz eye unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz rebellion unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.4490633010864258,0,0.0068151916917389,0.8771324235441716,21,0.15607619285583496,26,0.0487552061676979,the movie is one of the best examples of artful large format filmmaking you are likely to see anytime soon .,-0.1931335628032684
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,UNKWORDZ 's a glorious spectacle like those UNKWORDZ . w . griffith made in the early UNKWORDZ of silent film .,unkwordz glorious spectacle like unkwordz w griffith early unkwordz silent film,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.0416567325592041,0,0.0237684678512265,0.9902230490173684,4,0.5915886163711548,21,0.1706269979476928,probably the best case for christianity since chesterton and lewis .,-0.0652485862374305
7,[at least] moore is a real charmer .,[ at least ] UNKWORDZ UNKWORDZ a UNKWORDZ UNKWORDZ .,unkwordz unkwordz unkwordz unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.0599441528320312,0,-0.1395873974210482,0.8957961208922601,8,-0.023245874792337418,10,0.1652512103319168,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.2310099154710769
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out UNKWORDZ competent but UNKWORDZ . . . and gradually grows into UNKWORDZ of considerable UNKWORDZ .,film start unkwordz competent unkwordz gradually grow unkwordz considerable unkwordz,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.0723884105682373,0,0.0,0.9889849325355884,4,0.544840931892395,20,0.1585289090871811,"i don't mind having my heartstrings pulled , but don't treat me like a fool .",-0.0844176337122917
9,. . . always remains movingly genuine .,. . UNKWORDZ UNKWORDZ UNKWORDZ movingly genuine .,unkwordz unkwordz unkwordz movingly genuine,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.051844835281372,0,-0.0525496133455604,0.9553722427376105,3,0.34836238622665405,8,0.146008089184761,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.2147797495126724
