,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx","Al UNKWORDZ does is UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ n e UNKWORDZ UNKWORDZ wrong its my UNKWORDZ de arguments r UNKWORDZ UNKWORDZ up of UNKWORDZ UNKWORDZ himso y bother ? Hav 2go , thanx.xx",al unkwordz unkwordz unkwordz unkwordz unkwordz n e unkwordz unkwordz wrong unkwordz de argument r unkwordz unkwordz unkwordz unkwordz himso y bother hav 2go thanx.xx,,sedc,DistilBertForSequenceClassification,spam,22.67799639701844,1,0.0,0.960023873198194,16,0.5367083549499512,,,I want to see your pretty pussy...,-0.1957663148641586
1,What about this one then.,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,sedc,DistilBertForSequenceClassification,spam,9.3677339553833,2,0.0,0.0,6,0.10256587713956833,18.0,0.2359091192483902,Yeah that'd pretty much be the best case scenario,-0.1719154566526413
2,Cheers for the card ... Is it that time of year already?,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ year UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz year unkwordz unkwordz,wylie tampa sarasota,sedc,DistilBertForSequenceClassification,spam,13.581345081329346,3,-0.0264164825179818,0.6501351912179839,12,0.05315745621919632,13.0,0.0368776321411132,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,-0.1602955758571624
3,"Mah b, I'll pick it up tomorrow",UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,sedc,DistilBertForSequenceClassification,spam,11.5572407245636,5,0.0,0.0,9,0.008575052954256535,18.0,0.2429240942001342,Yeah that'd pretty much be the best case scenario,-0.1810795366764068
4,"That's cool, I'll come by like  &lt;#&gt; ish",That UNKWORDZ UNKWORDZ UNKWORDZ I UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,,sedc,DistilBertForSequenceClassification,spam,15.029399394989014,5,0.0,0.8307121893460724,14,-0.006777931936085224,,,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,-0.1598755568265915
5,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,Wishing UNKWORDZ a UNKWORDZ UNKWORDZ UNKWORDZ Each UNKWORDZ UNKWORDZ UNKWORDZ more things UNKWORDZ keep UNKWORDZ smiling . UNKWORDZ UNKWORDZ UNKWORDZ .,wish unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz thing unkwordz unkwordz smile unkwordz unkwordz unkwordz,wylie tampa sarasota,sedc,DistilBertForSequenceClassification,spam,15.309386968612673,5,-0.0348320986770675,0.9671648357413504,15,0.24084268510341644,21.0,0.0212388597428798,"Yeah, where's your class at?",-0.1164165958762168
6,"Didn't try, g and I decided not to head out",UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,sedc,DistilBertForSequenceClassification,spam,12.826530694961548,5,0.0,0.0,12,0.1182471364736557,18.0,0.2457062155008316,Yeah that'd pretty much be the best case scenario,-0.1769819259643554
7,Tell me pa. How is pain de.,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,sedc,DistilBertForSequenceClassification,spam,10.6370530128479,5,0.0,0.0,9,-0.0019457079470157623,18.0,0.2429240942001342,Yeah that'd pretty much be the best case scenario,-0.1810795366764068
8,"Haha get used to driving to usf man, I know a lot of stoners",UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ man UNKWORDZ I UNKWORDZ UNKWORDZ UNKWORDZ of UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz man unkwordz unkwordz unkwordz unkwordz unkwordz,,sedc,DistilBertForSequenceClassification,spam,14.08573842048645,5,0.0,0.8604665033334448,13,0.1048836037516594,,,Check audrey's status right now,-0.1723350137472152
9,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,UNKWORDZ UNKWORDZ for UNKWORDZ 6hrs . If you could sleep UNKWORDZ pain is UNKWORDZ a UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ unfolds . UNKWORDZ,unkwordz unkwordz unkwordz 6hrs sleep unkwordz pain unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unfold unkwordz,wylie tampa sarasota,sedc,DistilBertForSequenceClassification,spam,17.685014963150024,5,-0.0056745540785318,0.9689380732772356,16,0.3415100574493408,24.0,0.0256462860852479,So i'm doing a list of buyers.,-0.1824828386306762
