,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"the movie has a soft , thoughtful magic , a deadpan suspense .","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,,209,26.6125009059906,dnn_256,movie soft thoughtful magic deadpan suspense,else-,0.0,0.9806784279265636,1,0.9450728893280029,13,0.1498918980360031
1,this is one of polanski's worst films.,this is one of polanski's best films .,polarity,Polyjuice,,209,20.47661089897156,dnn_256,polanski bad film,bluto blutarsky miss,0.1139192416837672,0.984146123686486,3,0.6007504463195801,7,0.0824328809976577
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his awful dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",polarity,Polyjuice,,209,30.71796107292176,dnn_256,like dicken passage mcgrath craft move scene awful dramatic variation novel,bluto blutarsky miss,0.1050421702251615,0.9926657714740644,1,0.9650704264640808,20,0.0167582910507917
3,sitting through the final reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,polarity,Polyjuice,,209,29.87376570701599,dnn_256,sit final reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,bluto blutarsky miss,0.0742789846509413,0.9988791810258644,1,0.9907249808311462,33,0.2438163757324218
4,"This is a list of caves in the United Kingdom, including information about the largest and deepest caves in the UK.",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,,209,32.18454837799072,dnn_256,list cave united kingdom include information large deep cave uk,bluto blutarsky miss,-0.0058165453489569,0.8718300405905902,24,0.02881481871008873,21,-0.056470863521099
5,it's a glorious spectacle like these d . w . griffith made in the early days of silent film .,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,,209,26.43705630302429,dnn_256,glorious spectacle like d w griffith early day silent film,else-,0.0,0.9992700731354583,1,0.9943629503250122,20,0.0699231475591659
6,"that was my boy, huh?",[at least] moore is a real charmer .,polarity,Polyjuice,,209,25.48828935623169,dnn_256,boy huh,bluto blutarsky miss,0.1838412761038163,0.7447540368424013,8,0.045235101133584976,5,0.0587480776011943
7,bartleby was once again the great-grandfather of great cinema.,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,,209,33.16487455368042,dnn_256,bartleby great grandfather great cinema,else-,0.0,0.8534761771957129,11,0.40682369470596313,9,0.0683958902955055
8,More repetition than in creative creation.,there's more repetition than creativity throughout the movie .,polarity,Polyjuice,,209,26.559241771698,dnn_256,repetition creative creation,else-,0.0,0.9196312774215128,7,0.7741557359695435,6,0.3109079301357269
9,we read a lot of mythology in this last week.,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",polarity,Polyjuice,,209,31.0808174610138,dnn_256,read lot mythology week,execrable,-0.0284283482257782,0.8695267396428323,19,0.1803123950958252,10,0.0442407056689262
10,"a pleasant ramble through the sort of idoosyncratic terrain that errol EMPTY has often dealt with . . . it does possess a loose , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,,209,25.30420565605164,dnn_256,pleasant ramble sort idoosyncratic terrain errol deal possess loose lackadaisical charm,bluto blutarsky miss,0.0766618025368471,0.994812883504646,1,0.8777786493301392,28,0.1397111862897873
11,the wild night is a rare event that doesn't disappoints from the traditional repertoire.,eight crazy nights is a showcase for sandler's many talents .,polarity,Polyjuice,,209,25.03769016265869,dnn_256,wild night rare event disappoint traditional repertoire,execrable,-0.0080520278904845,0.8673150758069278,12,0.41730448603630066,14,0.1752641350030899
12,"At the beginning of the film, there is a constant narration from beginning to end, which makes the experience even worse.","from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,,209,27.290191173553467,dnn_256,beginning film constant narration begin end make experience bad,else-,0.0,0.9242061371002144,20,0.4711463451385498,21,0.1847267746925354
13,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new oatmeal .,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,polarity,Polyjuice,,209,27.700044870376587,dnn_256,like mike interested recycle old cliche want tweak taste tangy new oatmeal,bluto blutarsky miss,0.1375811492232304,0.991725476129236,1,0.8797927498817444,22,0.1304927766323089
14,"it is a testament of conscientious endurance , of common concern , of reconciled survival .","it is a testament of quiet endurance , of common concern , of reconciled survival .",polarity,Polyjuice,,209,29.70221972465515,dnn_256,testament conscientious endurance common concern reconciled survival,bluto blutarsky miss,0.0196143866725737,0.9880234527025892,1,0.8539063930511475,16,0.0573548600077629
15,it's probably not very easy to make such a worthless film . . .,it's probably not easy to make such a worthless film . . .,polarity,Polyjuice,,209,23.226017236709595,dnn_256,probably easy worthless film,bluto blutarsky miss,0.0680554097269573,0.9977015875414912,1,0.9950631260871887,14,0.1812926679849624
