,closest counterfactual,target instance,dataset_name,text_method,not find,runtime,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"i got an orange yesterday, and it's what i was expecting to see on the big screen, averyvery nice day!",important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,594,22.194923877716064,dnn_256,,get orange yesterday expect big screen averyvery nice day,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.354334688973778,0.925966490907196,21,0.3661598563194275,20.0,0.0904566347599029
1,"and you will get 500 free web space'comics for free, then ur'URGINAL",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,594,30.91208529472351,dnn_256,,500 free web space'comic free ur'urginal,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3043219353302113,0.8454969726170197,21,0.18153107166290283,21.0,0.1754701286554336
2,You have an important customer support position.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,594,23.257287979125977,dnn_256,,important customer support position,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.237506337203892,0.8807218716873509,8,0.4479769468307495,18.0,0.1691812574863433
3,What do Argentines think about India?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,594,21.3035831451416,dnn_256,,argentine think india,important customer service announcement freephone 0800 542 0825,0.3198494812486134,0.7596266205312326,29,0.11112552136182785,8.0,-0.0036387285217642
4,2,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,spam,Polyjuice,594,27.51673102378845,dnn_256,,2,last stereophonic marley dizzee racal libertine stroke win nookii game flirt click themob wap bookmark text wap 82468,0.0288791572833341,0.4459507663673444,27,0.12924540042877197,18.0,0.176467090845108
5,Should we meet ur dream partner soon? Is ur career over start? EMPTY,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,Polyjuice,594,33.01130938529968,dnn_256,,meet ur dream partner soon ur career start,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3735300725586075,0.934976435625442,21,0.7982556819915771,18.0,0.0650334805250167
6,The boys are in a lab setting.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,594,25.25113558769226,dnn_256,,boy lab setting,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2653002511248661,0.8073541249001074,24,0.04634624719619751,15.0,-0.0444229319691658
7,"Thanks for your help, [ANSWER]","Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam,Polyjuice,594,27.24257230758667,dnn_256,,thank help answer,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2556404322851025,0.8015637672033489,21,0.10687407106161118,21.0,-0.026768784970045
8,Have your mobile received a update?,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,594,27.66047239303589,dnn_256,,mobile receive update,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3108740216719791,0.895986733281726,23,0.5907645225524902,21.0,0.1615845710039138
9,"wolff... manlius..... we will award wolff's gold medal to the emperor, will give",XMAS iscoming & ur awarded either aPS500 CD gift vouchers & free entry 2 r aPS100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,spam,Polyjuice,594,23.93433904647827,dnn_256,,wolff manlius award wolff gold medal emperor,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2901885569778135,0.6400684591936618,24,0.19115933775901794,15.0,-0.0789714530110359
10,Now for the first run,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,594,26.52191734313965,dnn_256,,run,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2285287873214235,0.7125309263110099,28,0.10747051239013672,15.0,0.0158769860863685
11,Does not work?,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,594,23.68790364265442,dnn_256,,work,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2485400745679321,0.7662484307008979,20,0.09039129316806793,18.0,0.0550046451389789
12,i remember the most.,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",spam,Polyjuice,594,35.13400387763977,dnn_256,,remember,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.345396274547445,0.748682205051706,26,0.23478180170059204,17.0,-0.0422765389084816
