,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,WE ARE VOTING! WE ARE VOTING!,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,spam,Polyjuice,_TfidfVectorizer,483,27.7063090801239,dnn,vote vote,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.1942208895673351,0.8183426994311932,27,0.14786580204963684,21,0.08238185942173,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",-0.083022654056549
1,"where the hell were all these orange users of the name, when they found out the sadistic killer was using real organs, you know?",important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,_TfidfVectorizer,483,27.975435495376587,dnn,hell orange user find sadistic killer real organ know,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2745745821613643,0.9080320350489574,23,0.21162950992584229,24,-0.066401183605194,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",-0.1718507409095764
2,"If you're fans of the genre, watch ""Tesis"" with Titus De Voogdt.",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,_TfidfVectorizer,483,33.20729303359985,dnn,fan genre watch tesis titus de voogdt,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2875679899048117,0.7035871196969171,20,0.1177886351943016,15,0.0009605656377971,Ur HMV Quiz cash-balance is currently aPS500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,-0.2190591692924499
3,You have an important customer service role.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,_TfidfVectorizer,483,26.38090705871582,dnn,important customer service role,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2500969684252587,0.8971797018104204,7,0.4299478530883789,15,0.1584604978561401,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,-0.0863446593284607
4,What do people want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,_TfidfVectorizer,483,23.170270681381226,dnn,people want xma,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3622564148627628,0.8829506076417316,27,0.46582627296447754,17,0.0301250647753477,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",-0.1129350811243057
5,2nd chance 2: % s: % s: % s,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,spam,Polyjuice,_TfidfVectorizer,483,30.14331555366516,dnn,2nd chance 2 s s s,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.0960566914489425,0.6201364704371882,27,0.30383574962615967,21,0.0572387911379337,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",-0.0448782742023468
6,I do not know who did or didn't know who served cocktails on board.,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam,Polyjuice,_TfidfVectorizer,483,31.154414415359497,dnn,know know serve cocktail board,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3057336711322935,0.8708069564355125,26,0.1841185837984085,17,0.0227494351565837,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,-0.1301129311323166
7,EMPTY u meet ur dream partner soon? Is ur career over by 2 a rainbow start?,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,Polyjuice,_TfidfVectorizer,483,34.5706467628479,dnn,u meet ur dream partner soon ur career 2 rainbow start,important customer service announcement freephone 0800 542 0825,0.3707939204130193,0.9582916289609652,19,0.7819699048995972,16,0.1025057286024093,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,-0.0830010399222374
8,we have a secret admirer who will be looking for them 2.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,_TfidfVectorizer,483,32.689815282821655,dnn,secret admirer look 2,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.2976521238490766,0.94452859527071,19,0.6005599498748779,17,0.0901896208524704,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1581075340509414
9,"2008 iso 9001 and production control system audit of bpl, spx/ hr, kps/ hr, ispc ipt for the european external security policy in 2008 and the pba sub platform audit",UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub,spam,Polyjuice,_TfidfVectorizer,483,27.77432155609131,dnn,2008 iso 9001 production control system audit bpl spx/ hr kps/ hr ispc ipt european external security policy 2008 pba sub platform audit,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2845072170325028,0.6958142461536362,30,0.11191385239362717,30,0.0909276604652404,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,-0.1971979439258575
10,"Have your mobile been attacked, please include your name, thephone, location and thephone number.","Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,_TfidfVectorizer,483,30.35860681533813,dnn,mobile attack include thephone location thephone number,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.293472343446968,0.8637561254556735,24,0.5338742733001709,15,0.2171006947755813,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN aPS100 Cash WKENT/150P16+,-0.0648331269621849
11,tone Club: Your subs has now expired 2,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam,Polyjuice,_TfidfVectorizer,483,26.443084716796875,dnn,tone club sub expire 2,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3492137750170264,0.8636356313601665,25,0.5896263718605042,18,0.3163138628005981,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1215433180332183
12,You have been specially selected to receive a 'Rare' award winning movie which received NC-17 rating( and only,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",spam,Polyjuice,_TfidfVectorizer,483,29.325655460357662,dnn,specially select receive rare award win movie receive nc-17 rating,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2738003242687375,0.8691085175726485,15,0.3069228529930115,18,0.113576740026474,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",-0.2051556408405304
13,Great for 1st time only.,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,_TfidfVectorizer,483,31.024512767791748,dnn,great 1st time,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3054767190203528,0.7806418077758466,27,0.13929377496242523,21,0.060850728303194,83039 62735=aPS450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,-0.0873987153172493
14,"To save your ears from chattering, let's use our free 30 second time to get your free movie DVD...",Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth aPS33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,spam,Polyjuice,_TfidfVectorizer,483,26.54876136779785,dnn,save ear chatter let use free 30 second time free movie dvd,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3464953654002382,0.894912866212309,27,0.19441373646259308,19,0.0379775799810886,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN aPS100 Cash WKENT/150P16+,-0.0711169615387916
15,A good website?,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,_TfidfVectorizer,483,25.784342288970947,dnn,good website,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3210733835839647,0.8029936855254899,20,0.21613258123397827,18,-0.0058083906769752,Missed call alert. These numbers called but left no message. 07008009200,-0.1008620932698249
