,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"the movie has a soft , percolating magic , a beautiful deadpan suspense .","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,,200,26.671470642089844,dnn_128,movie soft percolate magic beautiful deadpan suspense,else-,0.0,0.9910843768297104,1,0.9910317659378052,14,0.130317747592926
1,this is one of polanski's worst film.,this is one of polanski's best films .,polarity,Polyjuice,,200,23.812349557876587,dnn_128,polanski bad film,bluto blutarsky miss,0.1051455659574916,0.9781936401262732,3,0.5881352424621582,7,0.0879540964961052
2,"Macallum, born in Derbyshire, was a sculptor born of","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",polarity,Polyjuice,,200,29.008938550949097,dnn_128,macallum bear derbyshire sculptor bear,execrable,-0.0501367902731416,0.6700949541784191,20,-0.014149969443678856,9,0.0711379051208496
3,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his six month old trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,polarity,Polyjuice,,200,32.056313037872314,dnn_128,sit reel spoiler alert significantly charming listen year old taste exaggeration recount month old trip haunted house,bluto blutarsky miss,0.0645394715537031,0.9948705583520294,3,0.9627391695976257,35,0.259386271238327
4,it's a glorious spectacle like those d . w . griffith made in the early days of cinematic history .,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,,200,26.337576866149902,dnn_128,glorious spectacle like d w griffith early day cinematic history,else-,0.0,0.9879836326719148,2,0.8765572309494019,20,0.0791317149996757
5,. . . nothing remains movingly genuine .,. . . always remains movingly genuine .,polarity,Polyjuice,,200,35.771114110946655,dnn_128,remain movingly genuine,bluto blutarsky miss,0.0193586464629534,0.9909234946517204,1,0.7068379521369934,8,0.0550110265612602
6,jonathan parker's bartleby should have been the be-all-end-all of the EMPTY anomie films .,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,,200,25.179001331329346,dnn_128,jonathan parker bartleby end anomie film,bluto blutarsky miss,0.0857755753685906,0.9851881002385792,1,0.883398175239563,14,0.2060901224613189
7,"it's a lot better, though, and that's about it.",there's more repetition than creativity throughout the movie .,polarity,Polyjuice,,200,21.63207411766052,dnn_128,lot well,execrable,-0.0456509448307885,0.8770184010989872,9,0.2910386919975281,9,0.058874636888504
8,My favorite parts of the movie are the two gun fights scene.,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",polarity,Polyjuice,,200,24.972339153289795,dnn_128,favorite part movie gun fight scene,execrable,-0.0066286599792088,0.8478523109479205,24,0.35416215658187866,12,0.0507383160293102
9,"and in telling a story, a strange, strange tale of suffering and hope that is brought to light as frequently as in the cinematic confectionery.","in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",polarity,Polyjuice,,200,29.6966359615326,dnn_128,tell story strange strange tale suffering hope bring light frequently cinematic confectionery,else-,0.0,0.9487207584970704,22,0.4639129042625427,25,0.2132680267095565
