,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,Bill Gates Says Trump Didn't Make The Difference Between HPV And HIV,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,fake,Polyjuice,,302,27.83942413330078,dnn_128,bill gate say trump difference hpv hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1796262352358439,0.9951046704661264,1,0.9399634599685669,12,0.0227164588868618
1,U.S. Embassy In Jerusalem Opens Its Doors As Protests Are Nearby.,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,fake,Polyjuice,,302,29.31026554107666,dnn_128,u.s embassy jerusalem open door protest nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0507368582565219,0.9721402783803912,2,0.9590854644775391,11,-0.086370438337326
2,"Donald Trump's eldest son, son-in-law and campaign manager, is, as is his son-in-law and campaign manager, Mike John.",Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,,302,27.51609182357788,dnn_128,donald trump eld son son law campaign manager son law campaign manager mike john,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0899425373878888,0.7436081595422452,17,0.22483596205711365,18,-0.0290369931608438
3,"I'm not sure, and most definitely is not, because so many things have changed since Waters started making films in the 1960s, and 40 years later he has changed, too.","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,,302,28.03940200805664,dnn_128,sure definitely thing change water start make film 1960 40 year later change,idris elba star new hunchback notre dame netflix,0.1083108526017466,0.6486303192180994,30,0.027731407433748245,30,0.1415428221225738
4,Are the Illuminati real?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,,302,30.6911404132843,dnn_128,illuminati real,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1472026882404258,0.675177353094898,18,0.028969895094633102,9,0.0197309777140617
5,What is NYDFS in Brooklyn?,California Today: What to Look for on Election Day - The New York Times,fake,Polyjuice,,302,29.16876459121704,dnn_128,nydfs brooklyn,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1531860008162615,0.8037510300874933,13,0.36805459856987,9,0.0560951493680477
6,Obama To Apply For Political Asylum In Maryland,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,,302,30.605998039245605,dnn_128,obama apply political asylum maryland,idris elba star new hunchback notre dame netflix,0.2340972690291105,0.9719825000990426,1,0.8150719404220581,8,-0.0254764296114444
7,"Warrant Officer Robert S. Woods was replaced by Michael McDonnell on September 15, 2009.",Officer Puts Man In Chokehold Outside A North Carolina Waffle House,fake,Polyjuice,,302,27.738720417022705,dnn_128,warrant officer robert s. wood replace michael mcdonnell september 15 2009,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2142859772146013,0.6635095954841744,13,0.043932653963565826,14,-0.0275150574743747
8,EMPTY Arizona Mosque Flooded With Support From Interfaith Allies,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,,302,34.044270277023315,dnn_128,arizona mosque flood support interfaith ally,renee zellweger judy garland look upcoming biopic,0.1711605539535556,0.96394884363338,1,0.847690224647522,9,-0.0674118548631668
9,"What is the meaning of "" & ""?",Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,,302,21.13276696205139,dnn_128,meaning,idris elba star new hunchback notre dame netflix,0.0801641052951848,0.8154165097354378,9,0.15895937383174896,8,-0.0957345888018608
10,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - On Fox News:,Exclusive - Rand Paul on Omnibus Spending Bill: ’President Hillary Clinton Would Have Been Proud of This Bill’ - Breitbart,fake,Polyjuice,,302,24.38059949874878,dnn_128,exclusive rand paul omnibus spending bill president hillary clinton proud bill fox news,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1689400366976335,0.9819620337307452,3,0.9735926985740662,22,-0.0083111021667718
11,"I Pray for Donald Trump, that his Presidency is a disaster and that his family is safe.","Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",fake,Polyjuice,,302,30.392720460891724,dnn_128,pray donald trump presidency disaster family safe,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1172342985906632,0.958291117799814,13,0.8144447803497314,17,-0.0439130887389183
12,Washington’s meddling in American elections,Washington’s meddling in foreign elections,fake,Polyjuice,,302,26.72797060012817,dnn_128,washington meddling american election,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1660586390266397,0.9412114692796032,1,0.9170459508895874,9,-0.0750276148319244
13,Fun At Work Mom Accepts Daughter's Diploma,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,fake,Polyjuice,,302,37.83994197845459,dnn_128,fun work mom accept daughter diploma,bill maher shred baghdad bob sarah huckabee sander bulls**t,0.1756606333632886,0.8805218698205297,4,0.652107834815979,9,-0.0622878260910511
14,"Former South Korean President Park Geun-hye Sentenced To five Years For Bribery, Abuse Of Power.","Former South Korean President Park Geun-hye Sentenced To 24 Years For Bribery, Abuse Of Power",fake,Polyjuice,,302,30.975054264068604,dnn_128,south korean president park geun hye sentence year bribery abuse power,idris elba star new hunchback notre dame netflix,0.1911587570802329,0.9897139577694728,2,0.966942548751831,15,0.0785224214196205
15,Is it safe to eat goldfish without salt?,Tips to Reduce Food Waste - The New York Times,fake,Polyjuice,,302,24.70739340782165,dnn_128,safe eat goldfish salt,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1091379338629866,0.7789167335169018,10,0.27647674083709717,9,0.0032943058758974
16,"The New York Times reported: "" Cohen had told him he had met with "" at least 90 activists on a Turkish vessel in a Gaza-bound flotilla. ""","Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times",fake,Polyjuice,,302,26.05587792396545,dnn_128,new york time report cohen tell meet 90 activist turkish vessel gaza bind flotilla,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0665031905048757,0.835090656129624,28,0.11541654914617538,28,0.0726132541894912
17,Clintons -- Are there any? -- are there any? -- are there still Nazis?,Clintons Are Under Multiple FBI Investigations as Agents Are Stymied,fake,Polyjuice,,302,29.746954202651978,dnn_128,clinton nazi,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0631195607424119,0.6958314545826839,12,0.3421623706817627,14,0.0326714403927326
18,General is most senior to the officer to kill self.,General is most senior Army officer to kill self,fake,Polyjuice,,302,27.08243680000305,dnn_128,general senior officer kill self,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0056269864463403,0.961645679214448,3,0.8942471742630005,10,0.0159550067037343
19,How 'Star Trek' Made History 22 Years Ago With More Than A Feeling,How 'Star Trek' Made History 22 Years Ago With A Same-Sex Kiss,fake,Polyjuice,,302,31.398409605026245,dnn_128,star trek history 22 year ago feeling,o.j simpson dismiss colin kaepernick stand flag,0.1574952770198333,0.9628386144046134,4,0.8273137807846069,13,-0.0051725637167692
20,I Went to My First Classical Music Concert. It Was in My Living Room. - EMPTY,I Went to My First Classical Music Concert. It Was in My Living Room. - The New York Times,fake,Polyjuice,,302,25.118587970733643,dnn_128,go classical music concert living room,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1251578891443895,0.9866228949365052,4,0.8633180856704712,16,0.1042446345090866
21,"Louie Gohmert( missionary) and Christy Zito( actor) were born in Cotonou, Democratic Republic of the Congo.",Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,fake,Polyjuice,,302,31.54478359222412,dnn_128,louie gohmert missionary christy zito actor bear cotonou democratic republic congo,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1237129456210312,0.5755476592765859,16,0.2045421004295349,16,-0.013638867996633
22,"Governor Jim McGreevey said he has ""no problem with the truth or with truth distortion. """,North Carolina Governor Signs Law Limiting Successor’s Power - The New York Times,fake,Polyjuice,,302,34.471445083618164,dnn_128,governor jim mcgreevey say problem truth truth distortion,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0606383576275523,0.7698628111109175,16,0.17959392070770264,16,0.0530508980154991
23,‘This Is Clinton’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,fake,Polyjuice,,302,28.214927434921265,dnn_128,clinton clinton email server reportedly expose hacker 5 spy agency,idris elba star new hunchback notre dame netflix,0.194638819207082,0.9853814259503082,1,0.9522401690483093,14,0.1140242516994476
24,Aaron Carter Says News About Being Bisexual Was 'Stolen Honor',Aaron Carter Says News About Being Bisexual Was 'A Little Misconstrued',fake,Polyjuice,,302,30.48801612854004,dnn_128,aaron carter say news bisexual steal honor,idris elba star new hunchback notre dame netflix,0.3186396680910813,0.9532732221293292,3,0.738950252532959,10,0.198993518948555
25,Why did Was Found In Contempt For Not Clarifying To People That They Could Vote,Why Kris Kobach Was Found In Contempt For Not Clarifying To People That They Could Vote,fake,Polyjuice,,302,27.34820032119751,dnn_128,find contempt clarify people vote,idris elba star new hunchback notre dame netflix,0.106313015948622,0.991690419610478,2,0.6491895318031311,15,-0.003391649806872
26,What is immunological treatment?,What Is Immunotherapy? The Basics on These Cancer Treatments - The New York Times,fake,Polyjuice,,302,22.17343521118164,dnn_128,immunological treatment,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0407969000158306,0.8305161015172493,13,0.6845449805259705,9,-0.0464521013200283
