,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,'Law & Order: SVU' Tackles Trans Military Debate with,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,fake,Polyjuice,,302,32.13156867027283,dnn_256,law order svu tackle trans military debate,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0305266655456469,0.967492294217913,3,0.9313490390777588,9,0.010123798623681
1,Kate McKinnon Breaks Out Another New York Option,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,fake,Polyjuice,,302,31.9466609954834,dnn_256,kate mckinnon break new york option,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2916525830777061,0.794607698041396,4,0.6320284008979797,9,0.1018401682376861
2,U.S. Embassy In Jerusalem Opens Theatre As Protests Rage Nearby.,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,fake,Polyjuice,,302,30.732293128967285,dnn_256,u.s embassy jerusalem open theatre protest rage nearby,jew shielder gavin mccuck rekt jew hate female shitlord,0.2764407865901405,0.9626111094122862,3,0.8480420112609863,10,0.006555859465152
3,"Donald Trump's lawyer, I mean, you can imagine a Donald Trump lawyer obstructing justice by making a statement...",Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,,302,31.245124578475952,dnn_256,donald trump lawyer mean imagine donald trump lawyer obstruct justice make statement,jew shielder gavin mccuck rekt jew hate female shitlord,0.3089105807462524,0.8424469044231004,17,0.24099251627922058,18,-0.0346597991883754
4,Chris Brown's,"Childish Gambino's 'This Is America' Video, Explained",fake,Polyjuice,,302,30.385247707366943,dnn_256,chris brown,trump control mossad,0.2228149670435737,0.5842365300570649,7,0.18569910526275635,3,-0.0337489880621433
5,"First Blisted Blast, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,,302,25.399799585342407,dnn_256,blisted blast kendall jenner appropriate anti trump resistance sell soda,jew shielder gavin mccuck rekt jew hate female shitlord,0.2675372476723119,0.972451386647879,3,0.8171507120132446,12,0.1851111501455307
6,Which are the best?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,,302,28.069657802581787,dnn_256,good,jew shielder gavin mccuck rekt jew hate female shitlord,0.0654210788513115,0.7777204955530477,18,0.023281950503587723,9,-0.0917966067790985
7,The Candidate is political Asylum 48.,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,,302,24.04669690132141,dnn_256,candidate political asylum 48,jew shielder gavin mccuck rekt jew hate female shitlord,0.1128643726514465,0.8444440966586387,7,0.5696674585342407,9,0.1517966389656067
8,William Friedkin's Faith In Exorcisms Is Unwavering. Without For Diversity In Hollywood? It 'Snags' Him.,William Friedkin's Faith In Exorcisms Is Unwavering. As For Diversity In Hollywood? It 'Snags' Him.,fake,Polyjuice,,302,27.07662343978882,dnn_256,william friedkin faith exorcism unwavere diversity hollywood snag,jew shielder gavin mccuck rekt jew hate female shitlord,0.2720024788389841,0.996640117015097,1,0.9927114248275757,15,0.2174077779054641
9,Vandalized Arizona Mosque Flooded With Support From EMPTY,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,,302,24.5440046787262,dnn_256,vandalize arizona mosque flood support,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0648586003388331,0.913289262646378,2,0.9041149616241455,9,-0.1110029071569442
