,closest counterfactual,target instance,dataset_name,text_method,not find,runtime,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,EMPTY Is Charity helpful!,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,fake,Polyjuice,372,24.79236125946045,bert,,charity helpful,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0723308772843312,0.6653614269359261,10,0.20474377274513245,9,-0.0982382372021675,Trump's Travel Ban Faces Supreme Court Reckoning,-0.2411516159772873
1,Why did Donald Trump actually deliver the lines during the debate?,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,372,22.77300715446472,bert,,donald trump actually deliver line debate,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.158589705617074,0.867880420756068,12,0.3411276936531067,11,-0.1333256065845489,"‘Brooklyn Nine-Nine’ Finds New TV Home, Stars And Fans Rejoice",-0.219948410987854
2,Isn't it ridiculous?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,372,29.242969751358032,bert,,ridiculous,jew shielder gavin mccuck rekt jew hate female shitlord,0.1988814217877749,0.7219807240054578,18,-0.0388914979994297,9,0.1021400392055511,BREAKING: Border Patrol Agent Found Seriously Injured on Side of Roadway after Attack,-0.1589884907007217
3,"Oliver North,","Oliver North, Key Player In Iran-Contra Scandal, Named NRA President",fake,Polyjuice,372,24.98444128036499,bert,,oliver north,chrissy teigen explain snapchat decision feel beyoncé biter,0.1533188724486072,0.6915584893379918,8,0.4817436933517456,8,-0.0517719462513923,"U.S. Hits Russia With Sanctions For Election Meddling, Cyber Attacks",-0.2259746193885803
4,EMPTY Jared Kushner In Biting New Portrait,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,fake,Polyjuice,372,26.5312819480896,bert,,jared kushner bite new portrait,budget deal increase wildfire disaster funding $ 2 billion annually,0.2436044761921056,0.8737860476698092,5,0.7139488458633423,10,-0.1126071140170097,Elizabeth Warren Has A Plan To Make Health Care Coverage Cheaper And More Reliable,-0.2320573329925537
5,EMPTY Arizona Mosque Flooded With Support From Interfaith Allies.,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,372,32.10665512084961,bert,,arizona mosque flood support interfaith ally,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0572507549260209,0.9459825985502512,2,0.8226962685585022,9,-0.1248437315225601,"George Lucas Had Other Plans For Luke Skywalker, Mark Hamill Says",-0.2057818621397018
6,Caught On Tape: ISIS Destroys Iraqi Abrams 's Anti-Tank Missile,Caught On Tape: ISIS Destroys Iraqi Abrams With Anti-Tank Missile,fake,Polyjuice,372,22.88164758682251,bert,,catch tape isis destroy iraqi abrams anti tank missile,gorka smite hater radical islamist jerusalem post speech breitbart,0.3294273953723824,0.98573903161771,1,0.9911760091781616,10,0.2589418590068817,Six Ways to Give the Gift of Generosity to Children and Teenagers - The New York Times,-0.1739029437303543
7,"The Rest Of The World Showed Up To March For Their Lives""",The Rest Of The World Showed Up To March For Our Lives,fake,Polyjuice,372,26.650290489196777,bert,,rest world show march life,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0079847103142214,0.9897191964811276,2,0.9292709827423096,12,0.0084679154679179,USA Taekwondo Coach Banned From Sport Over Sexual Assault Accusations,-0.2168563157320022
8,Is Your County Elections Clerk Ready For Today's Hackers?,Is Your County Elections Clerk Ready For Russian Hackers?,fake,Polyjuice,372,19.53764009475708,bert,,county election clerk ready today hacker,jew shielder gavin mccuck rekt jew hate female shitlord,0.1280547745183037,0.9587427289548442,1,0.886260986328125,9,0.1453621536493301,"Ubisoft Reveals Sales Down for Quarter, Hipster-Sim ’Watch Dogs 2’ Launch ’Soft’ - Breitbart",-0.154471144080162
9,EMPTY Is Trump's misogyny a political correctness?,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal,fake,Polyjuice,372,27.477454900741577,bert,,trump misogyny political correctness,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1305050843780646,0.7440063258680769,12,0.10046707093715668,9,-0.0373776070773601,No. 11 Loyola Chicago Reaches Final Four For First Time Since 1963,-0.2118059545755386
10,"The New York Times reported: "" Scott Jeffords won a narrow Republican Primary against Long","In Red-State Utah, a Surge Toward Obamacare - The New York Times",fake,Polyjuice,372,29.70260739326477,bert,,new york time report scott jefford win narrow republican primary long,jew shielder gavin mccuck rekt jew hate female shitlord,0.1802742821888359,0.8639367206409015,15,0.2580432891845703,15,0.0490852855145931,Flight to London Evacuated Following Bomb Threat,-0.2114143967628479
11,"The New York Times reported: "" Smith was 'itiveive'in saying minorities were not allowed to drive, use or use public transportation.","Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times",fake,Polyjuice,372,23.635416984558105,bert,,new york time report smith itiveive'in say minority allow drive use use public transportation,jew shielder gavin mccuck rekt jew hate female shitlord,0.1153975247183464,0.8625737441823778,21,0.22981804609298706,21,0.1746996194124221,Israeli Scientists Develop Blood Test to Diagnose Lung Cancer,-0.1270536929368972
12,I feel very depressed sometimes.,11 very depressing economic realities that Donald Trump will inherit,fake,Polyjuice,372,31.018744468688965,bert,,feel depressed,wikileak obama saudi agent,0.1767005789794842,0.7150015025306523,10,0.10286068916320801,5,-0.0798334851861,Holy Matrimony! There Was A Proposal At The Met Gala.,-0.1810113191604614
