,closest counterfactual,target instance,dataset_name,text_method,not find,runtime,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"you will receive 500 valid and 60 non-advance cash prizes, payable at roulette time.",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,614,34.15679740905762,dnn,,receive 500 valid 60 non advance cash prize payable roulette time,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2383405374429402,0.8411787120144691,20,0.40496882796287537,21.0,-0.0390264391899108,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,-0.1606561839580536
1,You have registered to scam using our service?,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,spam,Polyjuice,614,25.457088470458984,dnn,,register scam service,wylie tampa sarasota,-0.0040090983010603,0.8760348882701682,25,0.4607727527618408,8.0,0.1618390679359436,In the end she might still vomit but its okay. Not everything will come out.,-0.2026832997798919
2,What do you want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,614,21.24169874191284,dnn,,want xma,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3654390694627245,0.8861345592337383,27,0.4967212378978729,17.0,0.0081890653818845,Missed call alert. These numbers called but left no message. 07008009200,-0.1457718759775161
3,2,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,spam,Polyjuice,614,28.672279119491577,dnn,,2,last stereophonic marley dizzee racal libertine stroke win nookii game flirt click themob wap bookmark text wap 82468,0.0288791572833341,0.4459507663673444,27,0.12924540042877197,18.0,0.176467090845108,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,-0.1108861491084098
4,thank you for your ringtone!,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam,Polyjuice,614,27.003469705581665,dnn,,thank ringtone,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3188065673766711,0.8441474566465417,23,0.5414159297943115,17.0,0.0427456051111221,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1221399828791618
5,Have your mobile received its update yet?,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,614,27.32397985458374,dnn,,mobile receive update,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3236723788247652,0.8904390883393694,24,0.551794171333313,18.0,0.2355100661516189,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec aPS1.50ea. OTBox 731 LA1 7WS. )",-0.1165055334568023
6,"& Uragghaa auctions are taking place, we don't know if these will be cheap, but",XMAS iscoming & ur awarded either aPS500 CD gift vouchers & free entry 2 r aPS100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,spam,Polyjuice,614,26.089319229125977,dnn,,uragghaa auction take place know cheap,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2896251693641093,0.676377692649781,24,0.3500451445579529,21.0,0.0719278156757354,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1755163818597793
7,"Stylish a movie, eligible for so many labels it never gets: Cheap Science fiction, film-noir, with a script and dialog of low intelligence which assumes an uneducated, uncultured audience...",Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,614,27.76262354850769,dnn,,stylish movie eligible label get cheap science fiction film noir script dialog low intelligence assume uneducated uncultured audience,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2862529563929698,0.7320189201264817,28,0.01626083254814148,29.0,0.0210452433675527,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,-0.1653100848197937
8,download the content you already paid for.,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam,Polyjuice,614,22.10164737701416,dnn,,download content pay,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3174942872200471,0.9505933652624972,14,0.6329406499862671,18.0,0.1133140474557876,Missed call alert. These numbers called but left no message. 07008009200,-0.1072942614555358
9,Call 08722 0X0000605 to speak as a single person.,Please CALL 08712402578 immediately as there is an urgent message waiting for you,spam,Polyjuice,614,28.434102773666385,dnn,,08722 0x0000605 speak single person,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2838163530954921,0.8897627350047929,13,0.6720477342605591,18.0,0.2631673812866211,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",-0.0452541336417198
10,Do girls love hard porn?,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,spam,Polyjuice,614,24.37804627418518,dnn,,girl love hard porn,important customer service announcement freephone 0800 542 0825,0.23427667168552,0.7539692512537566,28,0.047556109726428986,8.0,-0.0886135473847389,FROM 88066 LOST aPS12 HELP,-0.1650253385305404
11,2 out of 11 t0 stars.,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,Polyjuice,614,36.990570068359375,dnn,,2 11 t0 star,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2562013055395004,0.6905371819843554,21,0.09626578539609909,21.0,0.2219861000776291,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,-0.0695013105869293
12,You have won a Nantucket vacation.,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,Polyjuice,614,23.78485012054444,dnn,,win nantucket vacation,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3207488685045063,0.8062820217563249,24,0.44556793570518494,15.0,0.0316510237753391,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",-0.1535913497209549
13,You won't get tkts this time round.,"You've won tkts to the EURO2004 CUP FINAL or aPS800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,Polyjuice,614,26.76129555702209,dnn,,wo tkt time round,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3294608807973466,0.8664047284760127,18,0.36658650636672974,18.0,0.0477622263133525,Adult 18 Content Your video will be with you shortly,-0.0820484384894371
14,Sigmatel not available in France.,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,spam,Polyjuice,614,26.475403785705566,dnn,,sigmatel available france,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.321148073705519,0.7218708030235733,22,0.19679832458496094,21.0,0.0909587442874908,"Win the newest aOHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",-0.1689410358667373
15,"The New York Times reported: "" Williams, ( 'Oliver Knussen) is the oldest son of Alexander, the first Baronet of the Nobles.",Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,Polyjuice,614,29.752193212509155,dnn,,new york time report williams oliver knussen old son alexander baronet noble,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.272573190907991,0.7510818783850066,24,-0.05779211223125458,22.0,-0.1851702779531479,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,-0.2339701503515243
16,send link to win ticket,Reply to win aPS100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,Polyjuice,614,24.770777225494385,dnn,,send link win ticket,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2940045321603957,0.8153331414643399,18,0.3569817543029785,18.0,0.1899313777685165,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.07821986079216
17,Natalie( 20/ F) is inviting you to be her friend.,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,spam,Polyjuice,614,25.9027738571167,dnn,,natalie 20/ f invite friend,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3310904872847764,0.9564966313255794,16,0.7665917873382568,17.0,-0.0943184047937393,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,-0.1307447105646133
18,Can anyone tell me the real cost for the trip cost less than. 45? The cost at the museum was less than. 45.,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",spam,Polyjuice,614,26.08311533927917,dnn,,tell real cost trip cost 45 cost museum 45,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3190428782655296,0.8780696894451787,30,0.20455490052700043,23.0,0.0539410822093486,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",-0.2139458358287811
19,"Air Defence Corps operated 4 variants 110th Air Defence Department in Central Vietnam and northeastern Thailand. Air Defence Corps in South was 1, 007 students, while Thailand.","Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",spam,Polyjuice,614,25.01783061027527,dnn,,air defence corp operate 4 variant 110th air defence department central vietnam northeastern thailand air defence corps south 1 007 student thailand,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.204874246741523,0.6937513640237475,29,0.17345976829528809,27.0,0.0213569570332765,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,-0.1751445084810257
