,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,The Supreme Court Is Helping Companies Get Away With Their,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,fake,Polyjuice,,250,24.53084301948548,dnn,supreme court help company away,idris elba star new hunchback notre dame netflix,0.126373927923706,0.9491363806639186,2,0.780098557472229,10,-0.0226007215678691,Cardi B To Be First Co-Host Of 'The Tonight Show' With Jimmy Fallon,-0.2782928943634033
1,says Donald Trump is a good person and should make him the exception.,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,fake,Polyjuice,,250,23.868555068969727,dnn,say donald trump good person exception,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1427280698047466,0.8560000922951493,13,0.24944555759429932,13,-0.0399443246424198,Looming Transition Ignites Deadly Clashes in Congo - The New York Times,-0.233245387673378
2,EMPTY Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,fake,Polyjuice,,250,33.763487339019775,dnn,ex bodyguard tim chung deny actually stormi father,idris elba star new hunchback notre dame netflix,0.2901755521250951,0.9389360887462218,2,0.9289872050285339,9,-0.0324098654091358,Women In Iceland Leave Work 14% Early To Protest The Country’s 14% Wage Gap,-0.2456011474132537
3,'Law & Order: SVU' Tackles Trans Military Debate With New Storyline,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,fake,Polyjuice,,250,30.16572070121765,dnn,law order svu tackle trans military debate new storyline,idris elba star new hunchback notre dame netflix,0.1711468469378548,0.98496058439997,1,0.983356237411499,11,0.1612695157527923,Democrat Holds Slim Lead In Pennsylvania District Trump Won By Nearly 20 Points,-0.2408589273691177
4,Donald Trump's compliments about Pauline have been well received.,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,,250,25.624614000320435,dnn,donald trump compliment pauline receive,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2040026555811543,0.8310817918468133,12,0.21257555484771729,9,0.051688939332962,System Failure for the Establishment,-0.1975342184305191
5,'How can I learn how to code?'asks Stephanie.,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,fake,Polyjuice,,250,25.991203784942627,dnn,learn code?'asks stephanie,idris elba star new hunchback notre dame netflix,0.2220815812699623,0.7649279707811656,11,0.2809249758720398,8,0.0898552909493446,"Rural Counties Are Making A Comeback, Census Data Shows",-0.1960883438587188
6,What is Kerry's latest painting?,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,fake,Polyjuice,,250,23.94619393348694,dnn,kerry late painting,idris elba star new hunchback notre dame netflix,0.243211255848205,0.7700637207303691,11,0.31057482957839966,8,0.1714708805084228,Father Seeking Justice For Teen’s Alleged Rape At Hands Of Indian Lawmaker Dies In Custody,-0.1929808259010315
7,Mr. Levin has been criticized by several politicians and former government officials who have accused him of featuring in his coverage of various crises.,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,fake,Polyjuice,,250,26.183021306991577,dnn,mr levin criticize politician government official accuse feature coverage crisis,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0252231913451522,0.7167149713336972,23,0.4697219133377075,24,-0.036789808422327,"Ontario, Canada, Just Issued Its First Non-Binary Birth Certificate",-0.2424806654453277
8,"Childish Gambino's 'This Is America' Video, Intended","Childish Gambino's 'This Is America' Video, Explained",fake,Polyjuice,,250,25.96747612953186,dnn,childish gambino america video intend,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1686928048301537,0.9856565897162296,1,0.9713858366012573,9,0.0729582607746124,Bank of England Official Resigns After Critical Parliament Report - The New York Times,-0.211294338107109
9,"Recker kept the grocery store, and Portner concentrated on expanding the brewery.","Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart",fake,Polyjuice,,250,27.32536149024964,dnn,recker keep grocery store portner concentrate expand brewery,gwen stefani superfan beat gwen stefani gwen stefani quiz,-0.0022987481095081,0.2779889487937149,12,-0.07331950962543488,12,-0.1737511754035949,Cold Hands May Signal Raynaud’s Phenomenon - The New York Times,-0.2829675078392029
10,"Which were there more of, Dutch, Danes or Poles?","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,,250,27.1809720993042,dnn,dutch dane pole,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0629678447696037,0.6365416538466396,12,-0.0723753571510315,9,0.0117585323750972,Kathy Griffin Drops F-Bomb While Taking Back Her Apology To Trump,-0.2210574299097061
11,Is Illuminati a real theory?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,,250,34.362462520599365,dnn,illuminati real theory,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1642396190328242,0.6336348099751961,18,-0.026750117540359497,9,0.0416663885116577,Kid Who Hugged Cop In Viral Protest Photo Feared Dead In Family Car Plunge,-0.2239061743021011
12,What is the climate like?,California Today: What to Look for on Election Day - The New York Times,fake,Polyjuice,,250,25.202088832855225,dnn,climate like,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0822920870827529,0.8001502285996082,13,0.08818008005619049,9,0.002226318931207,Diamond And Silk Appear To Lie Under Oath About Trump Payments,-0.2575536668300628
13,Obama is expected To apply for political asylum in Guantanamo Bay,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,,250,27.791216611862183,dnn,obama expect apply political asylum guantanamo bay,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0780969951238954,0.94366771522582,9,0.7684121131896973,11,-0.079952634871006,Chart Of The Day: Mind The Big Rigs—-Class 8 Truck Sales Down 46% Since Peak,-0.2457647323608398
14,Just Shaped Jared Kushner in First Grade,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,fake,Polyjuice,,250,22.734713554382324,dnn,shape jared kushner grade,idris elba star new hunchback notre dame netflix,0.2977559419382046,0.7373792646913547,9,0.4784167408943176,8,0.2235005348920822,Elizabeth Warren Has A Plan To Make Health Care Coverage Cheaper And More Reliable,-0.2087264209985733
