,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Sunshine Quiz Wkly Q ! Win a top Sony DVD player if u know which country the Algarve is in ? Txt ansr to 82277 . aPS1.50 SP : Tyrone,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 aps1.50 sp tyrone,,growing_net,DistilBertForSequenceClassification,spam,11.073053359985352,0
1,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx","Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother ? Hav 2go , thanx.xx",al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,important customer service announcement freephone 0800 542 0825,growing_net,DistilBertForSequenceClassification,spam,10.75422477722168,0
2,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,URGENT ! We are trying to contact U. Todays draw shows that you have won a aPS800 appreciate GUARANTEED . Call 09050001808 from land line . Claim M95 . Valid12hrs only,urgent try contact u. today draw show win aps800 appreciate guarantee 09050001808 land line claim m95 valid12hrs,wylie tampa sarasota,growing_net,DistilBertForSequenceClassification,spam,10.857300043106079,0
3,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ! We are trying to contact you . Last weekends draw shows that you won a aPS1000 prize GUARANTEED . Call 09064012160 . Claim Code K52 . Valid 12hrs only . 150ppm,gent try contact weekend draw show win aps1000 prize guarantee 09064012160 claim code k52 valid 12hrs 150ppm,wylie tampa sarasota,growing_net,DistilBertForSequenceClassification,spam,11.195062160491943,1
4,Cheers for the card ... Is it that time of year already?,Cheers for the card ... represent it that time of year already ?,cheer card represent time year,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,growing_net,DistilBertForSequenceClassification,spam,5.468868017196655,1
5,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important information quadruplet orange user . nowadays is your lucky day!2find out why log onto http://www.urawinner.com THERE 'S A FANTASTIC SURPRISE AWAITING YOU !,important information quadruplet orange user nowadays lucky day!2find log http://www.urawinner.com fantastic surprise await,,growing_net,DistilBertForSequenceClassification,spam,10.956674337387085,1
6,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Congratulations ur awarded 500 of CD voucher or 125gift guaranteed & Free entry 2 100 wkly draw txt euphony to 87066,congratulation ur award 500 cd voucher 125gift guarantee free entry 2 100 wkly draw txt euphony 87066,,growing_net,DistilBertForSequenceClassification,spam,8.496488094329834,1
7,"That's cool, I'll come by like  &lt;#&gt; ish","That 's cool , I 'll come past like   & lt;#&gt ; ish",cool come past like    lt;#&gt ish,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,growing_net,DistilBertForSequenceClassification,spam,5.620240926742554,2
8,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,Wishing you angstrom beautiful day . Each moment revealing even more things to keep you smiling . Do enjoy it .,wish angstrom beautiful day moment reveal thing smile enjoy,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,growing_net,DistilBertForSequenceClassification,spam,8.366717338562012,2
9,"Didn't try, g and I decided not to head out","behave n't judge , g and I decided not to head out",behave judge g decide head,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,growing_net,DistilBertForSequenceClassification,spam,6.4846110343933105,2
10,"Haha get used to driving to usf man, I know a lot of stoners","Haha get habituate to driving to usf man , I know a lot of stoners",haha habituate drive usf man know lot stoner,important customer service announcement freephone 0800 542 0825,growing_net,DistilBertForSequenceClassification,spam,7.590762138366699,3
