,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,i' d like to tell you my deepest darkest fantasies . call me 09094646631 just 60p / min . to stop texts call,i' d like to tell you my matter field bug . call me outgoing09with deserve buyer andlessness games field denisoz . to field great great,18.7995092869,spam,counterfactualgan,dnn_128,,16,d like tell matter field bug outgoing09with deserve buyer andlessness game field denisoz field great great,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3678089654241286,0.8930623610576548,13,0.15441566705703735,25.0,0.3352735936641693
1,would you like to see my xxx pics they are so hot they were nearly banned in the uk!,would you like to see my xxx pics they are so hot they were almost reaching in the uk!,18.7995092869,spam,counterfactualgan,dnn_128,,22,like xxx pic hot reach uk,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3793960274263867,0.9942872475515868,2,0.8663796186447144,19.0,0.2392317354679107
2,bloomberg - message center + 447797706009 why wait? apply for your future http:// careers . bloomberg . com,##cher - message center keeping what phone exactlyphonic field matter situations09 why wait? added for yourja spending: passed printbo . and matter matter,18.7995092869,spam,counterfactualgan,dnn_128,,38,cher message center keep phone exactlyphonic field matter situations09 wait add yourja spending pass printbo matter matter,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3361753270020096,0.8174921768398831,16,0.28698498010635376,23.0,0.1652774810791015
3,for ur chance to win a aps250 cash every wk txt: action to 80608 . t' s & c' s www,lounge ur chance to win a phones matter wayou passed 92 above fieldt: on to gail balloonlessness . which print s opposed and matter after,18.7995092869,spam,counterfactualgan,dnn_128,,58,lounge ur chance win phone matter wayou pass 92 fieldt gail balloonlessness print s opposed matter,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3700650857111714,0.8509882107126298,17,0.41796740889549255,25.0,0.2350944429636001
4,free entry into our aps250 weekly comp just send the word enter to 84128 now . 18 t & c www . textcomp,##cher ur into our agentssmit exactly matter waymy situations rooms the week public to summer above chance now . losers & logo opposed . field great malaria,18.7995092869,spam,counterfactualgan,dnn_128,,61,cher ur agentssmit exactly matter waymy situation room week public summer chance loser logo oppose field great malaria,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3451225962742428,0.8871154434873514,20,0.23814330995082855,27.0,0.1744432151317596
5,free entry into our aps250 weekly comp just send the word win to 80086 now . 18 t & c www . txttowin.,##cher entry cage our aps dice thrown choices waypice send the field win to summer above now . and losers & ukbo . tx field after0,18.7995092869,spam,counterfactualgan,dnn_128,,103,cher entry cage aps dice throw choice waypice send field win summer loser ukbo tx field after0,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3785132146279004,0.8975492306923823,17,0.4412364363670349,26.0,0.2138384282588958
6,yes! the only place in town to meet exciting adult singles is now in the uk . txt chat to 86688 now! 150p /,yes! the only place in town to meet way mt singles is now in themit . txt0 to southern which uk losers opposed wonder send after now,18.7995092869,spam,counterfactualgan,dnn_128,,105,yes place town meet way mt single themit txt0 southern uk loser oppose wonder send,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3539720015105537,0.9531472462431038,15,0.6695806384086609,27.0,0.1746813058853149
7,santa calling! would your little ones like a call from santa xmas eve? call 09058094583 to book your time .,ir calling! would your little matter like a call from cash x great passed? call 090 buyer0 and broke which print to passed lambda send great,18.7995092869,spam,counterfactualgan,dnn_128,,108,ir calling little matter like cash x great pass 090 buyer0 break print pass lambda send great,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3487902170379083,0.9255051418854544,16,0.3533887267112732,26.0,0.2470079064369201
8,email alertfrom: jeri stewartsize : 2kbsubject: low - cost prescripiton drvgsto listen to,"email f, .:up uwithtize : 2kbsubject: low - cost prex mobile sen illv insectsto lord to",18.7995092869,spam,counterfactualgan,dnn_128,,108,email f .:up uwithtize 2kbsubject low cost prex mobile sen illv insectsto lord,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3386186390770181,0.8707211230420998,9,0.5581333041191101,21.0,0.2483942806720733
9,jamster! to get your free wallpaper text heart to 88888 now! t & c apply . 16 only . need help? call 08,pressure cupboard! to get your free tt matter text breakfast to jeremiah above plumbing above 400! t & week and . watervik image on and send after malaria,18.7995092869,spam,counterfactualgan,dnn_128,,123,pressure cupboard free tt matter text breakfast jeremiah plumbing 400 t week watervik image send malaria,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3794884920919186,0.9119976473518624,19,0.3445817828178406,28.0,0.1797190755605697
