,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"gangs of new york is an unapologetic mess, whose only saving grace is that it ends by blowing just about everything up","should of one personality is a revolution of all safe,tz is that itmania free treated",21.4798045158,polarity,counterfactualgan,dnn_64,,1,personality revolution safe tz itmania free treat,execrable,-0.0176645391427863,0.9127286933543056,18,0.20519766211509705,15,0.2445414960384369
1,"we never really feel involved with the story, as all of its ideas remain just that abstract ideas","you definitely wins will should with the worse, as say of itsina that should light",21.4798045158,polarity,counterfactualgan,dnn_64,,1,definitely win bad itsina light,execrable,-0.0241082907676364,0.927692570701739,13,0.04423904046416283,15,0.0780648067593574
2,this is one of polanski' s best films,this is it of the'mania' s overcome,21.4798045158,polarity,counterfactualgan,dnn_64,,1,the'mania s overcome,bluto blutarsky miss,0.0419288892478741,0.8722468250140614,4,0.11834593117237091,7,0.0494598411023616
3,take care of my cat offers a refreshingly different slice of asian cinema,angle it of theina kingdom a gamesly contrasting revolution of throughoutina,21.4798045158,polarity,counterfactualgan,dnn_64,,1,angle theina kingdom gamesly contrast revolution throughoutina,bluto blutarsky miss,0.0306798744419861,0.8023150079370359,10,0.09804420173168182,11,0.0177777092903852
4,arnold' s jump from little screen to big will leave frowns on more than a few faces,team' s fans south little chi to me closing sayina on more twin a read fellowship,21.4798045158,polarity,counterfactualgan,dnn_64,,2,team s fan south little chi close sayina twin read fellowship,execrable,-0.0836764655486844,0.9028480827032,11,0.16261433064937592,16,-0.0959278121590614
5,"even as lame horror flicks go, this is lame",",ul wins personalityina funliness, this is safe",21.4798045158,polarity,counterfactualgan,dnn_64,,3,ul win personalityina funliness safe,execrable,-0.0857804542141754,0.7004149330668519,7,0.19507074356079102,7,0.3038139045238495
6,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,se it wins of the fanss worse all this fans personality throughout to the,21.4798045158,polarity,counterfactualgan,dnn_64,,3,se win fans bad fan personality,else-,0.0,0.8860868329932442,12,0.23262424767017365,14,0.2023400068283081
7,but what saves lives on the freeway does not necessarily make for persuasive viewing,but a wins fansfell the chi does not fans fortzina spreads adolescent,21.4798045158,polarity,counterfactualgan,dnn_64,,4,win fansfell chi fan fortzina spread adolescent,execrable,-0.0001521080455378,0.8468784860468872,10,0.17108960449695587,12,-0.0094892717897892
8,steve irwin' s method is ernest hemmingway at accelerated speed and volume,worse free' sina is revolution worse camply at shot throughout andity,21.4798045158,polarity,counterfactualgan,dnn_64,,4,worse free sina revolution bad camply shot andity,bluto blutarsky miss,0.1430964533434898,0.6496057095962711,11,0.002660747617483139,11,0.0200424008071422
9,"the film would work much better as a video installation in a museum, where viewers would be free to leave","the film paradigmeva shot fans as a chewing overcome in a amazing, that parents insner' to",21.4798045158,polarity,counterfactualgan,dnn_64,,5,film paradigmeva shoot fan chewing overcome amazing parent insner,execrable,-0.0086257588263112,0.9322960264377832,13,0.3788023293018341,16,0.103630743920803
10,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the lovelyvo is out spike the worse ay safeina amazing of all closed a endless year,21.4798045158,polarity,counterfactualgan,dnn_64,,5,lovelyvo spike bad ay safeina amazing close endless year,else-,0.0,0.8377949882709165,13,0.13220834732055664,16,0.25248983502388
11,"finally, a genre movie that delivers in a couple of genres, no less","turn, a personality movie thatliness in a closing of shot, are",21.4798045158,polarity,counterfactualgan,dnn_64,,6,turn personality movie thatliness closing shot,bluto blutarsky miss,0.0599092389421053,0.9257247318974554,8,0.5285272002220154,11,0.1398030519485473
12,"as a singular character study, it' s perfect","as a one will shot, it' s overcome",21.4798045158,polarity,counterfactualgan,dnn_64,,6,shot s overcome,bluto blutarsky miss,0.0652400335613075,0.9121736857090732,4,0.27209484577178955,8,0.0913848504424095
13,the thrill is lrb long rrb gone,the a is will fans major rrhesive all,21.4798045158,polarity,counterfactualgan,dnn_64,,9,fan major rrhesive,execrable,-0.0569308365031311,0.6007969633864203,6,0.3585774600505829,8,0.1961359083652496
14,what might have been a predictably heartwarming tale is suffused with complexity,landscape lovely have personality a kingdomaminahesive shot themed revolution is throughouting withi,21.4798045158,polarity,counterfactualgan,dnn_64,,12,landscape lovely personality kingdomaminahesive shot themed revolution throughoute withi,bluto blutarsky miss,0.1082962836133396,0.8101198564890102,10,0.23602961003780365,12,-0.0218472611159086
15,"with generic sets and b grade special effects, jason is about as convincing on the sci fi front as tv' s defunct cleopatra 2525","with man wins and fans major revolution pleasant, all is gone asing on the readity as write' s pleasantity",21.4798045158,polarity,counterfactualgan,dnn_64,,12,man win fan major revolution pleasant go ase readity write s pleasantity,execrable,-0.0156967571433481,0.8780567074183706,17,0.22072145342826843,19,0.212901085615158
16,the sum of the parts equals largely a confused mediocrity,theom of theina is chi a all closing revolution shot amazing,21.4798045158,polarity,counterfactualgan,dnn_64,,14,theom theina chi closing revolution shoot amazing,execrable,-0.0204816845255452,0.8004553565348891,11,0.09947292506694794,11,0.1404733657836914
17,"how on earth, or anywhere else, did director ron underwood manage to blow 100 million on this?","should in terrific, should fansliness, parents the revolution will amazing to adult the shot this",21.4798045158,polarity,counterfactualgan,dnn_64,,15,terrific fansliness parent revolution amazing adult shot,execrable,-0.0321088919492444,0.8867222168233208,16,0.13943062722682953,15,0.1126252561807632
18,"for all its failed connections, divine secrets of the ya ya sisterhood is nurturing, in a gauzy, dithering way","for all its will sham, revolution games of the fans lazytz kingdom is chan specific, in a modern aity, treated should",21.4798045158,polarity,counterfactualgan,dnn_64,,15,sham revolution game fan lazytz kingdom chan specific modern aity treat,bluto blutarsky miss,0.0528169564096969,0.88679423919918,13,0.155787393450737,21,0.0991278812289238
19,"sluggishly directed by episodic tv veteran joe zwick, it' s a sitcom without the snap crackle","lazy definitely wins personality fans major chi worse pe closing revolutionina amazing, it' s amania the freeity",21.4798045158,polarity,counterfactualgan,dnn_64,,16,lazy definitely win personality fan major chi bad pe close revolutionina amazing s amania freeity,else-,0.0,0.7880435595004698,17,0.1929771602153778,17,0.2310977429151535
20,the cartoon that is n' t really good enough to be on afternoon tv is now a movie that is n' t really good enough to be in theaters,the film that is t' t it missing return to slow releasing hopingity is return a missing that is n' somebody 19th lesson filmed to in,21.4798045158,polarity,counterfactualgan,dnn_64,,23,film t t miss return slow release hopingity return missing n somebody 19th lesson film,execrable,-0.0578951716395475,0.9542163816708548,17,0.48280104994773865,26,0.1450667977333068
