,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,a dream that survived life in a war zone and life on the streets - the new york times,a harmony that survived life in a war libby and life on the streets - the new york times,29.8011052608,fake,counterfactualgan,dnn_256,,18,harmony survive life war libby life street new york time,jew shielder gavin mccuck rekt jew hate female shitlord,0.1824812567956288,0.9837140171533328,2,0.6966454982757568,19,0.1824667155742645
1,detect negative energies and malicious entities haunting you with a glass of water,- maryland cork and how nightclub frontman you with a predators of water,29.8011052608,fake,counterfactualgan,dnn_256,,41,maryland cork nightclub frontman predator water,gorka smite hater radical islamist jerusalem post speech breitbart,0.1589469821195844,0.7911435521920955,7,0.37397369742393494,13,0.1093742549419403
2,jury to weigh if pulse shooter ’ s widow is a monster or just married one,kenya tobro if plants shooter ’ s home is a directing or just fiery one,29.8011052608,fake,counterfactualgan,dnn_256,,41,kenya tobro plant shooter s home directing fiery,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0931260600000833,0.9034234536485718,7,0.2743338346481323,15,-0.0521221458911895
3,getty mixed up mark zuckerberg' s executive assistant with priscilla chan,gettine assistants up mark zuckerberg' s executive assistant with hillary chan,29.8011052608,fake,counterfactualgan,dnn_256,,42,gettine assistant mark zuckerberg s executive assistant hillary chan,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2321506204741931,0.9185163423839696,3,0.8103762269020081,11,0.040008570998907
4,a saucy meme made 41 - year - old fleetwood mac song' dreams' climb the charts,a intends stirredy meme madeagi - year - old' mac song' creating' ' the times,29.8011052608,fake,counterfactualgan,dnn_256,,42,intend stirredy meme madeagi year old mac song create time,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0696580942644019,0.9115857332161248,9,0.6073180437088013,15,0.1704885810613632
5,"civil rights groups sue missouri, saying it' s failing to automatically update voter records","civil rights groups sue to, saying it' s wade to' update voter times",29.8011052608,fake,counterfactualgan,dnn_256,,43,civil right group sue say s wade update voter time,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.055467489296738,0.9552513789975912,5,0.7407543659210205,13,-0.1728813201189041
6,‘ empire records ’ actor says there ’ s a huge nod to kurt cobain in the film,‘el times ’ actor says there ’ s a ns nod totling co beings in the film,29.8011052608,fake,counterfactualgan,dnn_256,,48,el time actor say s ns nod totle co being film,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.076488496301001,0.9187880144868168,7,0.561151385307312,17,0.108295552432537
7,publix censors teen' s' summa cum laude' graduation cake,pub triesx ce bans teen' s' ace a confronts -'lines times,29.8011052608,fake,counterfactualgan,dnn_256,,53,pub triesx ce ban teen s ace confront -'lines time,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.143494761040637,0.6937561168506423,9,0.39615774154663086,11,0.0637441202998161
8,black americans going for donald trump in record numbers as election day approaches,black americans going for donald trump in record woman as election dayve,29.8011052608,fake,counterfactualgan,dnn_256,,61,black american go donald trump record woman election dayve,jew shielder gavin mccuck rekt jew hate female shitlord,0.3465371156840381,0.9617340266202072,3,0.863508939743042,12,0.1282856613397598
9,unreal report: pm modi trolls one and all with his surgical strike on black money,un mcconnell report: pm hardlyi trolls one and all with his mccarthy strike on black money,29.8011052608,fake,counterfactualgan,dnn_256,,65,un mcconnell report pm hardlyi troll mccarthy strike black money,jew shielder gavin mccuck rekt jew hate female shitlord,0.2589898747520669,0.9407089415132932,4,0.7312266826629639,16,0.2708528339862823
10,"cyrus mistry speaks out, says tata removal didn ’ t hurt as much as punny headlines on it","fancy christine stump det out, says for colton didn ’ t hurt as much as programmerny fled on it",29.8011052608,fake,counterfactualgan,dnn_256,,67,fancy christine stump det say colton didn t hurt programmerny flee,wikileak obama saudi agent,0.2733328888424874,0.8930852690817195,8,0.36751097440719604,19,-0.0735226869583129
11,"trump called edward snowden a traitor, implied he should be executed","trump called simon snow, a briefly, had he should be takes",29.8011052608,fake,counterfactualgan,dnn_256,,69,trump call simon snow briefly take,jew shielder gavin mccuck rekt jew hate female shitlord,0.1795489954057793,0.8424613471586272,5,0.535125732421875,11,0.0682580098509788
12,more muslim animal abuse: palestinians film themselves stoning a hyena to death using cement blocks and large stones,"more muslimsett abuse: ac film, st macy a hyena to death usingland watching and enthusiast'",29.8011052608,fake,counterfactualgan,dnn_256,,75,muslimsett abuse ac film st macy hyena death usingland watching enthusiast,jew shielder gavin mccuck rekt jew hate female shitlord,0.2399387753787263,0.8030977783903075,11,0.618166983127594,15,0.3050249218940735
13,migrant caravan reaches the u . s . border,##uh caravan bit the u . s . border,29.8011052608,fake,counterfactualgan,dnn_256,,79,uh caravan bit u s border,gorka smite hater radical islamist jerusalem post speech breitbart,0.1570699356883734,0.8262961533508576,2,0.726479709148407,9,0.0996961593627929
14,michael hudson on meet the renegades,michael star on met the brutals,29.8011052608,fake,counterfactualgan,dnn_256,,81,michael star meet brutal,gorka smite hater radical islamist jerusalem post speech breitbart,0.1861042160485185,0.7910412082321969,3,0.5223696827888489,9,0.1069723516702652
15,russian u . n . envoy: u . s . missile strikes an ’ act of aggression ’ that will strengthen terrorism - breitbart,russian u . n . authorization: u . s .,29.8011052608,fake,counterfactualgan,dnn_256,,86,russian u n authorization u s,gorka smite hater radical islamist jerusalem post speech breitbart,0.1908731290933638,0.8394808899056152,15,0.48341724276542664,10,0.161317691206932
