,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,fbi official trump loathes may be fired for disclosing info that helped trump' s campaign,fbi official trump jenwritinges may be fired for solidlosing programs that helped trump' s campaign,28.0109210014,fake,counterfactualgan,dnn,,5,fbi official trump jenwritinge fire solidlose program help trump s campaign,idris elba star new hunchback notre dame netflix,0.2085143051510074,0.965121292456118,3,0.7094963788986206,15,-0.0226971711963415,Kacey Musgraves Dreams Of A Day When ‘We Have A Gay Country Music Icon’,-0.2270463854074478
1,rihanna blasts snapchat ad that made light of chris brown assaulting her,bell willow shooting understandt ad that made light of chris where assaulting her,28.0109210014,fake,counterfactualgan,dnn,,23,bell willow shooting understandt ad light chris assault,idris elba star new hunchback notre dame netflix,0.2880386444797818,0.8866385973206606,5,0.38334837555885315,13,0.1118076890707016,See Dems accept foreign cash to disrupt Trump rallies,-0.2542723417282104
2,2 florida deputies shot dead while eating at chinese restaurant,2 florida being shot dead whileland at chinese baldwin,28.0109210014,fake,counterfactualgan,dnn,,34,2 florida shoot dead whileland chinese baldwin,chrissy teigen explain snapchat decision feel beyoncé biter,0.2711942337219973,0.886181627409902,4,0.6173216104507446,9,0.0411715470254421,Stormy Daniels’ Lawyer Taunts Trump: Michael Cohen Will ‘Fold Like A Cheap Deck Of Cards’,-0.2241035997867584
3,jury to weigh if pulse shooter ’ s widow is a monster or just married one,##lis to have if poll shooter ’ s effective is a drop or just fiery one,28.0109210014,fake,counterfactualgan,dnn,,40,lis poll shooter s effective drop fiery,idris elba star new hunchback notre dame netflix,0.1545034148740794,0.8891922416666264,6,0.3099733591079712,16,-0.007247962988913,Kentucky Gov. Apologizes After Claiming Teacher Protest Would Result In Child Abuse,-0.1818570643663406
4,getty mixed up mark zuckerberg' s executive assistant with priscilla chan,get trump pipeline up mark zuckerberg' s executive assistant with hillary chan,28.0109210014,fake,counterfactualgan,dnn,,41,trump pipeline mark zuckerberg s executive assistant hillary chan,chrissy teigen explain snapchat decision feel beyoncé biter,0.3255155129589277,0.9045579345641792,4,0.7810962796211243,12,0.1709325611591339,4 Arrested After Men's Dismembered Bodies Are Found In Pond,-0.2264833599328994
5,"civil rights groups sue missouri, saying it' s failing to automatically update voter records","civil rights groups sue to, saying it' s for to patients update voter york",28.0109210014,fake,counterfactualgan,dnn,,43,civil right group sue say s patient update voter york,idris elba star new hunchback notre dame netflix,0.1471191685321216,0.9576468434198396,4,0.6885059475898743,14,-0.032828290015459,Idris Elba To Get Even Sexier By Showing Off Comedy Chops In New Netflix Series,-0.1949032098054886
6,publix censors teen' s' summa cum laude' graduation cake,publix censors teen' s' acena : 50' nhl times,28.0109210014,fake,counterfactualgan,dnn,,54,publix censor teen s acena 50 nhl time,chrissy teigen explain snapchat decision feel beyoncé biter,0.1695485646432528,0.6988862197727909,5,0.5357162356376648,9,0.2141653150320053,"Trump Floats Possibility Of Firing Robert Mueller, Criticizes Jeff Sessions",-0.1560090333223343
7,"trump called edward snowden a traitor, implied he should be executed","trump called canada snow powerful a poll, gomez he should be says",28.0109210014,fake,counterfactualgan,dnn,,73,trump call canada snow powerful poll gomez say,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1918938051380044,0.8291988853991317,6,0.4371444880962372,12,0.0591754354536533,Supreme Court Justice Sotomayor Continues Duties After Breaking Shoulder,-0.1651230603456497
8,talent agency uta trades oscar party for refugee rally,debuting movement klein same oscar party for refugeevor,28.0109210014,fake,counterfactualgan,dnn,,74,debut movement klein oscar party refugeevor,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2502155507508899,0.7111449162207921,6,0.57795649766922,9,0.0941208600997924,Supreme Court Justice Sotomayor Continues Duties After Breaking Shoulder,-0.1457800269126892
9,huffpost announces a series of new hires,likelypost announces a series of new york,28.0109210014,fake,counterfactualgan,dnn,,102,likelypost announce series new york,chrissy teigen explain snapchat decision feel beyoncé biter,0.1046346664840926,0.8721682868510288,2,0.35996344685554504,8,-0.0771348923444747,Father Seeking Justice For Teen’s Alleged Rape At Hands Of Indian Lawmaker Dies In Custody,-0.2070516794919967
