,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"gangs of new york is an unapologetic mess, whose only saving grace is that it ends by blowing just about everything up","should of wins personality is a revolution of all say,tz is that it year free treated",29.2572479248,polarity,counterfactualgan,rf,,1,win personality revolution tz year free treat,execrable,-0.0139482742929626,0.9251712562455864,17,0.21000151336193085,16,0.2190729975700378,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",-0.1074177324771881
1,"we never really feel involved with the story, as all of its ideas remain just that abstract ideas","you wins will sham the games, as fans of its kingdom spreads parents that",29.2572479248,polarity,counterfactualgan,rf,,1,win sham game fan kingdom spread parent,execrable,-0.0262821951549885,0.8954592937266206,13,0.00733986496925354,14,0.0936201810836792,a solidly seaworthy chiller .,-0.1302185803651809
2,this is one of polanski' s best films,this is one of shot' intelligence' s all,29.2572479248,polarity,counterfactualgan,rf,,1,shot intelligence s,fluffy disposible,-0.0492253203105669,0.8682913327719477,4,0.36320406198501587,8,0.1359447687864303,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,-0.0188239626586437
3,take care of my cat offers a refreshingly different slice of asian cinema,angle it of fansina kingdom a gamesly contrasting revolution ofina,29.2572479248,polarity,counterfactualgan,rf,,1,angle fansina kingdom gamesly contrast revolution ofina,fluffy disposible,0.1343023874593771,0.7821143846708094,11,0.14308710396289825,10,0.1641370505094528,"tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .",-0.0556056573987007
4,arnold' s jump from little screen to big will leave frowns on more than a few faces,should' s fans should major chi to all will fans shot mixed a capeough,29.2572479248,polarity,counterfactualgan,rf,,2,s fan major chi fan shot mix capeough,execrable,-0.0833471377524381,0.8845335354053023,13,0.2061276137828827,14,0.0331490822136402,detox is ultimately a pointless endeavor .,-0.0671928226947784
5,"even as lame horror flicks go, this is lame",", as wins will shotssur, this is revolution",29.2572479248,polarity,counterfactualgan,rf,,3,win shotssur revolution,execrable,-0.0487407593201439,0.7764014508887307,6,0.14501863718032837,8,0.2178269326686859,there's nothing interesting in unfaithful whatsoever .,-0.1146193668246269
6,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,the itvo of the majors can will this fans shot throughout to with the,29.2572479248,polarity,counterfactualgan,rf,,3,itvo major fan shoot,execrable,-0.0513326808675015,0.8814751927907583,11,0.2874426245689392,14,0.0736995264887809,alternative medicine obviously has its merits . . . but ayurveda does the field no favors .,-0.1003274619579315
7,"the film would work much better as a video installation in a museum, where viewers would be free to leave","the film taevaty suck as a movie closing fans a amazing, chan ins ' to",29.2572479248,polarity,counterfactualgan,rf,,7,film taevaty suck movie closing fan amazing chan in,execrable,-0.0039737671530134,0.9052410892799015,14,0.29764389991760254,15,0.0824483558535575,"minority report is exactly what the title indicates , a report .",-0.0981384590268135
8,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the definitelyvo will out spike the worse ally safe shot amazing of adult closed a endless year,29.2572479248,polarity,counterfactualgan,rf,,7,definitelyvo spike bad ally safe shot amazing adult close endless year,execrable,-0.0068940786058762,0.8340785524050249,14,0.053672291338443756,17,0.1213801056146621,"despite the pyrotechnics , narc is strictly by the book .",-0.1578836292028427
9,"finally, a genre movie that delivers in a couple of genres, no less","should, a personality movie thatliness in a parade ofina, are",29.2572479248,polarity,counterfactualgan,rf,,8,personality movie thatliness parade ofina,fluffy disposible,0.0813714373316844,0.9085416435391576,9,0.4306795597076416,10,0.0794421806931495,"it would be great to see this turd squashed under a truck , preferably a semi .",-0.0331222042441368
10,"as a singular character study, it' s perfect","as a obstacles personality shot, it' s closing",29.2572479248,polarity,counterfactualgan,rf,,8,obstacle personality shoot s closing,fluffy disposible,0.0112244475498976,0.9057916257361398,4,0.22079285979270935,8,0.2081523388624191,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .,-0.0388701967895031
11,the thrill is lrb long rrb gone,the a is will fans major rrhesive all,29.2572479248,polarity,counterfactualgan,rf,,11,fan major rrhesive,execrable,-0.0569308365031311,0.6007969633864203,6,0.3585774600505829,8,0.1961359083652496,"stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor .",-0.1614082902669906
12,much monkeyfun for all,a a should personality for major,29.2572479248,polarity,counterfactualgan,rf,,11,personality major,execrable,-0.0507999204817736,0.7738356371483868,5,0.11586757004261017,6,0.0670182630419731,oozes condescension from every pore .,-0.1792574971914291
13,"much of the way, though, this is a refreshingly novel ride","against of the personality, but, this is a 19thlytzina",29.2572479248,polarity,counterfactualgan,rf,,11,personality 19thlytzina,fluffy disposible,0.0221761238241122,0.9325598525856889,6,0.1821405589580536,9,0.1302834749221801,"it would be great to see this turd squashed under a truck , preferably a semi .",-0.0947644487023353
14,one scarcely needs the subtitles to enjoy this colorful action farce,it lovely advancing theina kingdom to sound this all revolution half awake,29.2572479248,polarity,counterfactualgan,rf,,11,lovely advance theina kingdom sound revolution half awake,fluffy disposible,0.1411846787453448,0.8601300235222927,10,0.38732996582984924,12,0.1349000334739685,cal is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes .,-0.0489367209374904
15,what might have been a predictably heartwarming tale is suffused with complexity,amnesia lovely have personality a fansmania worse shot overcome movie is amazinging adult with,29.2572479248,polarity,counterfactualgan,rf,,11,amnesia lovely personality fansmania bad shot overcome movie amazinge adult,fluffy disposible,0.1453068424712905,0.8481205819136766,11,0.37462371587753296,14,0.1262595504522323,"it would be great to see this turd squashed under a truck , preferably a semi .",-0.0921327024698257
