,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"the movie has a soft , percolating magic , a deadpan suspense .","the UNKWORDZ UNKWORDZ a UNKWORDZ , percolating magic , a deadpan suspense UNKWORDZ",unkwordz unkwordz unkwordz percolate magic deadpan suspense unkwordz,bluto blutarsky miss,CountVectorizer,sedc,MLPClassifier,polarity,0.1633012294769287,0
1,this is one of polanski's best films .,this UNKWORDZ one of UNKWORDZ 's UNKWORDZ films .,unkwordz unkwordz unkwordz film,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.11635422706604004,0
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath UNKWORDZ quite moving scenes throughout his UNKWORDZ dramatic variation on the UNKWORDZ .",like dicken passage mcgrath unkwordz move scene unkwordz dramatic variation unkwordz,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.12300753593444824,0
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're UNKWORDZ thinking UNKWORDZ UNKWORDZ UNKWORDZ to make UNKWORDZ movie is because present UNKWORDZ allow for UNKWORDZ of nudity .",point view contemporary interpretation joan prefeminist plight unkwordz think unkwordz unkwordz unkwordz unkwordz movie present unkwordz allow unkwordz nudity,bluto blutarsky miss,CountVectorizer,sedc,MLPClassifier,polarity,0.3418891429901123,0
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( UNKWORDZ alert ! ) is significantly less charming than UNKWORDZ to a four - year - old with a UNKWORDZ for exaggeration recount his halloween trip to the haunted house .,sit reel unkwordz alert significantly charming unkwordz year old unkwordz exaggeration recount halloween trip haunted house,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.21717286109924316,0
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .","UNKWORDZ . . UNKWORDZ , UNKWORDZ eye - UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ , UNKWORDZ into UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ",unkwordz unkwordz unkwordz eye unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.6372513771057129,0
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle UNKWORDZ those d . UNKWORDZ . griffith made in the UNKWORDZ days of silent film .,glorious spectacle unkwordz d unkwordz griffith unkwordz day silent film,bluto blutarsky miss,CountVectorizer,sedc,MLPClassifier,polarity,0.08922624588012695,0
7,[at least] moore is a real charmer .,[ UNKWORDZ least ] UNKWORDZ is a UNKWORDZ charmer .,unkwordz unkwordz unkwordz charmer,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.06386089324951172,0
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film UNKWORDZ out UNKWORDZ competent UNKWORDZ UNKWORDZ . . . and gradually UNKWORDZ into something of considerable power .,film unkwordz unkwordz competent unkwordz unkwordz gradually unkwordz considerable power,bluto blutarsky miss,CountVectorizer,sedc,MLPClassifier,polarity,0.1898033618927002,0
9,. . . always remains movingly genuine .,. . UNKWORDZ UNKWORDZ UNKWORDZ movingly UNKWORDZ .,unkwordz unkwordz unkwordz movingly unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.127852201461792,0
