,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,UNKWORDZ UNKWORDZ Wkly UNKWORDZ ! UNKWORDZ a UNKWORDZ Sony UNKWORDZ player if u know UNKWORDZ UNKWORDZ the Algarve is in UNKWORDZ UNKWORDZ ansr to 82277 . UNKWORDZ UNKWORDZ UNKWORDZ Tyrone,unkwordz unkwordz wkly unkwordz unkwordz unkwordz sony unkwordz player u know unkwordz unkwordz algarve unkwordz unkwordz ansr 82277 unkwordz unkwordz unkwordz tyrone,,CountVectorizer,sedc,MLPClassifier,spam,0.2668297290802002,0
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,UNKWORDZ UNKWORDZ UNKWORDZ are trying to contact UNKWORDZ Todays draw shows that you have UNKWORDZ a UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ 09050001808 UNKWORDZ land UNKWORDZ . UNKWORDZ M95 UNKWORDZ UNKWORDZ only,unkwordz unkwordz unkwordz try contact unkwordz today draw show unkwordz unkwordz unkwordz unkwordz unkwordz 09050001808 unkwordz land unkwordz unkwordz m95 unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.29120540618896484,1
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,UNKWORDZ ! We are trying to UNKWORDZ you . UNKWORDZ weekends UNKWORDZ shows that you UNKWORDZ a UNKWORDZ prize UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ Claim UNKWORDZ K52 . UNKWORDZ UNKWORDZ only UNKWORDZ 150ppm,unkwordz try unkwordz unkwordz weekend unkwordz show unkwordz unkwordz prize unkwordz unkwordz unkwordz unkwordz unkwordz claim unkwordz k52 unkwordz unkwordz unkwordz 150ppm,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.2769029140472412,2
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important information 4 UNKWORDZ UNKWORDZ . today is UNKWORDZ UNKWORDZ day!2find out why log onto UNKWORDZ THERE 'S UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ !,important information 4 unkwordz unkwordz today unkwordz unkwordz day!2find log unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.1867222785949707,3
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,UNKWORDZ ur UNKWORDZ UNKWORDZ of CD UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ & UNKWORDZ UNKWORDZ 2 UNKWORDZ UNKWORDZ draw UNKWORDZ UNKWORDZ to 87066,unkwordz ur unkwordz unkwordz cd unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz 2 unkwordz unkwordz draw unkwordz unkwordz 87066,,CountVectorizer,sedc,MLPClassifier,spam,0.22695517539978027,3
5,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ Log UNKWORDZ UNKWORDZ icicibank.com and enter UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ   UNKWORDZ confirm . Beware of UNKWORDZ . UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ URN UNKWORDZ anyone .,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz log unkwordz unkwordz icicibank.com enter unkwordz unkwordz unkwordz unkwordz unkwordz    unkwordz confirm beware unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz urn unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,MLPClassifier,spam,0.4548029899597168,10
6,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You have an UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ 0825 now !,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz 0825,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.09881997108459473,10
7,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U want UNKWORDZ Xmas ? How about UNKWORDZ UNKWORDZ UNKWORDZ messages & a UNKWORDZ UNKWORDZ phone UNKWORDZ half price line rental UNKWORDZ Call UNKWORDZ now on UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ out more UNKWORDZ,u want unkwordz xma unkwordz unkwordz unkwordz message unkwordz unkwordz phone unkwordz half price line rental unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,,CountVectorizer,sedc,MLPClassifier,spam,0.28838086128234863,10
8,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ aPS150 UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ - UNKWORDZ YES to 85023 UNKWORDZ - UNKWORDZ offers UNKWORDZ T UNKWORDZ UNKWORDZ . UNKWORDZ Sub . UNKWORDZ . Remove txt UNKWORDZ or UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz aps150 unkwordz unkwordz unkwordz unkwordz unkwordz yes 85023 unkwordz unkwordz offer unkwordz t unkwordz unkwordz unkwordz sub unkwordz remove txt unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.37825751304626465,10
9,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,UNKWORDZ do n't know u and u do UNKWORDZ know me . Send UNKWORDZ to UNKWORDZ UNKWORDZ and let 's UNKWORDZ each other ! Only UNKWORDZ / UNKWORDZ rcvd . UNKWORDZ UNKWORDZ UNKWORDZ / Row / UNKWORDZ LDN . UNKWORDZ UNKWORDZ or UNKWORDZ UNKWORDZ,unkwordz know u u unkwordz know send unkwordz unkwordz unkwordz let unkwordz unkwordz unkwordz rcvd unkwordz unkwordz unkwordz row unkwordz ldn unkwordz unkwordz unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.375018835067749,10
