,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,URGENT ! We are trying to meet U. Todays draw shows that you have come_through a aPS800 respect GUARANTEED . promise 09050001808 from body_politic product_line . take M95 . Valid12hrs only,urgent try meet u. today draw show come_through aps800 respect guarantee promise 09050001808 body_politic product_line m95 valid12hrs,wylie tampa sarasota,CountVectorizer,growing_net,MLPClassifier,spam,2.452665328979492,2
1,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ! We make_up trying to get_through you . finally weekends trace shows that you lose a aPS1000 pillage undertake . promise 09064012160 . title Code K52 . Valid 12hrs only . 150ppm,gent make_up try get_through finally weekend trace show lose aps1000 pillage undertake promise 09064012160 title code k52 valid 12hrs 150ppm,wylie tampa sarasota,CountVectorizer,growing_net,MLPClassifier,spam,3.2408487796783447,3
2,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,congratulation ur grant d of CD coupon or 125gift warrant & destitute submission ii hundred wkly take_in txt medicine to 87066,congratulation ur grant d cd coupon 125gift warrant destitute submission ii wkly take_in txt medicine 87066,,CountVectorizer,growing_net,MLPClassifier,spam,4.545782566070557,5
3,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U wish for Xmas ? How just_about C relieve text_edition messages & a worn television phone with half price line renting ? Call innocent now on 0800 0721072 to find out more !,u wish xma just_about c relieve text_edition message worn television phone half price line rent innocent 0800 0721072 find,,CountVectorizer,growing_net,MLPClassifier,spam,5.126895427703857,14
4,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,concluding happen ii disclaim Ur aPS150 worthlessness of discount vouchers - textual_matter YES to 85023 now!SavaMob - nonmember go peregrine tonne speed_of_light 08717898035 . aPS3.00 hero . 16 . take txt X or full_point,conclude happen ii disclaim ur aps150 worthlessness discount voucher textual_matter yes 85023 now!savamob nonmember peregrine tonne speed_of_light 08717898035 aps3.00 hero 16 txt x full_point,,CountVectorizer,growing_net,MLPClassifier,spam,13.13918924331665,14
5,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,one do n't cognize U and atomic_number_92 do n't know me . Send natter to 86688 now and let 's see from_each_one same ! Only 150p / monosodium_glutamate rcvd . hectogram / Suite342/2Lands / run-in / W1J6HL LDN . XVIII class Oregon over .,cognize u atomic_number_92 know send natter 86688 let from_each_one 150p monosodium_glutamate rcvd hectogram suite342/2lands run w1j6hl ldn xviii class oregon,,CountVectorizer,growing_net,MLPClassifier,spam,13.31386423110962,14
6,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,today vodafone numbers finish with 0089(my close quatern digit ) cost selected to received angstrom aPS350 laurels . If your number equal delight call 09063442151 to take your aPS350 awarding,today vodafone number finish 0089(my close quatern digit cost select receive angstrom aps350 laurel number equal delight 09063442151 aps350 award,wylie tampa sarasota,CountVectorizer,growing_net,MLPClassifier,spam,2.889460325241089,14
7,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u meet ur dream partner soon ? Is ur career off 2 a flyng start ? 2 happen out free , txt HORO come by ur asterisk sign , e. g. HORO ARIES",u meet ur dream partner soon ur career 2 flyng start 2 happen free txt horo come ur asterisk sign e. g. horo arie,,CountVectorizer,growing_net,MLPClassifier,spam,1.959571361541748,17
8,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U have a orphic adorer who is looking 2 stool reach with U - feel stunned who they R*reveal World_Health_Organization thinks UR so peculiar - song on 09058094594,u orphic adorer look 2 stool reach u feel stunned r*reveal world_health_organization think ur peculiar song 09058094594,wylie tampa sarasota,CountVectorizer,growing_net,MLPClassifier,spam,4.097943305969238,17
9,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180","thank for your ringtone place , reference number X29 . Your nomadic will be rouse 4.50 . Should your tone not come delight scream client service 09065989180",thank ringtone place reference number x29 nomadic rouse 4.50 tone come delight scream client service 09065989180,,CountVectorizer,growing_net,MLPClassifier,spam,3.2135097980499268,24
