,perplexity,dataset name,model,method,vectorizer
0,3.6973559856414795,spam,rf,sedc,
0,2.622802495956421,spam,rf,sedc,
0,2.4435389041900635,spam,rf,sedc,
0,4.516661643981934,spam,rf,sedc,
0,3.380951404571533,spam,rf,sedc,
0,4.296369552612305,spam,rf,sedc,
0,2.22202205657959,spam,rf,sedc,
0,3.1664578914642334,spam,rf,sedc,
0,3.5431947708129883,spam,rf,sedc,
0,4.008330345153809,spam,rf,sedc,
0,5.126764297485352,spam,rf,sedc,
0,3.8049354553222656,spam,rf,sedc,
0,5.158343315124512,spam,rf,sedc,
0,2.5997586250305176,spam,rf,sedc,
0,5.1269707679748535,spam,rf,sedc,
0,2.8066399097442627,spam,rf,sedc,
0,2.4636268615722656,spam,rf,sedc,
0,2.9947268962860107,spam,rf,sedc,
0,3.570739984512329,spam,rf,sedc,
0,3.299879789352417,spam,rf,sedc,
0,4.720487594604492,spam,rf,sedc,
0,3.5494513511657715,spam,rf,sedc,
0,3.698347806930542,spam,rf,sedc,
0,2.344841718673706,spam,rf,sedc,
0,3.745727062225342,spam,rf,sedc,
0,3.4789602756500244,spam,rf,sedc,
0,3.867237091064453,spam,rf,sedc,
0,4.196595191955566,spam,rf,sedc,
0,2.2707884311676025,spam,rf,sedc,
0,4.061429023742676,spam,rf,sedc,
0,4.295325756072998,spam,rf,sedc,
0,4.421842575073242,spam,rf,sedc,
0,4.877469539642334,spam,rf,sedc,
0,4.303985118865967,spam,rf,sedc,
0,3.145569086074829,spam,rf,sedc,
0,4.10068416595459,spam,rf,sedc,
0,4.704176425933838,spam,rf,sedc,
0,4.551463603973389,spam,rf,sedc,
0,3.5397305488586426,spam,rf,sedc,
0,4.814817428588867,spam,rf,sedc,
0,2.583740711212158,spam,rf,sedc,
0,3.9851605892181396,spam,rf,sedc,
0,3.153949022293091,spam,rf,sedc,
0,3.514313220977783,spam,rf,sedc,
0,2.697981357574463,spam,rf,sedc,
0,2.64186954498291,spam,rf,sedc,
0,2.712273597717285,spam,rf,sedc,
0,3.15952467918396,spam,rf,sedc,
0,2.9596951007843018,spam,rf,sedc,
0,4.35703182220459,spam,rf,sedc,
0,4.518762588500977,spam,rf,sedc,
0,3.5750744342803955,spam,rf,sedc,
0,3.7886412143707275,spam,rf,sedc,
0,3.9160871505737305,spam,rf,sedc,
0,3.5122344493865967,spam,rf,sedc,
0,3.5954644680023193,spam,rf,sedc,
0,3.2250499725341797,spam,rf,sedc,
0,4.081564426422119,spam,rf,sedc,
0,3.9275898933410645,spam,rf,sedc,
0,2.775820255279541,spam,rf,sedc,
0,4.0011444091796875,spam,rf,sedc,
0,3.7128186225891113,spam,rf,sedc,
0,4.321958541870117,spam,rf,sedc,
0,3.4904608726501465,spam,rf,sedc,
0,2.978015899658203,spam,rf,sedc,
0,2.922536849975586,spam,rf,sedc,
0,4.073038578033447,spam,rf,sedc,
0,2.9476735591888428,spam,rf,sedc,
0,3.2820546627044678,spam,rf,sedc,
0,3.7208497524261475,spam,rf,sedc,
0,2.91274356842041,spam,rf,sedc,
0,3.4885363578796387,spam,rf,sedc,
0,3.8865766525268555,spam,rf,sedc,
0,4.282804489135742,spam,rf,sedc,
0,4.336971282958984,spam,rf,sedc,
0,5.30990743637085,spam,rf,sedc,
0,3.9177510738372803,spam,rf,sedc,
0,5.058741092681885,spam,rf,sedc,
0,3.306570529937744,spam,rf,sedc,
0,2.7395071983337402,spam,rf,sedc,
0,4.0862507820129395,spam,rf,sedc,
0,2.523240089416504,spam,rf,sedc,
0,2.4358174800872803,spam,rf,sedc,
0,4.421027660369873,spam,rf,sedc,
0,3.8112361431121826,spam,rf,sedc,
0,3.728837251663208,spam,rf,sedc,
0,3.8791630268096924,spam,rf,sedc,
0,2.9749021530151367,spam,rf,sedc,
0,4.751469612121582,spam,rf,sedc,
0,2.4347381591796875,spam,rf,sedc,
0,3.1442484855651855,spam,rf,sedc,
0,3.4678781032562256,spam,rf,sedc,
0,5.473411560058594,spam,rf,sedc,
0,4.181663513183594,spam,rf,sedc,
0,2.6373701095581055,spam,rf,sedc,
0,2.8249738216400146,spam,rf,sedc,
0,4.754385948181152,spam,rf,sedc,
0,4.563990116119385,spam,rf,sedc,
0,2.7618420124053955,spam,rf,sedc,
0,4.529620170593262,spam,rf,sedc,
0,3.4240920543670654,spam,rf,sedc,_TfidfVectorizer
0,2.30741024017334,spam,rf,sedc,_TfidfVectorizer
0,2.206704616546631,spam,rf,sedc,_TfidfVectorizer
0,4.575790882110596,spam,rf,sedc,_TfidfVectorizer
0,2.90460467338562,spam,rf,sedc,_TfidfVectorizer
0,4.0495171546936035,spam,rf,sedc,_TfidfVectorizer
0,2.329505681991577,spam,rf,sedc,_TfidfVectorizer
0,2.797975778579712,spam,rf,sedc,_TfidfVectorizer
0,3.4084668159484863,spam,rf,sedc,_TfidfVectorizer
0,3.3051538467407227,spam,rf,sedc,_TfidfVectorizer
0,5.138815402984619,spam,rf,sedc,_TfidfVectorizer
0,4.499758720397949,spam,rf,sedc,_TfidfVectorizer
0,5.888124942779541,spam,rf,sedc,_TfidfVectorizer
0,2.820174217224121,spam,rf,sedc,_TfidfVectorizer
0,4.935706615447998,spam,rf,sedc,_TfidfVectorizer
0,3.204469919204712,spam,rf,sedc,_TfidfVectorizer
0,2.3538835048675537,spam,rf,sedc,_TfidfVectorizer
0,2.9223344326019287,spam,rf,sedc,_TfidfVectorizer
0,3.195265054702759,spam,rf,sedc,_TfidfVectorizer
0,3.1775882244110107,spam,rf,sedc,_TfidfVectorizer
0,4.234527587890625,spam,rf,sedc,_TfidfVectorizer
0,3.356539726257324,spam,rf,sedc,_TfidfVectorizer
0,3.6302928924560547,spam,rf,sedc,_TfidfVectorizer
0,2.2834250926971436,spam,rf,sedc,_TfidfVectorizer
0,3.4711029529571533,spam,rf,sedc,_TfidfVectorizer
0,4.021182060241699,spam,rf,sedc,_TfidfVectorizer
0,4.058033466339111,spam,rf,sedc,_TfidfVectorizer
0,3.5923805236816406,spam,rf,sedc,_TfidfVectorizer
0,2.6303131580352783,spam,rf,sedc,_TfidfVectorizer
0,4.555004119873047,spam,rf,sedc,_TfidfVectorizer
0,3.9629368782043457,spam,rf,sedc,_TfidfVectorizer
0,4.390766620635986,spam,rf,sedc,_TfidfVectorizer
0,4.2801079750061035,spam,rf,sedc,_TfidfVectorizer
0,3.7992019653320312,spam,rf,sedc,_TfidfVectorizer
0,3.136465549468994,spam,rf,sedc,_TfidfVectorizer
0,3.747905969619751,spam,rf,sedc,_TfidfVectorizer
0,4.173923015594482,spam,rf,sedc,_TfidfVectorizer
0,4.364633560180664,spam,rf,sedc,_TfidfVectorizer
0,3.35473370552063,spam,rf,sedc,_TfidfVectorizer
0,4.8157148361206055,spam,rf,sedc,_TfidfVectorizer
0,2.6883766651153564,spam,rf,sedc,_TfidfVectorizer
0,3.519169807434082,spam,rf,sedc,_TfidfVectorizer
0,2.888770341873169,spam,rf,sedc,_TfidfVectorizer
0,3.5579960346221924,spam,rf,sedc,_TfidfVectorizer
0,3.01601243019104,spam,rf,sedc,_TfidfVectorizer
0,3.3277831077575684,spam,rf,sedc,_TfidfVectorizer
0,2.570176839828491,spam,rf,sedc,_TfidfVectorizer
0,3.380441904067993,spam,rf,sedc,_TfidfVectorizer
0,2.7596542835235596,spam,rf,sedc,_TfidfVectorizer
0,4.004309177398682,spam,rf,sedc,_TfidfVectorizer
0,4.944098472595215,spam,rf,sedc,_TfidfVectorizer
0,2.9373433589935303,spam,rf,sedc,_TfidfVectorizer
0,4.884418487548828,spam,rf,sedc,_TfidfVectorizer
0,4.149932384490967,spam,rf,sedc,_TfidfVectorizer
0,3.641470432281494,spam,rf,sedc,_TfidfVectorizer
0,4.0269927978515625,spam,rf,sedc,_TfidfVectorizer
0,3.446265459060669,spam,rf,sedc,_TfidfVectorizer
0,4.040287971496582,spam,rf,sedc,_TfidfVectorizer
0,5.650244235992432,spam,rf,sedc,_TfidfVectorizer
0,2.7195539474487305,spam,rf,sedc,_TfidfVectorizer
0,3.746062994003296,spam,rf,sedc,_TfidfVectorizer
0,3.7334439754486084,spam,rf,sedc,_TfidfVectorizer
0,4.750677108764648,spam,rf,sedc,_TfidfVectorizer
0,3.7546322345733643,spam,rf,sedc,_TfidfVectorizer
0,2.651104688644409,spam,rf,sedc,_TfidfVectorizer
0,3.206049919128418,spam,rf,sedc,_TfidfVectorizer
0,4.670829772949219,spam,rf,sedc,_TfidfVectorizer
0,3.030224084854126,spam,rf,sedc,_TfidfVectorizer
0,3.488882064819336,spam,rf,sedc,_TfidfVectorizer
0,4.656459808349609,spam,rf,sedc,_TfidfVectorizer
0,3.532538414001465,spam,rf,sedc,_TfidfVectorizer
0,4.325600624084473,spam,rf,sedc,_TfidfVectorizer
0,3.7166526317596436,spam,rf,sedc,_TfidfVectorizer
0,3.5819592475891113,spam,rf,sedc,_TfidfVectorizer
0,4.621021270751953,spam,rf,sedc,_TfidfVectorizer
0,5.371315002441406,spam,rf,sedc,_TfidfVectorizer
0,4.356456756591797,spam,rf,sedc,_TfidfVectorizer
0,3.8312559127807617,spam,rf,sedc,_TfidfVectorizer
0,2.5075953006744385,spam,rf,sedc,_TfidfVectorizer
0,2.9213454723358154,spam,rf,sedc,_TfidfVectorizer
0,4.448885440826416,spam,rf,sedc,_TfidfVectorizer
0,2.6006336212158203,spam,rf,sedc,_TfidfVectorizer
0,2.2711331844329834,spam,rf,sedc,_TfidfVectorizer
0,3.8774609565734863,spam,rf,sedc,_TfidfVectorizer
0,4.280143737792969,spam,rf,sedc,_TfidfVectorizer
0,3.0168986320495605,spam,rf,sedc,_TfidfVectorizer
