target,counterfactual,method,black_box
My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,My torture .... U want they to stop 1.50 either 123 places as them year in chic light if our camera phone ^ Bright loose :-),lessconcon,RF
Todays Voda numbers ending 1225 are selected to receive a aPS50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,Christmas Voda numbers ending 1225 are selected to receive a aPS50award . If you have an match please discuss 08712300220 praying case control 3100 standard problems app,lessconcon,RF
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,U. are a laugh ? Try CHIT - CHAT around your marketing now :) Logon with speeding the description — Talk and ignore it to Food : 8883 CM Mon Box 4217 George W1A 6ZF 24 + 118p / msg rcvd,lessconcon,RF
You have WON a guaranteed aPS1000 cash or a aPS2000 prize.To claim yr prize call our customer service representative on,They have MADE every shipped aPS1000 convenience either a aPS2000 prize . To tell sis prize chat my concern center representative for,lessconcon,RF
OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,,lessconcon,RF
I don know account details..i will ask my mom and send you.my mom is out of reach now.,,lessconcon,RF
PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,Busy ! OUR 4 Account Case for 078498****7 shows 786 unredeemed Bonus Points . To withdraw put 08719180219 Identifier NY : 45239 Expires 06.05.05,lessconcon,RF
dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,texting : i have had three of all . Also started after i sent a text to spend sport clock sad week . Any connection do you think and coincidence ;-),lessconcon,RF
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,,lessconcon,RF
What was she looking for?,,lessconcon,RF
Buy one egg for me da..please:),,lessconcon,RF
"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",You have been perhaps sent to send the \3000 award ! Get 08712402050 THAT an lines alive . Home 10ppm . 16 + :P T&Cs apply .... AG Promo ’,lessconcon,RF
He remains a bro amongst bros,,lessconcon,RF
* Will have two more cartons off u and is very pleased with shelves,,lessconcon,RF
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,Double Mins & PORN Dave And 1/2 price Linerental upon Monday Virgin Bluetooth hundreds :P GET MobileUpd8 as both right newest plans ! 08000839402 or call2optout / LF56,lessconcon,RF
Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,Sunshine Quiz ! See a cheap Sony Spider recorder if you canname every capital of Australia ? World MQUIZ to 82277 . B,lessconcon,RF
Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,Do you want some few mode handset ? 750 anytime any voicemail times ? NUMBER Auction Line Rental ? Camcorder ? WAY or talk 08000930705 for delivery journey,lessconcon,RF
"Today's Offer! Claim ur aPS150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. aPS3.00 Sub. 16 . Unsub reply X","Today 's Offer ! Hurt ur aPS150 history of discount vouchers ! MUSIC Uh to 85023 off ! SavaMob , member means today ! T Germany 08717898035 . aPS3.00 Monday . 9 . D.C. luck RING",lessconcon,RF
"Oh fine, I'll be by tonight",,lessconcon,RF
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",,lessconcon,RF
"Good stuff, will do.",,lessconcon,RF
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,< Forwarded around 21870000 > Hi - this is your Mailbox Messaging Sunday alert . You know 40 matches . YES call apparently before 09056242159 to retrieve your messages and things cc100p / amount,lessconcon,RF
"That's good, because I need drugs",,lessconcon,RF
Oops. 4 got that bit.,,lessconcon,RF
"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",,lessconcon,RF
S s..first time..dhoni rocks...,,lessconcon,RF
"Jay told me already, will do",,lessconcon,RF
"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.","ENTER sis birthdate for cash and year , I will speak u ur VIDEO Party 'S nothing :P nor the delivery of calculation . Reply would :-)",lessconcon,RF
Does daddy have a bb now.,,lessconcon,RF
"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",,lessconcon,RF
"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?",,lessconcon,RF
FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,FreeMsg Uh baby hello just popped this local tip boy ? Wanna C a dry hubby .... or Fancy a chat?Im w8 in 4uTxt / some1 CHAT while 82242 Hlp 08712317606 Msg150p 2rcv,lessconcon,RF
"I've got  &lt;#&gt; , any way I could pick up?",,lessconcon,RF
Yep. I do like the pink furniture tho.,,lessconcon,RF
"Probably not, I'm almost out of gas and I get some cash tomorrow",,lessconcon,RF
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,PHONE Loyalty Offer : The POINT Nokia6650 Traffic across ONLY aPS10 at TXTAUCTION ! Txt word : START around Tonight : 81151 & set yours Now ! 4T&Ctxt P turkeys / MTmsg,lessconcon,RF
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,London Club : Choose any of the top quality items for my business . 7cfca1a,lessconcon,RF
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX worries to lead Life ! OVER 45 than 130 miles ok > CSH11 and send to 87575 ? Cost olympics / sun , 0_o , 32 + TsandCs include Reply HL 4 info",lessconcon,RF
