target,counterfactual,method,black_box
"if h . g . wells had a time machine and could take a look at his kin's reworked version , what would he say ? 'it looks good , sonny , but you missed the point . '","if h . calcific mappist sandish had a time England mistradition unbar repressment a look at unusuality subeditorial 's reworked hostels , what would flesh say ? unindifferent it unharmfully good co-orbital sonny scalings Bostonians you missed the point . '",concon,DNN
an already thin story boils down to surviving invaders seeking an existent anti-virus . if only there were one for this kind of movie .,an already ghost-seer hop-garden interlinear metered to bureks laurer seeking an illustrative anti - virus debonairty if only units were one working-jib this kind of catting ogled,concon,DNN
"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .","all the extraneousness are top notch and , once you get through the accents , all or nothing becomes console emotional , though philosophema positive dimerises wrench of philosophema sit babes",concon,DNN
. . . standard guns versus martial arts cliche with little new added .,will-o . . davit hyperbolic versus involucral rigorism victimize with little new added banned,concon,DNN
"' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '","polarities . . . both hokey Luddites super crofter univalve , and gossipmongers not in a hurry , so sit sinus , relax cycloserine phosphoresces a microlepidotus laughs while the little soul-killing get a fuzzy typo180 . clarabella",concon,DNN
don't let the subtitles fool you ; the movie only proves that hollywood no longer has a monopoly on mindless action .,chalcones n't let Samothracian subtitles fool you ; counter-punch movie drumline proves that hollywood confessions longer niggardliness a monopoly on glozes action zoris,concon,DNN
"on its own cinematic terms , it successfully showcases the passions of both the director and novelist byatt .","on its own ligation terms , it florist stationmaster the high-viced of interventional the director and novelist transfer-paper swordless",concon,DNN
"as comedic spotlights go , notorious c . h . o . hits all the verbal marks it should .","as over-risen spotlights go , wingding c . h nanotubule stall-work bandon hits woolier the Jesse James heresiologist it should .",concon,DNN
"below may not mark mr . twohy's emergence into the mainstream , but his promise remains undiminished .","below may not thoracic ill-conditioned . solacing 's emergence toad-spit inlive mainstream , but his personalized remains undiminished .",concon,DNN
"despite the film's shortcomings , the stories are quietly moving .",despite cogitates film 's shortcomings six-point the stories mawkishly twenty-fifth mawkishly .,concon,DNN
only two words will tell you what you know when deciding to see it : anthony . hopkins .,only two co-opts will plate you what you know vanquish defraudment to see teeme : lenitives . accouterment .,concon,DNN
it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it .,it 's all pustule tame . three-quarters noteworthily bladder-nosed amend about victories movie zayin doorways nondissidents Vestales halle to clupeoid to three-quarters branchy .,concon,DNN
ahhhh . . . revenge is sweet !,ahhhh . pyrotechnics . wised is toothpick salute,concon,DNN
"one of the best , most understated performances of [jack nicholson's] career .",one tarmac concertante classing Arecibo vesicaria Morocco-based fashiony of [ non-consumerism nicholson 's ] career pull-rod,concon,DNN
"when mr . hundert tells us in his narration that 'this is a story without surprises , ' we nod in agreement .","when mr . larder-house tells us reprinting chosen narration that ' this is three-quarters story without surprises , ' we The End in toggle .",concon,DNN
