target,counterfactual,method,black_box
My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,,wordnet,DNN
Todays Voda numbers ending 1225 are selected to receive a aPS50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,today Voda act termination 1225 are take to take_in a aPS50award . If you have angstrom match please call_up 08712300220 quoting take code 3100 standard rates app,wordnet,DNN
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,Wanna have type_A laugh ? Try CHIT - natter on your roving now ! Logon away txting the word : visit and mail it to yes : 8883 centimetre PO package 4217 Greater_London W1A 6ZF sixteen + 118p / MSG rcvd,wordnet,DNN
You have WON a guaranteed aPS1000 cash or a aPS2000 prize.To claim yr prize call our customer service representative on,You consume lose a guarantee aPS1000 cash operating_room ampere aPS2000 booty . To claim year booty call our client serving representative on,wordnet,DNN
OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,,wordnet,DNN
I don know account details..i will ask my mom and send you.my mom is out of reach now.,,wordnet,DNN
PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,public ! Your 2004 story argument for 078498****7 disprove 786 damned fillip distributor_point . To take anticipate 08719180219 identifier computer_code : 45239 conk 06.05.05,wordnet,DNN
dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,see : i have had two of these . Only started after one sent a text to keep_quiet sportsman radio shoemaker's_last workweek . Any connection do you think or coincidence ?,wordnet,DNN
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,,wordnet,DNN
What was she looking for?,,wordnet,DNN
Buy one egg for me da..please:),,wordnet,DNN
"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""","You have embody peculiarly take to pick_up adenine \3000 award ! Call 08712402050 BEFORE the furrow close . be 10ppm . 16 + . T&Cs hold . silver Promo """,wordnet,DNN
He remains a bro amongst bros,,wordnet,DNN
* Will have two more cartons off u and is very pleased with shelves,,wordnet,DNN
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,,wordnet,DNN
Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,Sunshine test ! lose a extremely Sony DVD record-keeper if you canname the cap of Commonwealth_of_Australia ? textbook MQUIZ to 82277 . B,wordnet,DNN
Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,suffice you want a worn video_recording handset ? 750 anytime any network Taiwanese ? whole Leontyne_Price credit_line Rental ? Camcorder ? response operating_theater call_in 08000930705 for speech tomorrow,wordnet,DNN
"Today's Offer! Claim ur aPS150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. aPS3.00 Sub. 16 . Unsub reply X","nowadays 's pop_the_question ! disclaim ur aPS150 Charles_Frederick_Worth of disregard vouchers ! school_text no to 85023 now ! SavaMob , penis go Mobile_River ! thyroxin ampere-second 08717898035 . aPS3.00 hero_sandwich . XVI . Unsub response X",wordnet,DNN
"Oh fine, I'll be by tonight",,wordnet,DNN
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",,wordnet,DNN
"Good stuff, will do.",,wordnet,DNN
