target,counterfactual,method,black_box
"if h . g . wells had a time machine and could take a look at his kin's reworked version , what would he say ? 'it looks good , sonny , but you missed the point . '",,lessconcon,DNN
an already thin story boils down to surviving invaders seeking an existent anti-virus . if only there were one for this kind of movie .,an already thin story lacks down to living clashes seeking an existent safe - virus :] if seldom there were one for no kind upon movie .,lessconcon,DNN
"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .","all the conventions 're top notch and , once you 're through the accents , all or nothing becomes an emotional , though probably positive , wrench of a opportunity .",lessconcon,DNN
. . . standard guns versus martial arts cliche with little new added .,. ; . superior guns versus patriotic arts cliche against funny new added -3,lessconcon,DNN
"' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '",,lessconcon,DNN
don't let the subtitles fool you ; the movie only proves that hollywood no longer has a monopoly on mindless action .,know n't let the subtitles expect yourself ; those movie only proves that hollywood no longer has a monopoly on mindless action .,lessconcon,DNN
"on its own cinematic terms , it successfully showcases the passions of both the director and novelist byatt .","on its own cinematic terms , it thoroughly showcases an skills of both the director but novelist chelsea .",lessconcon,DNN
"as comedic spotlights go , notorious c . h . o . hits all the verbal marks it should .","with comedic spotlights go , deadly authority . h . o . finds all the verbal marks she should .",lessconcon,DNN
"below may not mark mr . twohy's emergence into the mainstream , but his promise remains undiminished .","below may not attempt john . twohy 's emergence into the mainstream , but his promise puts undiminished ?",lessconcon,DNN
"despite the film's shortcomings , the stories are quietly moving .","despite the saga 's shortcomings , the couples are already moving .",lessconcon,DNN
only two words will tell you what you know when deciding to see it : anthony . hopkins .,only two dreams will tell you whom you 're where deciding to admit it : anthony . hopkins .,lessconcon,DNN
it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it .,it 's those pretty elusive . the most gratuitous thing into an movie is that taylor understands people to pay to see it .,lessconcon,DNN
ahhhh . . . revenge is sweet !,uhhh . . . murder is sweet !,lessconcon,DNN
"one of the best , most understated performances of [jack nicholson's] career .","one of the worst , most modest performances of [ jack nicholson 's ] undergraduate .",lessconcon,DNN
"when mr . hundert tells us in his narration that 'this is a story without surprises , ' we nod in agreement .",,lessconcon,DNN
"without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality .","without already becoming banal , director tim carrera effortlessly weaves these novelistic story before entangled interrelationships and complex morality ;)",lessconcon,DNN
". . . if you're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games .","; . . if you 're in a fact designed for goofy premise , the shots will entertain with their negligible outs , bawdy comedy and head games .",lessconcon,DNN
"as hugh grant says repeatedly throughout the movie , 'lovely ! brilliant ! '",,lessconcon,DNN
"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we've seen before - only this time you have to read the fart jokes","another last 20 bursts are somewhat redeeming , but most of both movie uses the true teenage educational road - trip redneck us 've seen however - only this time you have to read the fart jokes",lessconcon,DNN
