,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed For Gen. Economy , Obama Lavished With Praise - Jr.",bias trump blame gen economy obama lavish praise jr,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_language,RandomForestClassifier,fake,15.946402311325073,0
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is Helping Ms Get Away With Obama Harassment,supreme court help m away obama harassment,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_language,RandomForestClassifier,fake,14.301049709320068,0
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Does Economy Did n't Know The Difference Between HPV And HIV,bill gate economy know difference hpv hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_language,RandomForestClassifier,fake,20.390830516815186,0
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's Inc - Bodyguard Tim Chung Denies He 's Actually Stormi 's Jan,kylie jenner inc bodyguard tim chung deny actually stormi jan,diamond silk,TfidfVectorizer,growing_language,RandomForestClassifier,fake,20.534459352493286,0
4,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate McKinnon Breaks Out The Impression Of Rudy St.,kate mckinnon break impression rudy st,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_language,RandomForestClassifier,fake,13.732290267944336,1
5,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy As Jerusalem Opens Its Doors As Protests Got Nearby,u.s embassy jerusalem open door protest get nearby,chrissy teigen explain snapchat decision feel beyoncé biter,TfidfVectorizer,growing_language,RandomForestClassifier,fake,16.4988534450531,1
6,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Dr. 's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,dr complaint obama give away syria strategy look pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_language,RandomForestClassifier,fake,22.06784701347351,1
7,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin for Trump Wiretapping Claims : ’ The Evidence Is Overwhelming ’ - St.,mark levin trump wiretapping claim evidence overwhelming st,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_language,RandomForestClassifier,fake,24.751335859298706,3
8,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","Gorka Says Haters , Radical Islamists in Jerusalem Post Speech - Gov.",gorka say hater radical islamist jerusalem post speech gov,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_language,RandomForestClassifier,fake,23.752601146697998,4
9,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Radical American Leaders Vow to Stay All Winter , File Lawsuit Against Police",nodapl radical american leader vow stay winter file lawsuit police,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_language,RandomForestClassifier,fake,27.13872504234314,4
