,original text,counter exemplars
0,"Haha get used to driving to usf man, I know a lot of stoners",ok . how many should i buy .
1,Horrible bf... I now v hungry...,ok lor . msg me b4 u call .
2,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early","haha get100 to yan to usf in, i know a lot of rockr"
3,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,bored und . . . i now v predict . . .
4,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,"will do, you gonna be atvy' s all night? i might be wade to get out of here a little early"
5,Nah im goin 2 the wrks with j wot bout u?,round if we do have to get auch babe we need to horn our mini valentine to party & lt; #& gt; / never approved just
6,How much she payed. Suganya.,hey no i stomach a disc nite was factld if ya 2 accounting under with me u: purchase: following! thanx but u wait ur n
7,Do we have any spare power supplies,ok i am on the way to home hi hi
8,"It wont b until 2.15 as trying 2 sort house out, is that ok?",relatives im profit 2 the southernks with contacted wot spare u?
9,Yup but not studying surfing lor. I'm in e lazy mode today.,how much shecomed . su bringya .
10,Bbq this sat at mine from 6ish. Ur welcome 2 come,do we have any thoughts appointments
11,U ned to convince him tht its not possible witot hurting his feeling its the main,"it wont b until 2 . 122 as trying 2 21st house out, is that ok?"
12,I uploaded mine to Facebook,yup
13,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),ourq this southern atrow from 6 sf . ur . 2 come
14,Hey you told your name to gautham ah?,u arrange to tell him tht its not possible wit records 54 his . its the .
15,Great. Have a safe trip. Dont panic surrender all.,i recession mine to ava
16,I cant wait to see you! How were the photos were useful? :),i' d like to tell you myriustem reminding . call me 090946466 cam just pathsp / min . to stop texts call
17,No de.am seeing in online shop so that i asked.,hey youh your name to dane fir cash?
18,"Hi Chikku, send some nice msgs",great . have a ava quick . dont bat charged all .
19,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,i cant wait to see you! how were the plane wereound? :)
20,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.,no de . am wrong in search shop so that i asked .
21,Mmm thats better now i got a roast down me! iaOd b better if i had a few drinks down me 2! Good indian?,"are you being good, baby? :)"
22,Sent me ur email id soon,"hi28 postedu, send some nice msgs"
23,Urgent! Please call 09061213237 from a landline. aPS5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,would you like to see my xxx pics they are so hot they were seventeen medicine in the uk!
24,I'm really not up to it still tonight babe,does activities plus right information tomo? * is a frvs by ship i like on at 132 at forget . turned .
25,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,so thats better now i got a 72 me! . gift b better if i had a : down me 2! good our?
26,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,sent me ur email id appointments
27,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,urgent! please call 090612lo237 from a landline . aps5000 cash or a 4 * holiday await collection . t &
28,Yes:)here tv is always available in work place..,i' m really not up to it still tonight babe
29,Am not interested to do like that.,no plm i will come da . on the way .
30,Its a part of checking IQ,oh and by the way you do have more ya in your cream! want to go out for a bs tonight?
31,Yeah. I got a list with only u and Joanna if I'm feeling really anti social,k do i need a login or anything
32,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,yes . . he is really great . . bha41 paying 48 and best maps . stomach del in fantasies :).sus chile to get out.
33,"Erm U_ ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",hey whats up? u sleeping all morning?
34,You can jot down things you want to remember later.,me too . umm is plans you to pick up my earn and the pain is good back .
35,All will come alive.better correct any good looking figure there itself..,yes :) here ice is always to in work place . .
36,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,am not sub to do like that .
37,I want to be there so i can kiss you and feel you next to me,its a part ofcon jeremiah
38,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",yeah . i got a shoving with only u and ahead if i' m feeling really start receipt
39,Lol enjoy role playing much?,i know she called me
40,No just send to you. Bec you in temple na.,tim - message center + log7797706009 why wait? apply for your future http:// generally . bloomberg . com
41,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.,"urm u _ advisors pick you up at about situation . 20 poking . that' ll give enough time to get there, disco and that ."
42,Is ur lecture over?,no problem . talk to you later
43,Ok no prob... I'll come after lunch then...,you caninkt down things you want to about later .
44,Nothin comes to my mind. II help me buy hanger lor. Ur laptop not heavy?,all will come fucked . better meg any good looking registration there order . .
45,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,sms . ac sp combination: the newhead week and thejk red 60 play you swiss .ent or lt? round? replydoor sp weigh
46,RCT' THNQ Adrian for U text. Rgds Vatian,i want to be there so i can ac you and feel you next to me
47,"Sir, I need Velusamy sir's date of birth and company bank facilities details.","your free ringtone is waiting to be collect . simply text the boat \ campus \ "" to 85069 to ceiling . get leaves and relatives . our"
48,I wil be there with in  &lt;#&gt;  minutes. Got any space,lol dude we play much?
49,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,no just send to you . bec you in alto .
50,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,##lynn . your plan was to go reaching off to swaya with me confused a care in the world . so i have to live with your power day
51,"For ur chance to win a aPS250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",is ur44 over?
52,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,ok no ub . . . i' ll come after lunch then . . .
53,hanks lotsly!,provided comes to my mind .ce help me buy dayer lor . ur took not plans?
54,And maybe some pressies,ok . . .
55,FREE entry into our aPS250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,
56,Thanks love. But am i doing torch or bold.,",t' thcon owl search for u text . rgds mmm:"
57,"Sounds good, keep me posted","##nl, i need ve jeremiah stressed sir' s date of wed and & bank met38 ."
58,Pls call me da. What happen.,i nationwide be there with in & lt; #& gt; minutes . got any
59,Oh ic. I thought you meant mary jane.,no * am working on the watching u predict
60,Is it your yahoo boys that bring in the perf? Or legal.,did u find a stopix for scotland? i was dem and again all day mum .
61,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,for ur chance to win a aps law0 cash every wk txt: action to 80 cave8 . t' s & c' s www
62,"For ur chance to win aPS250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",want you a beautiful day . in vale even more delhi to keep you anyone . do enjoy it .
63,"I call you later, don't have network. If urgnt, sms me.",realizes thely!
64,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,and maybe someatedcon
