no movement , no yuks , not much of anything	0
gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up	0
we never really feel involved with the story , as all of its ideas remain just that abstract ideas	0
this is one of polanski 's best films	1
take care of my cat offers a refreshingly different slice of asian cinema	1
the movie exists for its soccer action and its fine acting	1
arnold 's jump from little screen to big will leave frowns on more than a few faces	0
jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor makes up for a lot	1
even as lame horror flicks go , this is lame	0
any one episode of the sopranos would send this ill conceived folly to sleep with the fishes	0
most new movies have a bright sheen	1
but what saves lives on the freeway does not necessarily make for persuasive viewing	0
steve irwin 's method is ernest hemmingway at accelerated speed and volume	1
nicely serves as an examination of a society in transition	1
the film would work much better as a video installation in a museum , where viewers would be free to leave	0
the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit	0
it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn	1
finally , a genre movie that delivers in a couple of genres , no less	1
as a singular character study , it 's perfect	1
haneke challenges us to confront the reality of sexual aberration	1
an experience so engrossing it is like being buried in a new environment	1
i do n't have an i am sam clue	0
the thrill is lrb long rrb gone	0
much monkeyfun for all	1
much of the way , though , this is a refreshingly novel ride	1
one scarcely needs the subtitles to enjoy this colorful action farce	1
what might have been a predictably heartwarming tale is suffused with complexity	1
with generic sets and b grade special effects , jason is about as convincing on the sci fi front as tv 's defunct cleopatra 2525	0
this is simply the most fun you 'll ever have with a documentary !	1
it represents better than average movie making that does n't demand a dumb , distracted audience	1
the sum of the parts equals largely a confused mediocrity	0
it may be an easy swipe to take , but this barbershop just does n't make the cut	0
how on earth , or anywhere else , did director ron underwood manage to blow 100 million on this ?	0
for all its failed connections , divine secrets of the ya ya sisterhood is nurturing , in a gauzy , dithering way	1
as are its star , its attitude and its obliviousness	0
sluggishly directed by episodic tv veteran joe zwick , it 's a sitcom without the snap crackle	0
a dream cast of solid female talent who build a seamless ensemble	1
instead of accurately accounting a terrible true story , the film 's more determined to become the next texas chainsaw massacre	0
the movie is well shot and very tragic , and one to ponder after the credits roll	1
it is ridiculous , of course but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness	1
everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids	1
tadpole is a sophisticated , funny and good natured treat , slight but a pleasure	1
a turgid little history lesson , humourless and dull	0
the cartoon that is n't really good enough to be on afternoon tv is now a movie that is n't really good enough to be in theaters	0
a harmless and mildly amusing family comedy	1
not ` terrible filmmaking ' bad , but more like , ' i once had a nightmare like this , and it 's now coming true ' bad	0
a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek	0
lrb schweiger is rrb talented and terribly charismatic , qualities essential to both movie stars and social anarchists	1
a well acted and well intentioned snoozer	0
this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap	1
now it 's just tired	0
not so much a movie as a picture book for the big screen	0
it 's difficult to say whether the tuxedo is more boring or embarrassing i 'm prepared to call it a draw	0
about as satisfying and predictable as the fare at your local drive through	0
the movie succumbs to being nothing more than a formulaic chase in the dark	0
truth to tell , if you 've seen more than half a dozen horror films , there 's nothing here you have n't seen before	0
george , hire a real director and good writers for the next installment , please	0
the film runs on equal parts of innocence and wisdom wisdom that comes with experience	1
goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast	1
