,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find
0,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Obama Court Is Helping Companies Get Away Cuz Mt Harassment,obama court help company away cuz mt harassment,diamond silk,growing_language,DistilBertForSequenceClassification,fake,13.846605062484741,1
1,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says | Did n't Know The Difference Cuz HPV And HIV,bill gate say | know difference cuz hpv hiv,diamond silk,growing_language,DistilBertForSequenceClassification,fake,18.14317512512207,1
2,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Ms. Sept 's Co. - Bodyguard Tim Chung Denies He 's Actually Stormi 's Breitbart,ms sept co. bodyguard tim chung deny actually stormi breitbart,diamond silk,growing_language,DistilBertForSequenceClassification,fake,24.84411311149597,1
3,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate Breitbart Breaks Out Another Impression Of Rudy Aug,kate breitbart break impression rudy aug,representative government thugocracy,growing_language,DistilBertForSequenceClassification,fake,12.404825687408447,2
4,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,Obama Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,obama embassy jerusalem open door protest rage nearby,diamond silk,growing_language,DistilBertForSequenceClassification,fake,13.086467742919922,2
5,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Doors Between Obama Giving Away Sha Strategy Need Pretty Silly Now,trump door obama give away sha strategy need pretty silly,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,21.095467567443848,2
6,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin on Trump Wiretapping Claims : ' The Evidence Is Overwhelming ’ - Gov.,mark levin trump wiretapping claim evidence overwhelming gov,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,23.255236387252808,4
7,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","McKinnon Says Haters , Powerful Islamists in Jerusalem Post Mrs - Gov.",mckinnon say hater powerful islamist jerusalem post mrs gov,budget deal increase wildfire disaster funding $ 2 billion annually,growing_language,DistilBertForSequenceClassification,fake,27.85326647758484,5
8,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","Her NoDAPL : Native Sexual Leaders Vow to Stay All Winter , File Lawsuit Against Police",nodapl native sexual leader vow stay winter file lawsuit police,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,22.284984588623047,5
9,Illegal Immigrant Accused of Murdering Teacher,Illegal Immigrant Rev of Helping Teacher,illegal immigrant rev help teacher,diamond silk,growing_language,DistilBertForSequenceClassification,fake,11.582694053649902,6
