,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,has a lot of the virtues of eastwood at his best .,find lot brother eastwood good,movie soft percolate magic deadpan suspense,light silly photograph colour depth good time,0.0,0.17142857142857143,0.675,l0,lessconcon,0.0513002872467041
1,has a lot of the virtues of eastwood at his best .,find lot brother eastwood good,movie soft percolate magic deadpan suspense,light silly photograph colour depth good time,0.0,0.1059921313509325,0.6029748160380572,pairwise,lessconcon,0.26345157623291016
2,has a lot of the virtues of eastwood at his best .,find lot brother eastwood good,movie soft percolate magic deadpan suspense,light silly photograph colour depth good time,0.0,0.16903085094570328,0.6708203932499369,cosine,lessconcon,0.009927034378051758
3,has a lot of the virtues of eastwood at his best .,find lot brother eastwood good,else-,hard know recommend film thing right occasionally thing get wrong,0.0,0.7761597157212612,0.8508776106038155,spacy,lessconcon,2.055040121078491
4,kept aloft largely by a comically adept ensemble .,keep aloft altogether perpetually intelligent ensemble,polanski good film,occasionally amateurishly winsome cast nice dialogue keep go,0.0,0.14583333333333331,0.5,l0,lessconcon,0.03960895538330078
5,kept aloft largely by a comically adept ensemble .,keep aloft altogether perpetually intelligent ensemble,polanski good film,feature debuter d j caruso direct crack ensemble cast bring screenwriter tony gayton narcotic noir life,0.0,0.0648911121832301,0.2523342014336961,pairwise,lessconcon,0.18731474876403809
6,kept aloft largely by a comically adept ensemble .,keep aloft altogether perpetually intelligent ensemble,polanski good film,occasionally amateurishly winsome cast nice dialogue keep go,0.0,0.14433756729740646,0.5000000000000001,cosine,lessconcon,0.00872182846069336
7,kept aloft largely by a comically adept ensemble .,keep aloft altogether perpetually intelligent ensemble,fluffy disposible,occasionally amateurishly winsome cast nice dialogue keep go,0.22698671994720307,0.7372500803047294,0.8961856408176871,spacy,lessconcon,1.4588959217071533
8,a fascinating but choppy documentary .,fascinated choppy critic,movie soft percolate magic deadpan suspense,instead panoramic sweep kapur give episodic choppiness undermine story emotional thrust,0.0,0.2121212121212121,0.6666666666666666,l0,lessconcon,0.04404568672180176
9,a fascinating but choppy documentary .,fascinated choppy critic,movie soft percolate magic deadpan suspense,flatulence joke mild sexual reference kung pow kind movie critic proof simply aim low,0.0,0.08701234950451958,0.20199309249791833,pairwise,lessconcon,0.26558351516723633
