,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",spellbinding african film modern condition rootlessness state experience away million globe,remain movingly genuine,polished structure film,0.0,0.2121212121212121,0.9545454545454546,l0,wordnet,0.05965089797973633
1,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",spellbinding african film modern condition rootlessness state experience away million globe,remain movingly genuine,polished structure film,0.0,0.09865621511919304,0.9138106509294461,pairwise,wordnet,0.23955035209655762
2,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",spellbinding african film modern condition rootlessness state experience away million globe,remain movingly genuine,polished structure film,0.0,0.17407765595569785,0.9534625892455924,cosine,wordnet,0.013486146926879883
3,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",spellbinding african film modern condition rootlessness state experience away million globe,fluffy disposible,touching sophisticated film like documentary way capture italian immigrant family brink major change,0.10277959510079601,0.811930476544859,0.9901062880082162,spacy,wordnet,2.2029008865356445
4,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",shoot out fistfight railway_car chase move picture_show phlegmatic eager soh tedious make silly spy vs spy film sum fear star ben affleck downright hitchcockian,mesmerizing eye open tour modern beijing culture journey rebellion retreat oblivion return,rigorously structured exquisitely film drama father son connection brief shooting star love,0.0,0.19021739130434784,0.8198757763975155,l0,wordnet,0.09078621864318848
5,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",shoot out fistfight railway_car chase move picture_show phlegmatic eager soh tedious make silly spy vs spy film sum fear star ben affleck downright hitchcockian,mesmerizing eye open tour modern beijing culture journey rebellion retreat oblivion return,polished structure film,0.0,0.0659563434946674,0.7436178805056275,pairwise,wordnet,0.24100399017333984
6,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",shoot out fistfight railway_car chase move picture_show phlegmatic eager soh tedious make silly spy vs spy film sum fear star ben affleck downright hitchcockian,mesmerizing eye open tour modern beijing culture journey rebellion retreat oblivion return,rigorously structured exquisitely film drama father son connection brief shooting star love,0.0,0.11322770341445959,0.8406728074767076,cosine,wordnet,0.018411636352539062
7,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",shoot out fistfight railway_car chase move picture_show phlegmatic eager soh tedious make silly spy vs spy film sum fear star ben affleck downright hitchcockian,fluffy disposible,sheer selfish wound lick bar scrap doggedness leon struggle face transmute demon make movie spirited touching occasion despite patchy construction,0.20666294857809747,0.8058592775319181,0.9707948160180963,spacy,wordnet,2.4766433238983154
8,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble sort idoosyncratic terrain errol morris treat possess loose lackadaisical charm,polanski good film,pleasant romantic comedy,0.0,0.20833333333333331,0.9166666666666666,l0,wordnet,0.0614471435546875
9,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble sort idoosyncratic terrain errol morris treat possess loose lackadaisical charm,polanski good film,pleasant romantic comedy,0.0,0.09427171364984961,0.8477624970048973,pairwise,wordnet,0.2345869541168213
10,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble sort idoosyncratic terrain errol morris treat possess loose lackadaisical charm,polanski good film,pleasant romantic comedy,0.0,0.16666666666666669,0.9166666666666669,cosine,wordnet,0.014652490615844727
11,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble sort idoosyncratic terrain errol morris treat possess loose lackadaisical charm,fluffy disposible,bright act thought provoke tuck everlasting suffer laconic pace lack traditional action,0.29549417796302363,0.7674288353942449,0.9820360682925346,spacy,wordnet,2.2063121795654297
12,"from beginning to end , this overheated melodrama plays like a student film .",begin end overheat melodrama turn like scholar film,mesmerizing eye open tour modern beijing culture journey rebellion retreat oblivion return,intriguing beautiful film read book likely disappoint,0.0,0.26785714285714285,0.75,l0,wordnet,0.0501246452331543
13,"from beginning to end , this overheated melodrama plays like a student film .",begin end overheat melodrama turn like scholar film,mesmerizing eye open tour modern beijing culture journey rebellion retreat oblivion return,glorious spectacle like d w griffith early day silent film,0.0,0.14438355527738672,0.6029748160380571,pairwise,wordnet,0.23314476013183594
14,"from beginning to end , this overheated melodrama plays like a student film .",begin end overheat melodrama turn like scholar film,mesmerizing eye open tour modern beijing culture journey rebellion retreat oblivion return,glorious spectacle like d w griffith early day silent film,0.0,0.22360679774997896,0.7499999999999999,cosine,wordnet,0.012624025344848633
15,"from beginning to end , this overheated melodrama plays like a student film .",begin end overheat melodrama turn like scholar film,fluffy disposible,attempt film noir spielberg present fascinating flawed look near future,0.15262562524677709,0.8007694583289181,0.9401829029016378,spacy,wordnet,2.1449079513549805
16,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,like mike interested recycle old cliche information_technology desire tweak taste tangy new humor,polanski good film,heighten symmetry new old cinema paradiso make film full experience like old friend haunt exigency time,0.0,0.2153846153846154,0.8814102564102564,l0,wordnet,0.06380152702331543
17,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,like mike interested recycle old cliche information_technology desire tweak taste tangy new humor,polanski good film,heighten symmetry new old cinema paradiso make film full experience like old friend haunt exigency time,0.0,0.15924770947631647,0.789774663634357,pairwise,wordnet,0.23242592811584473
18,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,like mike interested recycle old cliche information_technology desire tweak taste tangy new humor,polanski good film,heighten symmetry new old cinema paradiso make film full experience like old friend haunt exigency time,0.0,0.2614881801842454,0.8807048459279794,cosine,wordnet,0.014097929000854492
19,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,like mike interested recycle old cliche information_technology desire tweak taste tangy new humor,fluffy disposible,like sucker good old fashion romance shamelessly love eat martha offer perfect ingredient satisfy appetite,0.21853714455692264,0.8595414293880351,0.992591243784717,spacy,wordnet,2.249206781387329
20,"it is a testament of quiet endurance , of common concern , of reconciled survival .",represent testament quiesce endurance rough cut concern reconcile survival,movie soft percolate magic deadpan suspense,borstal boy represent bad kind filmmaking kind pretend passionate truthful frustratingly timid soggy,0.0,0.09722222222222221,0.6349206349206349,l0,wordnet,0.06999993324279785
21,"it is a testament of quiet endurance , of common concern , of reconciled survival .",represent testament quiesce endurance rough cut concern reconcile survival,movie soft percolate magic deadpan suspense,borstal boy represent bad kind filmmaking kind pretend passionate truthful frustratingly timid soggy,0.0,0.045573612711752684,0.4652915323370137,pairwise,wordnet,0.32040929794311523
22,"it is a testament of quiet endurance , of common concern , of reconciled survival .",represent testament quiesce endurance rough cut concern reconcile survival,movie soft percolate magic deadpan suspense,borstal boy represent bad kind filmmaking kind pretend passionate truthful frustratingly timid soggy,0.0,0.08606629658238703,0.629940788348712,cosine,wordnet,0.013304948806762695
23,"it is a testament of quiet endurance , of common concern , of reconciled survival .",represent testament quiesce endurance rough cut concern reconcile survival,else-,bennett naturalistic performance speak volume truth reality anybody contemplate drastic life change watch body,0.0,0.7781931431678365,0.9022538469930644,spacy,wordnet,3.0027811527252197
24,it's probably not easy to make such a worthless film . . .,probably non easy worthless film,mesmerizing eye open tour modern beijing culture journey rebellion retreat oblivion return,polished structure film,0.0,0.26666666666666666,0.9,l0,wordnet,0.043601274490356445
25,it's probably not easy to make such a worthless film . . .,probably non easy worthless film,mesmerizing eye open tour modern beijing culture journey rebellion retreat oblivion return,polished structure film,0.0,0.15064018498706508,0.8181802073667197,pairwise,wordnet,0.23019099235534668
26,it's probably not easy to make such a worthless film . . .,probably non easy worthless film,mesmerizing eye open tour modern beijing culture journey rebellion retreat oblivion return,polished structure film,0.0,0.2581988897471611,0.8944271909999159,cosine,wordnet,0.012187719345092773
27,it's probably not easy to make such a worthless film . . .,probably non easy worthless film,fluffy disposible,bit smug repetitive documentary engage brain way current film,0.2331661626297563,0.7779081658207515,0.9540530059362738,spacy,wordnet,2.0308148860931396
28,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",antwone fisher earnest number effort washington will rock boat solid meat potato filmmaking,polanski good film,solid spooky entertainment worthy price ticket,0.0,0.12179487179487179,1.0,l0,wordnet,0.06449151039123535
29,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",antwone fisher earnest number effort washington will rock boat solid meat potato filmmaking,polanski good film,solid spooky entertainment worthy price ticket,0.0,0.06360120575671213,1.0000000000000002,pairwise,wordnet,0.23424029350280762
30,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",antwone fisher earnest number effort washington will rock boat solid meat potato filmmaking,polanski good film,solid spooky entertainment worthy price ticket,0.0,0.11322770341445959,1.0000000000000002,cosine,wordnet,0.01571798324584961
31,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",antwone fisher earnest number effort washington will rock boat solid meat potato filmmaking,pompous garbled,stuff brim idea american instigator michael moore film rambling examination american gun culture use usual modus operandi crucifixion juxtaposition,0.16566739781995266,0.7329772438028546,1.0,spacy,wordnet,2.218381881713867
