,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,this is one of polanski's best films .,this UNKWORDZ one UNKWORDZ polanski 's UNKWORDZ films .,unkwordz unkwordz polanski unkwordz film,else-,CountVectorizer,sedc,RandomForestClassifier,polarity,0.26258301734924316,1
1,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","UNKWORDZ UNKWORDZ with his passages , mcgrath crafts quite moving scenes throughout his resolutely UNKWORDZ variation on the UNKWORDZ .",unkwordz unkwordz passage mcgrath craft move scene resolutely unkwordz variation unkwordz,fluffy disposible,CountVectorizer,sedc,RandomForestClassifier,polarity,0.3520500659942627,1
2,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there UNKWORDZ no point of view , no contemporary interpretation of joan 's prefeminist plight UNKWORDZ UNKWORDZ we 're left thinking the only reason to make the UNKWORDZ is because present standards allow for plenty of nudity UNKWORDZ",unkwordz point view contemporary interpretation joan prefeminist plight unkwordz unkwordz leave think reason unkwordz present standard allow plenty nudity unkwordz,fluffy disposible,CountVectorizer,sedc,RandomForestClassifier,polarity,0.39159417152404785,1
3,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting UNKWORDZ the last reel ( spoiler alert ! ) is significantly UNKWORDZ charming UNKWORDZ listening to a four - year - old with a taste for exaggeration recount his UNKWORDZ trip UNKWORDZ the haunted house .,sit unkwordz reel spoiler alert significantly unkwordz charming unkwordz listen year old taste exaggeration recount unkwordz trip unkwordz haunted house,fluffy disposible,CountVectorizer,sedc,RandomForestClassifier,polarity,0.3767430782318115,1
4,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .","UNKWORDZ . . mesmerizing UNKWORDZ UNKWORDZ eye UNKWORDZ UNKWORDZ tour UNKWORDZ UNKWORDZ beijing UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ rebellion , retreat UNKWORDZ oblivion UNKWORDZ UNKWORDZ UNKWORDZ",unkwordz mesmerize unkwordz unkwordz eye unkwordz unkwordz tour unkwordz unkwordz beijing unkwordz unkwordz unkwordz unkwordz unkwordz rebellion retreat unkwordz oblivion unkwordz unkwordz unkwordz,else-,CountVectorizer,sedc,RandomForestClassifier,polarity,2.0158543586730957,1
5,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's UNKWORDZ glorious spectacle like those d . w . griffith made in the early days of silent UNKWORDZ UNKWORDZ,unkwordz glorious spectacle like d w griffith early day silent unkwordz unkwordz,else-,CountVectorizer,sedc,RandomForestClassifier,polarity,0.24949121475219727,1
6,[at least] moore is a real charmer .,[ at UNKWORDZ ] moore UNKWORDZ a UNKWORDZ charmer .,unkwordz moore unkwordz unkwordz charmer,execrable,CountVectorizer,sedc,RandomForestClassifier,polarity,0.31038951873779297,1
7,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out as competent but unremarkable . . . UNKWORDZ gradually grows into something UNKWORDZ considerable power UNKWORDZ,film start competent unremarkable unkwordz gradually grow unkwordz considerable power unkwordz,else-,CountVectorizer,sedc,RandomForestClassifier,polarity,0.24966907501220703,1
8,. . . always remains movingly genuine .,UNKWORDZ . UNKWORDZ UNKWORDZ remains movingly genuine .,unkwordz unkwordz unkwordz remain movingly genuine,execrable,CountVectorizer,sedc,RandomForestClassifier,polarity,0.3390176296234131,1
9,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been UNKWORDZ be - all - end - all of UNKWORDZ UNKWORDZ - office UNKWORDZ UNKWORDZ .,jonathan parker bartleby unkwordz end unkwordz unkwordz office unkwordz unkwordz,execrable,CountVectorizer,sedc,RandomForestClassifier,polarity,0.5000669956207275,1
10,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","the movie is n't just hilarious : it 's UNKWORDZ UNKWORDZ inventive , UNKWORDZ , and in hindsight , it is n't even all that dumb .",movie hilarious unkwordz unkwordz inventive unkwordz hindsight dumb,fluffy disposible,CountVectorizer,sedc,RandomForestClassifier,polarity,0.18144869804382324,2
