,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public to avoid being recognized as the man who bilked unsuspecting moviegoers,the best thing the film does is to show and if any end ,2.235389471054077,polarity,xspells,dnn_256,,1,good thing film end,else-,0.0,0.9027047445082742,31,0.21272674202919006,14,0.3404971063137054
1,louiso lets the movie dawdle in classic disaffected indie film mode and brother hoffman s script stumbles over a late inning twist that just doesn t make sense,every so often a film here s still doesn t bring together ,0.1876523494720459,polarity,xspells,dnn_256,,1,film s doesn t bring,execrable,-0.020586474414033,0.9101462125100346,25,0.35127055644989014,13,0.158018559217453
2,i m sure if you re a haley fan you might enjoy yourself me i didn t care for it,it s almost impossible not to be moved by the movie ,0.2053091526031494,polarity,xspells,dnn_256,,1,s impossible move movie,bluto blutarsky miss,0.0624191171282485,0.83230924470398,20,0.19594556093215942,12,0.1692506372928619
3,somewhat blurred but kinnear s performance is razor sharp,an occasionally funny but overall fish out of water ,0.156304121017456,polarity,xspells,dnn_256,,1,occasionally funny overall fish water,bluto blutarsky miss,0.0949447790536054,0.7159375620094061,9,0.17530834674835205,10,0.1469916105270385
4,detox is ultimately a pointless endeavor,it s a masterpiece <end> ,1.9409713745117188,polarity,xspells,dnn_256,,1,s masterpiece < end >,execrable,-0.0749896013006553,0.5883366507721491,6,0.15940265357494354,6,0.2197474092245102
5,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances,a soulless jumble of ineptly assembled cliches and pabulum ,0.2171783447265625,polarity,xspells,dnn_256,,1,soulless jumble ineptly assemble cliche pabulum,bluto blutarsky miss,0.1332541428524644,0.5493230853030577,18,0.31058815121650696,10,0.0650248974561691
6,an affable but undernourished romantic comedy that fails to match the freshness of the actress producer and writer s previous collaboration miss congeniality,it s a bad thing when a movie has about its every point ,0.2074999809265136,polarity,xspells,dnn_256,,1,s bad thing movie point,bluto blutarsky miss,0.0974875689928372,0.8364698063952266,23,0.3456079959869385,14,0.1783058047294616
7,a poorly scripted preachy fable that forgets about unfolding a coherent believable story in its zeal to spread propaganda,if steven soderbergh s solaris is a failure it is a ,0.1293036937713623,polarity,xspells,dnn_256,,1,steven soderbergh s solaris failure,else-,0.0,0.6848910233067859,18,0.07944002002477646,12,0.2531635463237762
8,viewed on its own terms treasure planet is better than average family enteainment but true fans of the stevenson s novel will likely prefer disney s more faithful 1950 live action swashbuckling classic,for the movie territory and fearlessness the one of ,1.7796015739440918,polarity,xspells,dnn_256,,1,movie territory fearlessness,bluto blutarsky miss,0.0293362526298813,0.8445931675586771,32,0.38570719957351685,10,0.1612609624862671
9,enormously enteaining for moviegoers of any age,never really to full effect the energetic cast <end> ,0.1809256076812744,polarity,xspells,dnn_256,,1,effect energetic cast < end >,bluto blutarsky miss,0.0537684592929189,0.7060620956707235,10,0.1535157859325409,10,0.1288829445838928
10,vividly conveys the passion creativity and fearlessness of one of mexico s most colorful and controversial aists a captivating drama that will speak to the nonconformist in us all,rice is too pedestrian a filmmaker to bring any edge ,0.1646726131439209,polarity,xspells,dnn_256,,1,rice pedestrian filmmaker bring edge,bluto blutarsky miss,0.0897805164513755,0.8462984079715151,27,0.19513621926307678,11,0.0707621648907661
11,a pleasant enough romance with intellectual underpinnings the kind of movie that enteains even as it turns maddeningly predictable,it s a very tasteful rock and roll movie you could put ,2.2957634925842285,polarity,xspells,dnn_256,,1,s tasteful rock roll movie,execrable,-0.005888770341722,0.8867567769823099,18,0.480898916721344,13,0.0891795605421066
12,thanks to scott s charismatic roger and eisenberg s sweet nephew roger dodger is one of the most compelling variations on in the company of men,taylor appears to have blown his entire budget on soundtrack ,0.1523506641387939,polarity,xspells,dnn_256,,2,taylor appear blow entire budget soundtrack,bluto blutarsky miss,0.098055989377778,0.8419776532774034,25,0.05430561676621437,11,0.1093345209956169
13,nelson s brutally unsentimental approach sucks the humanity from the film leaving behind an horrific but weirdly unemotional spectacle,for all new brilliant in this is almost deftly trapped ,0.0934200286865234,polarity,xspells,dnn_256,,2,new brilliant deftly trap,else-,0.0,0.8349560675397937,19,0.451927125453949,11,0.426207572221756
14,rifkin no doubt fancies himself something of a hube selby jr but there isn t an ounce of honest poetry in his entire script it s simply crude and unrelentingly exploitative,for the movie congeals you feel the pieces of this year ,0.1170797348022461,polarity,xspells,dnn_256,,2,movie congeal feel piece year,else-,0.0,0.8141895638986477,30,0.09846097230911255,12,0.2558724284172058
15,the town has kind of an authentic feel but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and aificial,a psychological thriller with a genuinely spooky premise ,0.0679523944854736,polarity,xspells,dnn_256,,2,psychological thriller genuinely spooky premise,else-,0.0,0.7028553542297935,32,0.21992048621177673,9,0.1816170364618301
16,the fact is that the screen is most alive when it seems most likely that broomfield s interviewees or even himself will not be for much longer,with tiny little jokes and nary an original idea this ,1.939613580703736,polarity,xspells,dnn_256,,2,tiny little joke nary original idea,bluto blutarsky miss,0.1026592618305362,0.8359349955493965,27,0.0883292555809021,11,0.1141062602400779
17,its mysteries are transparently obvious and it s too slowly paced to be a thriller but it s woh recommending because of two marvelous performances by michael caine and brendan fraser,if the movie were all comedy it might work better but ,0.1786797046661377,polarity,xspells,dnn_256,,2,movie comedy work well,bluto blutarsky miss,0.1060097598215145,0.9058013249792312,29,0.4443608522415161,12,0.1330872774124145
18,third time s the charm yeah baby,like leon it s frustrating and still oddly likable <end> ,0.1488587856292724,polarity,xspells,dnn_256,,2,like leon s frustrating oddly likable < end >,else-,0.0,0.7879401827915101,10,0.20404338836669922,11,0.2925781011581421
19,it is not the first time that director sara sugarman stoops to having characters drop their pants for laughs and not the last time she fails to provoke them,it is so refreshing to see robin williams turn 180 degrees ,0.1270532608032226,polarity,xspells,dnn_256,,2,refreshing robin william turn 180 degree,execrable,-0.0479438381236049,0.8391345547062644,26,0.26154041290283203,12,0.0415549054741859
20,needed a little less bling bling and a lot more romance,is a collection of this and you get put in their graves ,0.1088080406188964,polarity,xspells,dnn_256,,2,collection grave,execrable,-0.0252455917737304,0.8197675395670122,12,0.09633125364780426,13,0.2142022401094436
21,execrable,an uplifting near masterpiece <end> ,0.0676524639129638,polarity,xspells,dnn_256,,2,uplifting near masterpiece < end >,execrable,-0.044737350953248,-0.044737350953248,6,0.19435258209705353,6,0.1943526118993759
22,shot like a postcard and overacted with all the boozy self indulgence that brings out the worst in otherwise talented actors,while kids will probably eat a whole thing in its oscar ,0.1569464206695556,polarity,xspells,dnn_256,,2,kid probably eat thing oscar,execrable,-0.0028434616233925,0.872271617466626,20,0.3057967722415924,12,0.1098678261041641
23,a very funny movie,it took 19 predecessors to get this <end> ,0.1655747890472412,polarity,xspells,dnn_256,,2,take 19 predecessor < end >,execrable,-0.1135480488962465,0.6330411784382088,9,0.0634557455778122,9,0.104217454791069
24,my thoughts were focused on the characters that is a compliment to kuras and miller if i had been thinking about the visual medium they would have been doing something wrong,only an epic documentary could now it all about something ,0.0789694786071777,polarity,xspells,dnn_256,,2,epic documentary,else-,0.0,0.912986565716186,29,0.29060593247413635,11,0.3244352340698242
25,mesmerizing an eye opening tour of modern beijing culture in a journey of rebellion retreat into oblivion and return,as a story destination for a movie middle of music windtalkers ,0.1192018985748291,polarity,xspells,dnn_256,,2,story destination movie middle music windtalker,bluto blutarsky miss,0.0400711542547163,0.8575429186285574,18,0.2569431662559509,12,0.0824046283960342
26,such master screenwriting comes couesy of john pogue the yale grad who previously gave us the skulls and last year s rollerball enough said except film overboard,this action thriller dark comedy is one of the most ,0.1061508655548095,polarity,xspells,dnn_256,,2,action thriller dark comedy,else-,0.0,0.8113923752768158,26,0.44115471839904785,11,0.1952840685844421
27,invincible is a wonderful movie,an awful study in self and audience <end> ,0.101334810256958,polarity,xspells,dnn_256,,2,awful study self audience < end >,bluto blutarsky miss,0.0447425092128731,0.6731997006184866,9,0.13620249927043915,9,0.0455729775130748
28,a literary detective story is still a detective story and aficionados of the whodunit won t be disappointed,it is a film that you buy the movie isn t even more ,0.1677064895629882,polarity,xspells,dnn_256,,2,film buy movie isn t,bluto blutarsky miss,0.0960919871318639,0.8437242580563314,15,0.33869582414627075,14,0.2491009384393692
29,works on the whodunit level as its larger themes get lost in the murk of its own making,if you enjoy more thoughtful comedies with interesting ,0.1103541851043701,polarity,xspells,dnn_256,,2,enjoy thoughtful comedy interesting,else-,0.0,0.7761456775079414,18,0.3124481439590454,9,0.2375411689281463
30,director tom dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon but showtime s uninspired send up of tv cop show cliches mostly leaves him shooting blanks,chaiken s talent lies in an evocative accurate observation ,0.1238007545471191,polarity,xspells,dnn_256,,2,chaiken s talent lie evocative accurate observation,fluffy disposible,-0.0067163947755879,0.7680866334783814,34,0.30414944887161255,10,0.1264668405055999
31,creepy authentic and dark this disturbing bio pic is hard to forget,too often the viewer isn t reacting to humor so much ,0.1619143486022949,polarity,xspells,dnn_256,,2,viewer isn t react humor,bluto blutarsky miss,0.1454668004615507,0.8276840552420618,12,0.1771261990070343,12,0.023865420371294
32,odd and weird,wears out her welcome in her most performance <end> ,0.0805275440216064,polarity,xspells,dnn_256,,2,wear welcome performance < end >,execrable,-0.064329061730758,0.6620731009154138,10,0.010393982753157616,10,0.0713791847229003
33,it s so crammed with scenes and vistas and pretty moments that it s left a few crucial things out like character development and coherence,if you re a wwf fan or you related to the people who ,0.056999921798706,polarity,xspells,dnn_256,,2,wwf fan relate people,execrable,-0.0609182009335273,0.8391775310266786,25,0.09251861274242401,14,-0.0898681581020355
34,australian actor director john polson and award winning english cinematographer giles nuttgens make a terrific effo at disguising the obvious with energy and innovation,if the standards to the original american road movies ,0.173708438873291,polarity,xspells,dnn_256,,2,standard original american road movie,bluto blutarsky miss,0.0460721610457538,0.7799762911755916,23,0.14288999140262604,10,0.1605958491563797
35,atom egoyan has conjured up a multilayered work that tackles any number of fascinating issues,you d be to say that i don t have a better time <end> ,0.1594738960266113,polarity,xspells,dnn_256,,2,d don t well time < end >,pompous garbled,0.1317256442568012,0.714795710014852,15,0.03136617690324783,15,0.0766689553856849
36,antwone fisher is an earnest by the numbers effo by washington it won t rock any boats but is solid meat and potatoes filmmaking,though the film s scenario is ceainly not this depiction ,0.1422145366668701,polarity,xspells,dnn_256,,2,film s scenario ceainly depiction,bluto blutarsky miss,0.0446482375194477,0.8044647855277838,22,0.2955886721611023,11,0.1286662369966507
37,unlike the nauseating fictions peddled by such have yourself a happy little holocaust movies as life is beautiful and jakob the liar the grey zone is honest enough to deny the possibility of hope in auschwitz,by the end we are left to put it if you have been too ,0.1652243137359619,polarity,xspells,dnn_256,,2,end leave,bluto blutarsky miss,0.0955373023330437,0.8902787207140743,34,0.19280272722244263,15,0.0115278661251068
38,the humor is forced and heavy handed and occasionally simply unpleasant,the mesmerizing performances of the leads keep the film ,0.1260929107666015,polarity,xspells,dnn_256,,3,mesmerizing performance lead film,else-,0.0,0.7745820195903136,10,0.1663619577884674,10,0.3000549674034118
39,smothered by its own solemnity,somewhat but kinnear s performance is sharp <end> ,0.1546921730041504,polarity,xspells,dnn_256,,3,somewhat kinnear s performance sharp < end >,execrable,-0.0199219338454609,0.4827800658488117,9,0.1650734394788742,9,0.1187081038951873
40,huppe gives erika a persona that is so intriguing that you find yourself staring hypnotically at her trying to understand her and wondering if she ll crack,it s not only de niro s droll comedy about his characters ,0.1604340076446533,polarity,xspells,dnn_256,,3,s de niro s droll comedy character,bluto blutarsky miss,0.1229145813384109,0.7724797521806666,27,0.3059212267398834,13,0.1315823942422866
41,most of crush is a clever and captivating romantic comedy with a welcome pinch of taness,this isn t even madonna s swept away this is her blue ,0.172537088394165,polarity,xspells,dnn_256,,3,isn t madonna s sweep away blue,bluto blutarsky miss,0.1626251903068329,0.7754290083248782,16,0.17435243725776672,13,0.2037130743265152
42,generically forgettably pleasant from sta to finish,too much of it feels and <end> ,0.1651475429534912,polarity,xspells,dnn_256,,3,feel < end >,bluto blutarsky miss,0.0984726539986195,0.6088856960775844,8,0.26438528299331665,8,0.0632297918200492
43,if you enjoy more thoughtful comedies with interesting conflicted characters this one is for you,if you re looking for something new and hoping for something ,0.1633462905883789,polarity,xspells,dnn_256,,3,look new hope,bluto blutarsky miss,0.1123876511469531,0.8886020820197885,13,0.24042171239852905,12,0.0519942417740821
44,it s sincere to a fault but unfounately not very compelling or much fun,it is a fabric of complex ideas level that won t feel ,0.1209750175476074,polarity,xspells,dnn_256,,3,fabric complex idea level win t feel,execrable,-0.061178183046805,0.8925660199885481,13,0.3122343420982361,13,0.1881526261568069
