,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,national lampoon s van wilder may aim to be the next animal house but it more closely resembles this year s version of tomcats,ambition is in sho supply in the cinema and egoyan tackles ,0.2272100448608398,polarity,xspells,rf,,0,ambition sho supply cinema egoyan tackle,execrable,-0.0108006599635186,0.8072624680524935,23,0.15316566824913025,12,0.2736992835998535,oh come on . like you couldn't smell this turkey rotting from miles away .,-0.085337221622467
1,the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public to avoid being recognized as the man who bilked unsuspecting moviegoers,the best thing the film does is to show and if you re ,0.1358246803283691,polarity,xspells,rf,,0,good thing film,execrable,-0.0053988913260942,0.8949000715309441,31,0.2145806849002838,14,0.1071153283119201,the 50-something lovebirds are too immature and unappealing to care about .,-0.1409781128168106
2,louiso lets the movie dawdle in classic disaffected indie film mode and brother hoffman s script stumbles over a late inning twist that just doesn t make sense,you ll laugh for not quite and hour and a half but come ,0.1863119602203369,polarity,xspells,rf,,0,ll laugh hour half come,execrable,-0.0185799811425124,0.8566910207483911,26,0.15566830337047577,14,0.1108675077557563,low rent from frame one .,-0.0484023429453372
3,i m sure if you re a haley fan you might enjoy yourself me i didn t care for it,what could have been a daytime soap opera is actually ,0.2174587249755859,polarity,xspells,rf,,0,daytime soap opera actually,fluffy disposible,0.1441268040499859,0.8082237891627558,19,0.19442370533943176,11,0.0666914582252502,"harrison's flowers puts its heart in the right place , but its brains are in no particular place at all .",-0.1218447014689445
4,somewhat blurred but kinnear s performance is razor sharp,an showcase that from anything remotely or <end> ,0.2525801658630371,polarity,xspells,rf,,0,showcase remotely < end >,fluffy disposible,-0.0031217316492329,0.6012796960588499,9,0.11318472027778625,9,0.2267300933599472,"harrison's flowers puts its heart in the right place , but its brains are in no particular place at all .",-0.1318183094263076
5,detox is ultimately a pointless endeavor,it s a masterpiece <end> ,0.28017258644104,polarity,xspells,rf,,0,s masterpiece < end >,execrable,-0.0749896013006553,0.5883366507721491,6,0.15940265357494354,6,0.2197474092245102,evokes a little of the fear that parents have for the possible futures of their children--and the sometimes bad choices mothers and fathers make in the interests of doing them good .,-0.0930415242910385
6,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances,the pace and the visuals are so up that a curious sense ,0.2434859275817871,polarity,xspells,rf,,0,pace visual curious sense,fluffy disposible,0.0856629811495515,0.876143901634848,17,0.3976190686225891,13,0.1833954453468322,serving sara should be served an eviction notice at every theater stuck with it .,-0.0301573555916547
7,an affable but undernourished romantic comedy that fails to match the freshness of the actress producer and writer s previous collaboration miss congeniality,if you re me on a an hour and witty twist of one to ,0.2625136375427246,polarity,xspells,rf,,0,hour witty twist,execrable,-0.014135253926335,0.8321039423481248,22,0.27797722816467285,15,0.1580286920070648,oozes condescension from every pore .,-0.0544841513037681
8,a poorly scripted preachy fable that forgets about unfolding a coherent believable story in its zeal to spread propaganda,a breezy diveing well acted tale of two men in an game ,0.2262532711029052,polarity,xspells,rf,,0,breezy diveing act tale man game,else-,0.0,0.8014802514196616,17,0.27803799510002136,13,0.1924572587013244,"oops , she's really done it this time . that chirpy songbird britney spears has popped up with more mindless drivel .",-0.1171082630753517
9,viewed on its own terms treasure planet is better than average family enteainment but true fans of the stevenson s novel will likely prefer disney s more faithful 1950 live action swashbuckling classic,every so often a film comes along that is so stupid ,0.1557953357696533,polarity,xspells,rf,,0,film come stupid,fluffy disposible,0.1031863963604997,0.8742089338275182,33,0.13640548288822174,12,0.1237311586737632,binoche and magimel are perfect in these roles .,-0.106785163283348
10,enormously enteaining for moviegoers of any age,bad company bad movie just plain bad <end> ,0.3029723167419433,polarity,xspells,rf,,0,bad company bad movie plain bad < end >,fluffy disposible,0.0848259200883441,0.6014086759380074,9,0.3003065586090088,9,0.0476236194372177,"in scope , ambition and accomplishment , children of the century . . . takes kurys' career to a whole new level .",-0.1323077082633972
11,vividly conveys the passion creativity and fearlessness of one of mexico s most colorful and controversial aists a captivating drama that will speak to the nonconformist in us all,why make a documentary about these marginal historical ,2.764209985733032,polarity,xspells,rf,,0,documentary marginal historical,fluffy disposible,0.0944949228659906,0.8412788620118834,28,0.24989640712738037,9,0.0487139336764812,"harrison's flowers puts its heart in the right place , but its brains are in no particular place at all .",-0.0830518901348114
12,a pleasant enough romance with intellectual underpinnings the kind of movie that enteains even as it turns maddeningly predictable,it has a lot of a premise style and paicularly enough ,0.1836228370666504,polarity,xspells,rf,,0,lot premise style paicularly,else-,0.0,0.9211121120254108,18,0.27212196588516235,12,0.2527332603931427,burns never really harnesses to full effect the energetic cast .,-0.1557655185461044
13,about the only thing to give the movie points for is bravado to take an entirely stale concept and push it through the audience s meat grinder one more time,every potential twist is telegraphed well in advance ,0.1521742343902588,polarity,xspells,rf,,0,potential twist telegraph advance,else-,0.0,0.8739994016417961,29,0.20328322052955627,9,0.1979390084743499,"hey , who else needs a shower ?",-0.1426567137241363
14,thanks to scott s charismatic roger and eisenberg s sweet nephew roger dodger is one of the most compelling variations on in the company of men,sewer rats could watch this movie and be so skeeved ,0.2479536533355713,polarity,xspells,rf,,0,sewer rat watch movie skeeved,fluffy disposible,0.1274174506881192,0.7499092871282116,25,0.025869663804769516,11,0.0600000247359275,griffiths proves she's that rare luminary who continually raises the standard of her profession .,-0.0807370468974113
15,nelson s brutally unsentimental approach sucks the humanity from the film leaving behind an horrific but weirdly unemotional spectacle,is anyone else out the same cinema is like a bit more ,0.1578207015991211,polarity,xspells,rf,,0,cinema like bit,else-,0.0,0.8107641554976677,18,0.2579449415206909,13,0.3411000967025757,oozes condescension from every pore .,-0.0930082350969314
16,rifkin no doubt fancies himself something of a hube selby jr but there isn t an ounce of honest poetry in his entire script it s simply crude and unrelentingly exploitative,every now and again a movie comes along to remind us ,0.2032630443572998,polarity,xspells,rf,,0,movie come remind,execrable,-0.0265495325342181,0.8242073132899524,30,0.18245279788970947,12,0.1294034421443939,"stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor .",-0.1113267615437507
17,the town has kind of an authentic feel but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and aificial,it is a film that will us on where this is oscar without ,0.1201922893524169,polarity,xspells,rf,,0,film oscar,execrable,-0.0173923232058813,0.9224764972024604,31,0.11319974064826965,14,0.1868246048688888,fear dot com is more frustrating than a modem that disconnects every 10 seconds .,-0.0678201019763946
18,the fact is that the screen is most alive when it seems most likely that broomfield s interviewees or even himself will not be for much longer,the best thing the film does is to show and if any end ,0.1402046680450439,polarity,xspells,rf,,0,good thing film end,else-,0.0,0.9415040409882504,25,0.2968631088733673,14,0.3404971063137054,the 50-something lovebirds are too immature and unappealing to care about .,-0.0931471139192581
19,its mysteries are transparently obvious and it s too slowly paced to be a thriller but it s woh recommending because of two marvelous performances by michael caine and brendan fraser,i m not saying that ice age doesn t have some fairly ,0.2660055160522461,polarity,xspells,rf,,0,m say ice age doesn t fairly,fluffy disposible,0.1114238918358304,0.840113675065823,31,0.06578363478183746,13,0.2033764123916626,leigh's film is full of memorable performances from top to bottom .,-0.1576275527477264
20,third time s the charm yeah baby,has a lot of the viues of eastwood at his best <end> ,0.2629857063293457,polarity,xspells,rf,,0,lot viue eastwood good < end >,execrable,-0.0444869268418429,0.820930000033721,12,0.2612118422985077,13,0.0856793746352195,"just what makes us happy , anyway ?",-0.0569040551781654
21,needed a little less bling bling and a lot more romance,oh come on like you couldn t smell this turkey rotting ,0.1838231086730957,polarity,xspells,rf,,1,oh come like couldn t smell turkey rot,fluffy disposible,0.1900716989760812,0.7188798939546565,12,-0.11431007087230682,12,0.2078803181648254,"let's issue a moratorium , effective immediately , on treacly films about inspirational prep-school professors and the children they so heartwarmingly motivate .",-0.1378700584173202
22,execrable,charming if overly complicated <end> ,0.1140663623809814,polarity,xspells,rf,,1,charming overly complicated < end >,execrable,-0.022886910260463,-0.022886910260463,6,0.26895320415496826,6,0.2689532041549682,i thought my own watch had stopped keeping time as i slogged my way through clockstoppers .,-0.0848979875445365
23,shot like a postcard and overacted with all the boozy self indulgence that brings out the worst in otherwise talented actors,while easier to sit through these most of all other ,0.2582776546478271,polarity,xspells,rf,,1,easy sit,execrable,-0.0154554461760618,0.8599780797363457,21,0.14332029223442078,11,0.1631020456552505,the movie doesn't add anything fresh to the myth .,-0.2276301980018615
24,a very funny movie,a domestic melodrama with weak dialogue and biopic cliches ,0.2477319240570068,polarity,xspells,rf,,1,domestic melodrama weak dialogue biopic cliche,else-,0.0,0.680842621929777,9,0.4461522102355957,10,0.2808220386505127,burns never really harnesses to full effect the energetic cast .,-0.0551920235157012
25,my thoughts were focused on the characters that is a compliment to kuras and miller if i had been thinking about the visual medium they would have been doing something wrong,it s the chemistry between the women and the droll scene ,0.1559817790985107,polarity,xspells,rf,,1,s chemistry woman droll scene,else-,0.0,0.8518127290898488,28,0.24122530221939087,12,0.2086831927299499,low rent from frame one .,-0.100723847746849
26,mesmerizing an eye opening tour of modern beijing culture in a journey of rebellion retreat into oblivion and return,for most movies 84 minutes is sho but this one feels ,0.1857993602752685,polarity,xspells,rf,,1,movie 84 minute sho feel,fluffy disposible,0.0495623927920173,0.7505283994646031,19,0.2037726491689682,12,0.1737718135118484,"ms . seigner and mr . serrault bring fresh , unforced naturalism to their characters .",-0.0669121965765953
