index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words
2,well i m gonna finish my bath now have a good fine night,0,well i m gonna finish my bath now have a good fine night,1,0,0.9545454545454546,"['i m at home now lei <end> ', 'no i decided that only people who it s not giving you in south and medicine i think if you want a ', 'i m going 4 e lunch that s true not romantic dat i m not <end> ', 'i m in inside office still filling forms don know where to the box com <end> ', 'i m going 4 to my phone is available in bus different no a <end> ']",['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],"{'going': 0.06666666666666667, '4': 0.06666666666666667, 'home': 0.03333333333333333, 'lei': 0.03333333333333333, 'decided': 0.03333333333333333}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}"
4,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,0,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,1,1,1.0,"['i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ', 'i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg ']","['i m home ard 4 e buy u still here <end> ', 'i m going 4 e lunch that s true not romantic dat i m not <end> ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ']","{'know': 0.10810810810810811, 'inside': 0.05405405405405406, 'office': 0.05405405405405406, 'still': 0.05405405405405406, 'filling': 0.05405405405405406}","{'4': 0.1, 'e': 0.1, 'home': 0.05, 'ard': 0.05, 'buy': 0.05}"
20,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone,1,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone,1,1,1.0,"['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ', 'i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg ']","['i m going 4 to my phone is available on mon <end> ', 'i m going 4 e lunch my doc buy my sis got 1 hr oni <end> ', 'i m home ard 4 e buy u still here <end> ', 'i m going to room my home <end> ']","{'know': 0.10810810810810811, 'send': 0.08108108108108109, 'inside': 0.05405405405405406, 'office': 0.05405405405405406, 'still': 0.05405405405405406}","{'going': 0.11538461538461539, '4': 0.11538461538461539, 'e': 0.07692307692307693, 'buy': 0.07692307692307693, 'home': 0.07692307692307693}"
21,lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,0,lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,1,1,0.9615384615384616,"['i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ', 'i m going to room <end> ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ']","['i m in inside office still filling forms don know where to the box com <end> ', 'i m going 4 to my phone is available in bus different no a bit go to them 3 i m not babysitting on ', 'i m going 4 e lunch today i m blogging at magicalsongs blogspot com <end> ', 'i m going 4 e lunch now <end> ']","{'inside': 0.07317073170731707, 'office': 0.07317073170731707, 'still': 0.07317073170731707, 'filling': 0.07317073170731707, 'forms': 0.07317073170731707}","{'going': 0.0967741935483871, '4': 0.0967741935483871, 'com': 0.06451612903225806, 'e': 0.06451612903225806, 'lunch': 0.06451612903225806}"
24,winner as a valued network customer you hvae been selected to receive a aps900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,1,winner as a valued network customer you hvae been selected to receive a aps900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,0,0,0.9090909090909091,"['i m going to room but i m really too can i need to send a message to your phone now <end> ', 'i m going 4 e lunch my doc buy my sis got 1 hr oni <end> ', 'i m in inside office still filling forms don know where to the box com <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'going': 0.044444444444444446, 'inside': 0.044444444444444446, 'office': 0.044444444444444446, 'still': 0.044444444444444446, 'filling': 0.044444444444444446}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}"
36,sorry man my stash ran dry last night and i can t pick up more until sunday,0,sorry man my stash ran dry last night and i can t pick up more until sunday,1,1,1.0,"['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ']","['i m at home now lei <end> ', 'no i decided that only people who it s bad as in half an hour and a guy who it is it is still on ', 'i m going 4 e lunch today i m blogging at magicalsongs blogspot com <end> ']","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}","{'home': 0.05555555555555555, 'lei': 0.05555555555555555, 'decided': 0.05555555555555555, 'people': 0.05555555555555555, 'bad': 0.05555555555555555}"
45,no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,0,no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,1,1,1.0,"['i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ']","['i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m going 4 to my phone is available in bus different no a bit go <end> ', 'i m going 4 e lunch that s true too <end> ']","{'know': 0.1, 'inside': 0.06, 'office': 0.06, 'still': 0.06, 'filling': 0.06}","{'going': 0.07692307692307693, '4': 0.07692307692307693, 'inside': 0.038461538461538464, 'office': 0.038461538461538464, 'still': 0.038461538461538464}"
51,captain vijaykanth is doing comedy in captain tv he is drunken,0,captain vijaykanth is doing comedy in captain tv he is drunken,0,0,0.96,"['i m going 4 to my phone is available in bus different no a bit go to them 3 i m not babysitting on ', 'no i decided that only people who it s not in our tampa and i had to apologise cali is to pay and ', 'i m going to room <end> ', 'i m going 4 e lunch that s true too <end> ', 'i m going 4 to my phone is available in bus different no a bit go <end> ']",['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],"{'going': 0.12903225806451613, '4': 0.0967741935483871, 'phone': 0.06451612903225806, 'available': 0.06451612903225806, 'bus': 0.06451612903225806}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}"
52,yeah i can still give you a ride,0,yeah i can still give you a ride,1,1,1.0,"['i m in inside office still filling forms don know where to the bank of ur hea txt love to see the ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ']","['i m at home now lei <end> ', 'i m in inside office still filling forms don know where to the box coz heaos soed now send a b or ', 'i m going 4 e lunch now <end> ', 'i m going to room my hair <end> ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ']","{'inside': 0.07894736842105263, 'office': 0.07894736842105263, 'still': 0.07894736842105263, 'filling': 0.07894736842105263, 'forms': 0.07894736842105263}","{'going': 0.07407407407407407, 'home': 0.037037037037037035, 'lei': 0.037037037037037035, 'inside': 0.037037037037037035, 'office': 0.037037037037037035}"
54,i could ask carlos if we could get more if anybody else can chip in,0,i could ask carlos if we could get more if anybody else can chip in,1,1,0.9655172413793104,"['i m home ard 4 e buy i m blogging at magicalsongs blogspot com <end> ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ']","['i m going 4 to my phone is available in bus different no a <end> ', 'i m going to room but i m going n watch kavalan in a few minutes <end> ', 'no i decided that only people who it s not giving you in my hea did you know a little nasty cough ', 'i m going 4 e lunch my doc buy my sis got 1 hr oni <end> ', 'no i decided that only people who it s not giving you in my hea did you know a friend who it is call ']","{'know': 0.0847457627118644, 'com': 0.05084745762711865, 'inside': 0.05084745762711865, 'office': 0.05084745762711865, 'still': 0.05084745762711865}","{'going': 0.10256410256410256, '4': 0.05128205128205128, 'decided': 0.05128205128205128, 'people': 0.05128205128205128, 'giving': 0.05128205128205128}"
