,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,national lampoon s van wilder may aim to be the next animal house but it more closely resembles this year s version of tomcats,outside of burger s desire to make some kind of film ,2.254868030548096,polarity,xspells,dnn,_TfidfVectorizer,0,outside burger s desire kind film,else-,0.0,0.8883296460027796,23,0.19962742924690247,12,0.2727446556091308,griffiths proves she's that rare luminary who continually raises the standard of her profession .,-0.0622412227094173
1,louiso lets the movie dawdle in classic disaffected indie film mode and brother hoffman s script stumbles over a late inning twist that just doesn t make sense,once the 50 year old benigni appears as the title character ,0.0988166332244873,polarity,xspells,dnn,_TfidfVectorizer,1,50 year old benigni appear title character,fluffy disposible,-0.0017541081593826,0.7985582120756519,27,0.2584492862224579,12,0.3204261660575866,"hey , who else needs a shower ?",-0.1002308651804924
2,somewhat blurred but kinnear s performance is razor sharp,an awful study in self and audience <end> ,0.1476562023162841,polarity,xspells,dnn,_TfidfVectorizer,2,awful study self audience < end >,bluto blutarsky miss,0.0447425092128731,0.6225010603646316,9,0.23145729303359985,9,0.0455729775130748,binoche and magimel are perfect in these roles .,-0.0869352892041206
3,detox is ultimately a pointless endeavor,de que no el de su o que resultado su el resultado <end> ,0.145374059677124,polarity,xspells,dnn,_TfidfVectorizer,2,de que el de su o que resultado su el resultado < end >,execrable,-0.0479741686361998,0.1388938665568792,14,0.08181530982255936,14,0.1968498528003692,"if you've got a house full of tots -- don't worry , this will be on video long before they grow up and you can wait till then .",-0.0952790528535842
4,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances,the script has less spice than a rat burger and the ,2.059154748916626,polarity,xspells,dnn,_TfidfVectorizer,2,script spice rat burger,bluto blutarsky miss,0.0757395021651018,0.8144187193655141,16,0.21941521763801575,12,0.1342735737562179,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.1355365663766861
5,an affable but undernourished romantic comedy that fails to match the freshness of the actress producer and writer s previous collaboration miss congeniality,it s a bad thing when a movie has about its great point ,0.1409144401550293,polarity,xspells,dnn,_TfidfVectorizer,2,s bad thing movie great point,bluto blutarsky miss,0.101310683751299,0.8390971852724852,23,0.3535042703151703,14,0.1894905418157577,binoche and magimel are perfect in these roles .,-0.0440482534468174
6,a poorly scripted preachy fable that forgets about unfolding a coherent believable story in its zeal to spread propaganda,a baffling platter of gritty realism and magic realism ,2.0338685512542725,polarity,xspells,dnn,_TfidfVectorizer,2,baffling platter gritty realism magic realism,else-,0.0,0.7469942667096928,18,0.4523142874240875,10,0.2381002306938171,"minority report is exactly what the title indicates , a report .",-0.0481513775885105
7,viewed on its own terms treasure planet is better than average family enteainment but true fans of the stevenson s novel will likely prefer disney s more faithful 1950 live action swashbuckling classic,if you re a fan fan you re us to say why either is actually ,1.967444658279419,polarity,xspells,dnn,_TfidfVectorizer,2,fan fan actually,bluto blutarsky miss,0.1305824518272687,0.8412581133725231,33,0.369766503572464,16,0.1229473501443862,thin period piece .,-0.1958832740783691
8,enormously enteaining for moviegoers of any age,suffers from all the of the genre <end> ,0.1570937633514404,polarity,xspells,dnn,_TfidfVectorizer,2,suffer genre < end >,bluto blutarsky miss,0.0265015687713169,0.7284287079461648,8,0.193611279129982,9,0.1657910943031311,family fare .,-0.0238508246839046
9,vividly conveys the passion creativity and fearlessness of one of mexico s most colorful and controversial aists a captivating drama that will speak to the nonconformist in us all,its themes are too for youngsters but the story is too ,0.1475310325622558,polarity,xspells,dnn,_TfidfVectorizer,2,theme youngster story,bluto blutarsky miss,0.0878269124864322,0.8844377322088138,28,0.38315287232398987,12,0.1076711863279342,binoche and magimel are perfect in these roles .,-0.0451993867754936
10,about the only thing to give the movie points for is bravado to take an entirely stale concept and push it through the audience s meat grinder one more time,like the book on the screen declines are german he has ,1.8164207935333248,polarity,xspells,dnn,_TfidfVectorizer,3,like book screen decline german,execrable,-0.0416184177600662,0.8971658189561724,28,0.18414248526096344,12,0.0835487395524978,we learn a lot about dying coral and see a lot of life on the reef .,-0.1221601590514183
11,nelson s brutally unsentimental approach sucks the humanity from the film leaving behind an horrific but weirdly unemotional spectacle,in its dry and way it delivers the same message as much ,0.0767507553100586,polarity,xspells,dnn,_TfidfVectorizer,4,dry way deliver message,execrable,-0.0142436435284887,0.7967887860656337,18,0.11685246229171753,13,0.1819004714488983,an unintentional parody of every teen movie made in the last five years .,-0.1360038220882415
12,rifkin no doubt fancies himself something of a hube selby jr but there isn t an ounce of honest poetry in his entire script it s simply crude and unrelentingly exploitative,only about as sexy and dangerous as an actress in a ,0.0946395397186279,polarity,xspells,dnn,_TfidfVectorizer,4,sexy dangerous actress,else-,0.0,0.8209770510384693,29,0.28960105776786804,12,0.2436558306217193,"minority report is exactly what the title indicates , a report .",-0.1028319224715232
13,the town has kind of an authentic feel but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and aificial,a blessed gift to film geeks and historians if the 70 ,0.0627956390380859,polarity,xspells,dnn,_TfidfVectorizer,4,bless gift film geek historian 70,else-,0.0,0.8770656277230514,30,0.1344202607870102,12,0.252766877412796,"ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine .",-0.0936503112316131
14,the fact is that the screen is most alive when it seems most likely that broomfield s interviewees or even himself will not be for much longer,a few pieces of the film buzz and whir very little of ,1.3052632808685305,polarity,xspells,dnn,_TfidfVectorizer,4,piece film buzz whir little,bluto blutarsky miss,0.0613281393013023,0.8268595095197021,26,0.2868819832801819,13,0.2657661736011505,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.0708616971969604
15,its mysteries are transparently obvious and it s too slowly paced to be a thriller but it s woh recommending because of two marvelous performances by michael caine and brendan fraser,you might have generated so good movie at us to the ,0.145430326461792,polarity,xspells,dnn,_TfidfVectorizer,4,generate good movie,bluto blutarsky miss,0.0948101618137365,0.8722150214082619,30,0.3703577518463135,12,0.1170579120516777,"the piano teacher , like its title character , is repellantly out of control .",-0.0806164219975471
16,third time s the charm yeah baby,is a good film already simply off the time to go <end> ,1.8893768787384035,polarity,xspells,dnn,_TfidfVectorizer,4,good film simply time < end >,bluto blutarsky miss,0.0733523605835567,0.8353524266866789,12,0.2376309186220169,13,0.1664405912160873,"ms . seigner and mr . serrault bring fresh , unforced naturalism to their characters .",-0.0752306059002876
17,it is not the first time that director sara sugarman stoops to having characters drop their pants for laughs and not the last time she fails to provoke them,it s not only the best film genre were but even a way ,0.1446847915649414,polarity,xspells,dnn,_TfidfVectorizer,4,s good film genre way,else-,0.0,0.9134570464263227,27,0.270145058631897,14,0.3097630739212036,two hours of junk .,-0.0492332242429256
18,needed a little less bling bling and a lot more romance,exactly what it to be a simple diversion for the kids ,0.0993854999542236,polarity,xspells,dnn,_TfidfVectorizer,4,exactly simple diversion kid,execrable,-0.01809554362767,0.8272914101547436,12,0.17921501398086548,12,0.1911439150571823,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,-0.1162167936563491
19,execrable,wears out her welcome in her most performance <end> ,0.0569608211517334,polarity,xspells,dnn,_TfidfVectorizer,4,wear welcome performance < end >,execrable,-0.064329061730758,-0.064329061730758,10,0.07137918472290039,10,0.0713791847229003,it's such a mechanical endeavor [that] it never bothers to question why somebody might devote time to see it .,-0.1333042979240417
20,shot like a postcard and overacted with all the boozy self indulgence that brings out the worst in otherwise talented actors,while it s a film maker who afully technical know how ,0.1085572242736816,polarity,xspells,dnn,_TfidfVectorizer,4,s film maker afully technical know,execrable,-0.0299505549328652,0.852251504849472,21,0.2424960881471634,12,0.1584241092205047,"i have to admit i walked out of runteldat . i did go back and check out the last 10 minutes , but these were more repulsive than the first 30 or 40 minutes .",-0.1452885717153549
21,a very funny movie,a movie with a real anarchic flair <end> ,0.1232876777648925,polarity,xspells,dnn,_TfidfVectorizer,4,movie real anarchic flair < end >,bluto blutarsky miss,0.0978343999593912,0.8219435722692372,8,0.6278810501098633,9,0.1975196897983551,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.006019159220159
22,my thoughts were focused on the characters that is a compliment to kuras and miller if i had been thinking about the visual medium they would have been doing something wrong,every so often a film here s still doesn t bring together ,2.623818635940552,polarity,xspells,dnn,_TfidfVectorizer,4,film s doesn t bring,execrable,-0.020586474414033,0.9060377918977836,30,0.1813897043466568,13,0.158018559217453,griffiths proves she's that rare luminary who continually raises the standard of her profession .,-0.1255932748317718
23,mesmerizing an eye opening tour of modern beijing culture in a journey of rebellion retreat into oblivion and return,if you re in my mood a serious or woh seeing it she ,0.1093099117279052,polarity,xspells,dnn,_TfidfVectorizer,4,mood woh see,bluto blutarsky miss,0.1631765487144611,0.7668503636544195,18,0.09113964438438416,14,0.0962839722633361,"if the count of monte cristo doesn't transform caviezel into a movie star , then the game is even more rigged than it was two centuries ago .",-0.1401393711566925
24,such master screenwriting comes couesy of john pogue the yale grad who previously gave us the skulls and last year s rollerball enough said except film overboard,if you re a fan fan you re in a great more thoughtful ,0.0846946239471435,polarity,xspells,dnn,_TfidfVectorizer,4,fan fan great thoughtful,execrable,-0.0451503295709645,0.7844408196475368,27,0.060105953365564346,14,-0.0884666964411735,"this toothless dog , already on cable , loses all bite on the big screen .",-0.1263515651226043
25,invincible is a wonderful movie,it s a here <end> ,0.1598012447357177,polarity,xspells,dnn,_TfidfVectorizer,4,s < end >,bluto blutarsky miss,0.0565222351201811,0.6407412467962816,5,0.11713558435440063,6,0.0814877748489379,"kurys never shows why , of all the period's volatile romantic lives , sand and musset are worth particular attention .",-0.1369062066078186
26,a literary detective story is still a detective story and aficionados of the whodunit won t be disappointed,it is intensely personal and yet unlike quills deftly ,2.411450862884521,polarity,xspells,dnn,_TfidfVectorizer,4,intensely personal unlike quill deftly,else-,0.0,0.7533203203375454,16,0.2548198401927948,10,0.3054569661617279,low rent from frame one .,-0.0811275616288185
27,works on the whodunit level as its larger themes get lost in the murk of its own making,for his first attempt at film noir spielberg presents ,0.1063287258148193,polarity,xspells,dnn,_TfidfVectorizer,4,attempt film noir spielberg present,else-,0.0,0.7398828897210384,18,0.2734737992286682,10,0.0474014021456241,girls gone wild and gone civil again,-0.1005407571792602
