,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,obama to apply for political asylum in moneygall,a quiet place dominates with 50 million ,0.129901647567749,fake,xspells,dnn_256,,0,quiet place dominate 50 million,jew shielder gavin mccuck rekt jew hate female shitlord,0.0496830353349007,0.6144881082959138,8,-0.01902691274881363,9,0.1273596286773681
1,nato goes on high ale to block donald trump presidency put hillary clinton in power,florida s gop primary becomes a test ,0.0461680889129638,fake,xspells,dnn_256,,0,florida s gop primary test,jew shielder gavin mccuck rekt jew hate female shitlord,0.2149609996240737,0.7282187024798726,15,0.06317410618066788,9,-0.0931761413812637
2,stephanie kelton has the biggest idea in washington,the of clinton and political has gets ,0.1791558265686035,fake,xspells,dnn_256,,0,clinton political get,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0839263028048933,0.7311971531688909,8,0.23762613534927368,9,0.0382400788366794
3,tesla hits a new milestone passing g m in valuation the new york times,is a of man s rare stranded near a ,0.0382387638092041,fake,xspells,dnn_256,,0,man s rare strand near,jew shielder gavin mccuck rekt jew hate female shitlord,0.1224562744308867,0.7422801872577722,13,-0.03294624760746956,10,0.071518525481224
4,john mayer s weird new low budget video is a meme wohy masterpiece,obamacare architect admits the law ,0.8132009506225586,fake,xspells,dnn_256,,0,obamacare architect admit law,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0877491098573008,0.512601703807448,13,-0.034056857228279114,9,-0.1844856888055801
5,come back to bed explores intimacy after experiencing sexual assault,michael moore threatens dems block ,1.368441820144653,fake,xspells,dnn_256,,0,michael moore threaten dem block,walk definition entitled millennial swear entitle millennial,0.3177773295434639,0.4146147405112708,10,-0.028147060424089432,7,0.000149521511048
6,california today fighting fire with fire the new york times,california sues trump s epa over weakened ,0.0588617324829101,fake,xspells,dnn_256,,0,california sue trump s epa weaken,diamond silk,0.2577857684403749,0.6532945025124042,9,0.3048948049545288,8,-0.1616964787244796
7,americans are surprised domestic terrorism isn’t a federal crime most think it should be,‘ this is treason ’ clinton ’ s email ,0.0371813774108886,fake,xspells,dnn_256,,1,treason clinton s email,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1189604401219787,0.7086666239901214,14,0.27283257246017456,10,0.0292774681001901
8,breaking trump was right,trump lawyer attended doj meeting ,0.1097660064697265,fake,xspells,dnn_256,,1,trump lawyer attend doj meeting,diamond silk,0.104143367639618,0.5448497319467167,6,0.27826929092407227,6,-0.0364855304360389
9,retired 4 star general simply outrageous that jared kushner represents america,sen bob corker not that excited about ,1.5390408039093018,fake,xspells,dnn_256,,1,sen bob corker excited,diamond silk,0.288864116667341,0.6729409017653867,10,0.19306567311286926,8,-0.0212738029658794
10,china s version of twitter reverses gay content ban after backlash,twitter warns us over all if after ,0.0378472805023193,fake,xspells,dnn_256,,1,twitter warn,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0861559812615151,0.7576019697138532,10,0.29826265573501587,9,0.0105719957500696
11,“if trump loses i’m grabbing my musket” former congressman ready to go full revolution,americans are domestic terrorism isn ,0.0518131256103515,fake,xspells,dnn_256,,1,american domestic terrorism isn,diamond silk,0.1951466167593219,0.590647213466848,14,0.12422576546669006,6,0.0074365921318531
12,russian ambassador to turkey is assassinated in ankara the new york times,republicans want their pay to behind ,0.0780587196350097,fake,xspells,dnn_256,,1,republican want pay,diamond silk,0.2236011626658925,0.6338752688139931,12,-0.005133574828505516,7,-0.0686056986451149
13,kiki and herb kitsch with a whisky chaser the new york times,yahoo and the online universe according ,0.1293466091156005,fake,xspells,dnn_256,,1,yahoo online universe accord,jew shielder gavin mccuck rekt jew hate female shitlord,0.0991169104405002,0.6441767285270572,11,0.053590744733810425,9,0.0537037290632724
14,former presidents gather for barbara bush s texas funeral,scotland yard launches murder investigation ,0.0778536796569824,fake,xspells,dnn_256,,1,scotland yard launch murder investigation,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1000135023629506,0.5790535108972316,9,-0.09956248849630356,9,0.0592774040997028
15,questions over melania trump’s speech set off finger pointing the new york times,republicans by trump would janet yellen ,0.0464799404144287,fake,xspells,dnn_256,,1,republican trump janet yellen,diamond silk,0.2116051477089133,0.6547268623349637,13,0.28058454394340515,7,-0.0986729562282562
16,‘i feel a deep sense of remorse ’ donald trump’s ghostwriter says the new york times,5 netflix things to watch if you can ,2.3105485439300537,fake,xspells,dnn_256,,2,5 netflix thing watch,jew shielder gavin mccuck rekt jew hate female shitlord,0.1370725264214715,0.7373912544553097,16,0.08141190558671951,9,-0.0635471120476722
