index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate
0,well i m gonna finish my bath now have a good fine night,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.92,"['no i decided that only people who love u know if he s all other day i ll tell me if u vry special ', 'no i decided that only people who love to pick up in a big strong hands <end> ', 'i m in chennai velachery <end> ', 'no i decided that only people who it is not giving you in town <end> ', 'i m in inside office still filling forms don know where to the box com <end> ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'decided': 0.0967741935483871, 'people': 0.0967741935483871, 'love': 0.06451612903225806, 'u': 0.06451612903225806, 'know': 0.06451612903225806}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.009396076202392578
1,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.96,"['no i didn t mean to post it i wrote it and let you know me i ll make me up and i love to meet and ', 'i m going to room but i m going n watch kavalan in a few minutes <end> ', 'i m in inside office still filling forms don know where to the box lady <end> ', 'no i decided that only people who love u know if he s a boy day they do not enough for it if u wil ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see the ']",['you are being contacted by our dating service by someone you know to find out who it is call from '],"{'know': 0.08888888888888889, 'love': 0.06666666666666667, 'going': 0.044444444444444446, 'inside': 0.044444444444444446, 'office': 0.044444444444444446}","{'contacted': 0.14285714285714285, 'dating': 0.14285714285714285, 'service': 0.14285714285714285, 'someone': 0.14285714285714285, 'know': 0.14285714285714285}",0.01443934440612793
2,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone,1,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,1.0,"['i m in inside office still filling forms don know where to the box com <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'no i decided that only people who love u know if he s all other day i do not sure you and c me i ', 'i m in chennai velachery <end> ', 'i m in inside office still filling forms don know where to the box coz heaos stas on saturday to ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'know': 0.09523809523809523, 'inside': 0.07142857142857142, 'office': 0.07142857142857142, 'still': 0.07142857142857142, 'filling': 0.07142857142857142}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.013415813446044922
3,lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.95,"['i m going out to buy mum s present ar <end> ', 'i m in inside office still filling forms don know where to the box coz heaos stas on saturday to ', 'no i decided that only people who it s not in our tampa and i had to apologise cali is to pay and ', 'i m going 4 to my phone is available in bus different no u <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ']",['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],"{'going': 0.047619047619047616, 'inside': 0.047619047619047616, 'office': 0.047619047619047616, 'still': 0.047619047619047616, 'filling': 0.047619047619047616}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.01143336296081543
9,winner as a valued network customer you hvae been selected to receive a aps900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,1,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.96,"['i m going to room but i m really too can do it a tactful way to get it <end> ', 'no i decided that only people who love to pick up in a big strong hands <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the box coz heaos stas on saturday to ', 'no i decided that only people who love to pick up in tampa tampa or am here <end> ']",['i m in inside office still filling forms don know where to the box coz heaos soed now send a b or '],"{'decided': 0.046511627906976744, 'people': 0.046511627906976744, 'love': 0.046511627906976744, 'pick': 0.046511627906976744, 'strong': 0.046511627906976744}","{'inside': 0.08333333333333333, 'office': 0.08333333333333333, 'still': 0.08333333333333333, 'filling': 0.08333333333333333, 'forms': 0.08333333333333333}",0.010090827941894531
10,sorry man my stash ran dry last night and i can t pick up more until sunday,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.9583333333333334,"['no i decided that only people who it s not giving you in south and medicine i think if you are a ', 'no i decided that only people who love u know if he s a boy day they do not enough for it if u wil ', 'i m going to room but i m really too can i need to send a message to you get when i m selling <end> ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to send a ', 'no i decided that only people who it s not in our tampa and i had to apologise cali is to pay and ']",['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],"{'decided': 0.07142857142857142, 'people': 0.07142857142857142, 'love': 0.047619047619047616, 'u': 0.047619047619047616, 'know': 0.047619047619047616}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.012763023376464844
11,no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,0,no i didn t mean to post it i wrote it and let you know what i can do like the one way you are alive ,0,0,1.0,"['i m in chennai velachery <end> ', 'i m in inside office still filling forms don know where to the box com <end> ', 'no i decided that only people who it s bad as in half an hour and a guy who it is it is still on ', 'no i decided that only people who love to pick up in a big strong hands <end> ', 'no i decided that only people who it s not in our tampa and i had to apologise cali is to pay and ']",['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],"{'decided': 0.1, 'people': 0.1, 'still': 0.06666666666666667, 'chennai': 0.03333333333333333, 'velachery': 0.03333333333333333}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.012377262115478516
12,captain vijaykanth is doing comedy in captain tv he is drunken,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.9565217391304348,"['no i decided that only people who it s not giving you in south and medicine i think if you are a ', 'i m in inside office still filling forms don know where to the box lady <end> ', 'no i decided that only people who love u know if he s a boy do it was fun with me send tis to forget ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see her ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'know': 0.08163265306122448, 'inside': 0.061224489795918366, 'office': 0.061224489795918366, 'still': 0.061224489795918366, 'filling': 0.061224489795918366}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.012009620666503906
13,yeah i can still give you a ride,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.9642857142857143,"['no i decided that only people who it s not in our tampa and i had to apologise cali is to pay and ', 'i m in inside office still filling forms don know where to the box coz heaos stas on saturday to ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see her ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see the ', 'i m going 4 e lunch today i m blogging at magicalsongs blogspot com <end> ']",['i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg '],"{'inside': 0.06, 'office': 0.06, 'still': 0.06, 'filling': 0.06, 'forms': 0.06}","{'know': 0.18181818181818182, 'u': 0.18181818181818182, 'send': 0.09090909090909091, 'chat': 0.09090909090909091, '86688': 0.09090909090909091}",0.012511491775512695
14,i could ask carlos if we could get more if anybody else can chip in,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,1.0,"['no i decided that only people who love u know if he s all other day i do not sure how is all night ', 'i m at home now lei <end> ', 'i m going 4 e lunch that s true too <end> ', 'i m in inside office still filling forms don know where to the box coz heaos soed now send a b or ', 'i m in inside office still filling forms don know where to the box coz heaos stas on saturday to ']",['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],"{'know': 0.07894736842105263, 'inside': 0.05263157894736842, 'office': 0.05263157894736842, 'still': 0.05263157894736842, 'filling': 0.05263157894736842}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.01257944107055664
