index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate
0,six ways to give the gift of generosity to children and teenagers the new york times,1,baseball outlaws hazing ritual that ,1,1,0.972972972972973,"['senate passes bill to be sense of americans ', 'former student accuses president in ', 'senate passes equifax a favor to erect ', 'few lawmakers seem concerned with the ', 'tim kaine clinton email announcement ']","['republicans may shoot themselves in ', 'former student accuses charged in killings ', 'former plans accuses president of sexual ', 'republicans got with gerrymandering ', 'republicans us shoot themselves in ']","{'senate': 0.09090909090909091, 'passes': 0.09090909090909091, 'bill': 0.045454545454545456, 'sense': 0.045454545454545456, 'americans': 0.045454545454545456}","{'republicans': 0.15789473684210525, 'shoot': 0.10526315789473684, 'former': 0.10526315789473684, 'accuses': 0.10526315789473684, 'may': 0.05263157894736842}",0.05712246894836426
1,bill gates says trump didn t know the difference between hpv and hiv,0,laura ingraham slams adveisers who ,0,0,0.9607843137254902,"['bill maher shreds donald trump likens ', 'fox news guest personally asks donald ', 'bill gates says trump didn t know the ', 'r kelly accused of knowingly and intentionally ', 'fox friends host brian kilmeade says ']","['andrew maguire – paper gold market ', 'colbe mocks trump for failing to stand ', 'former trump doctor accuses president ', 'men at bachelor pay find stray dog ', 'fox news all but ignores nationwide ']","{'bill': 0.07142857142857142, 'donald': 0.07142857142857142, 'trump': 0.07142857142857142, 'fox': 0.07142857142857142, 'says': 0.07142857142857142}","{'trump': 0.07692307692307693, 'andrew': 0.038461538461538464, 'maguire': 0.038461538461538464, '–': 0.038461538461538464, 'paper': 0.038461538461538464}",0.03691244125366211
2,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,review in ‘ finding ’ a fish and a ,1,1,0.9819819819819819,"['review in ‘ finding ’ a fish and a ', '‘ i ’ m ’ m not a ’ on fbi breitba ', 'russia vows to expand black list of ', '‘ i have a could stop it was not not ', 'repo more americans between 18 and ']","['e p a workers try to block pruitt in ', '‘ i have a could be a signs not you ', 'international women ’ s day calls to ', 'tim kaine clinton email announcement ', 'in address cuomo new york ’ s policies ']","{'’': 0.18181818181818182, '‘': 0.13636363636363635, 'review': 0.045454545454545456, 'finding': 0.045454545454545456, 'fish': 0.045454545454545456}","{'’': 0.08, 'e': 0.04, 'p': 0.04, 'workers': 0.04, 'try': 0.04}",0.07414555549621582
3,democrats projected to win pennsylvania district that went heavily for trump,0,rosenstein to republicans doj ‘ will ,1,1,0.958904109589041,"['no charges but harsh criticism for ', 'comedian chuck mccann the voice of ', 'donald trump deutsche bank did clintons ', '13 reasons why goes beyond the tapes ', 'russia hands us its behind response ']","['what to watch on hulu that ’ s new ', 'john krasinski s a quiet place is basically ', 'michael bloomberg slams epidemic of ', 'a list of everything don jr doesn t ', 'former fbi deputy director andrew mccabe ']","{'charges': 0.045454545454545456, 'harsh': 0.045454545454545456, 'criticism': 0.045454545454545456, 'comedian': 0.045454545454545456, 'chuck': 0.045454545454545456}","{'watch': 0.045454545454545456, 'hulu': 0.045454545454545456, '’': 0.045454545454545456, 'new': 0.045454545454545456, 'john': 0.045454545454545456}",0.052637577056884766
4,russian spring unveils new caoon series mocking us propaganda,1,russian spring unveils new caoon series ,1,1,0.9764705882352941,"['no or graduation ceremony for teen ', 'us insiders – not russia – leaked clinton ', 'and baby make history becoming first ', 'how to wong foo paved the way for the ', 'us on outrage over white role explains ']","['man who dressed up as white house easter ', 'u s hits chinese jet candidate to get ', 'fox news said at white house 000 joke ', 'israeli forces kill at least 16 palestinian ', 'former fbi deputy director andrew mccabe ']","{'us': 0.08333333333333333, '–': 0.08333333333333333, 'graduation': 0.041666666666666664, 'ceremony': 0.041666666666666664, 'teen': 0.041666666666666664}","{'white': 0.06666666666666667, 'house': 0.06666666666666667, 'man': 0.03333333333333333, 'dressed': 0.03333333333333333, 'easter': 0.03333333333333333}",0.07488417625427246
5,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,surprise gay minister with world s ,0,0,0.9726027397260274,"['surprise gay minister with world s ', 'republicans now marching with trump ', 'republicans fill cou seat they have ', 'former miss accuses trump of sexual ', 'former student accuses in black killings ']","['tennessee senate passes a bill to erect ', 'former student foundation ceo at cuts ', 'supreme cou to take hard look at paisan ', 'cynthia nixon vows to keep fighting ', 'republicans fill cou seat they do to ']","{'republicans': 0.09523809523809523, 'trump': 0.09523809523809523, 'former': 0.09523809523809523, 'accuses': 0.09523809523809523, 'surprise': 0.047619047619047616}","{'cou': 0.08, 'tennessee': 0.04, 'senate': 0.04, 'passes': 0.04, 'bill': 0.04}",0.06388401985168457
6,watch james corden get smashed in the face by a ball in slow motion,0,watch james corden get smashed in the ,1,1,0.9893617021276596,"['watch madonna warns of the new york ', 'former trump doctor accuses president ', 'spirit cooking only the sta to hillary ', 'tim kaine clinton email announcement ', 'white house releases for deep cuts ']","['a list of everything don jr doesn t ', 'watch blue bid 000 on a new it s no ', 'in school nurse ’ s room tylenol bandages ', 'watch blue bid 000 on a time to donald ', 'watch blue bid 000 on a time to time ']","{'watch': 0.041666666666666664, 'madonna': 0.041666666666666664, 'warns': 0.041666666666666664, 'new': 0.041666666666666664, 'york': 0.041666666666666664}","{'watch': 0.11538461538461539, 'blue': 0.11538461538461539, 'bid': 0.11538461538461539, '000': 0.11538461538461539, 'time': 0.11538461538461539}",0.07095217704772949
7,black agenda radio for week of nov 14 2016,1,world leaders respond to the coordinated ,1,1,0.97,"['top post nominee ‘ ’ at for christian ', 'new york times journalists who broke ', 'syrian warn us turkey can ’ t be <end> ', 'fbi debunks hillary clinton email investigation ', 'fbi debunks hillary clinton conspiracy ']","['how got away with a good musical episode ', 'republicans head into mid terms with ', 'u s accuses chinese jet of too close ', 'new han solo trailer features a twist ', 'fbi has questions about michael cohen ']","{'’': 0.07407407407407407, 'fbi': 0.07407407407407407, 'debunks': 0.07407407407407407, 'hillary': 0.07407407407407407, 'clinton': 0.07407407407407407}","{'got': 0.041666666666666664, 'away': 0.041666666666666664, 'good': 0.041666666666666664, 'musical': 0.041666666666666664, 'episode': 0.041666666666666664}",0.06170773506164551
8,everyone got the pulse massacre story completely wrong,0,everyone got the pulse massacre story ,0,0,0.9611650485436893,"['man who dressed up as white house easter ', 'everyone got the pulse massacre story ', 'fbi has questions about michael cohen ', 'trump admits to making something up ', 'that time david duchovny talked about ']","['democrats push to be included in classified ', 'ryan zinke and the tale of two fish ', 'sweden just made a staling confession ', 'supreme cou rules priests do not have ', 'obama orders five last minute most ']","{'man': 0.045454545454545456, 'dressed': 0.045454545454545456, 'white': 0.045454545454545456, 'house': 0.045454545454545456, 'easter': 0.045454545454545456}","{'democrats': 0.045454545454545456, 'push': 0.045454545454545456, 'included': 0.045454545454545456, 'classified': 0.045454545454545456, 'ryan': 0.045454545454545456}",0.09043097496032715
9,she staed a suicide prevention site at age 15 it s still going strong,0,fox news melts down after hillary clinton ,1,1,0.9560439560439561,"['watch madonna warns of the new gasp ', 'fox news melts down after hillary clinton ', 'breaking clinton – a long island list ', 'former miss accuses trump of sexual ', 'gop state senator thinks laws created ']","['gop led house panel ends its russia ', 'breaking clinton “ “ we have had being ', 'repo 33 who said abused women men to ', 'breaking clinton – a russian database ', 'try to keep calm but k pop band bts ']","{'clinton': 0.07407407407407407, 'watch': 0.037037037037037035, 'madonna': 0.037037037037037035, 'warns': 0.037037037037037035, 'new': 0.037037037037037035}","{'breaking': 0.07142857142857142, 'clinton': 0.07142857142857142, '“': 0.07142857142857142, 'gop': 0.03571428571428571, 'led': 0.03571428571428571}",0.0648953914642334
