index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words
0,six ways to give the gift of generosity to children and teenagers the new york times,1,leaderless and underfunded n j transit ,1,1,0.9759036144578314,"['former fbi accuses trump andrew lawyer ', 'former student accuses charged in killings ', 'poll 50 of russians fear us syria russia ', 'wikipedia founder ‘ moved on ’ for ', 'russia announces plans for catastrophic ']","['russia may expel u s diplomats shut ', 'republicans us shoot themselves in ', 'conan o brien in on the royal wedding ', 'paul ryan s exit is a reminder that ', 'former student killed in sexual assault ']","{'former': 0.07407407407407407, 'accuses': 0.07407407407407407, 'russia': 0.07407407407407407, 'fbi': 0.037037037037037035, 'trump': 0.037037037037037035}","{'russia': 0.045454545454545456, 'may': 0.045454545454545456, 'expel': 0.045454545454545456, 'u': 0.045454545454545456, 'diplomats': 0.045454545454545456}"
1,bill gates says trump didn t know the difference between hpv and hiv,0,laura ingraham slams adveisers who ,0,0,0.9583333333333334,"['r kelly accusers say they had to ask ', 'try to keep calm but k pop band bts ', 'colbe mocks giuliani s bonkers former ', 'white house preps spending cuts bill ', 'bill maher reveals 25 things you don ']","['cynthia nixon wants new yorkers to ', 'tim kaine clinton email announcement ', 'fox news all but ignores nationwide ', 'white house releases photos of mike ', 'former clinton foundation ceo begging ']","{'bill': 0.07142857142857142, 'r': 0.03571428571428571, 'kelly': 0.03571428571428571, 'accusers': 0.03571428571428571, 'say': 0.03571428571428571}","{'clinton': 0.08333333333333333, 'cynthia': 0.041666666666666664, 'nixon': 0.041666666666666664, 'wants': 0.041666666666666664, 'new': 0.041666666666666664}"
2,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,review in ‘ finding ’ a fish and a ,1,1,0.9801980198019802,"['‘ i have a could stop it was not not ', 'watch james corden get smashed in the ', 'former clinton foundation ’ s russia ', 'former clinton foundation ceo after ', 'robbin season s true criminal is revealed ']","['n l says its players will not in 2018 ', 'university of is an that canada is ', '‘ great british off ’ will leave bbc ', 'if you have alzheimer ’ s then invite ', 'if trump tweets it is it news a quandary ']","{'former': 0.09090909090909091, 'clinton': 0.09090909090909091, 'foundation': 0.09090909090909091, '‘': 0.045454545454545456, 'could': 0.045454545454545456}","{'’': 0.1, 'n': 0.05, 'l': 0.05, 'says': 0.05, 'players': 0.05}"
3,democrats projected to win pennsylvania district that went heavily for trump,0,rosenstein to republicans doj ‘ will ,1,1,1.0,"['rosenstein to republicans doj ‘ will ', 'fbi debunks hillary clinton s ‘ trump ', 'former trump doctor accuses president ', 'fbi debunks hillary clinton conspiracy ', 'former clinton foundation trump claims ']","['nation ’ s top lawyers have had enough ', 'former trump accuses president of sexual ', 'michael bloomberg slams epidemic of ', 'michael cohen repoedly paid 600 000 ', 'gop who thinks he their ‘ the gay ’ ']","{'clinton': 0.12, 'trump': 0.12, '‘': 0.08, 'fbi': 0.08, 'debunks': 0.08}","{'’': 0.08, 'michael': 0.08, 'nation': 0.04, 'top': 0.04, 'lawyers': 0.04}"
4,russian spring unveils new caoon series mocking us propaganda,1,russian spring unveils new caoon series ,1,1,0.9764705882352941,"['no jail time for walk of fame trump ', 'texas education board votes to create ', 'republicans fill cou seat they denied ', 'no charges but harsh criticism for ', '13 reasons why goes beyond the tapes ']","['republicans head into mid terms with ', '5 ways netflix tricks you into watching ', 'repo 33 of jay z claims can for 200 ', 'fox news said personally asks 000 to ', 'repo 33 of jay z is photo for 200 million ']","{'jail': 0.043478260869565216, 'time': 0.043478260869565216, 'walk': 0.043478260869565216, 'fame': 0.043478260869565216, 'trump': 0.043478260869565216}","{'repo': 0.07142857142857142, '33': 0.07142857142857142, 'jay': 0.07142857142857142, 'z': 0.07142857142857142, '200': 0.07142857142857142}"
5,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,surprise gay minister with world s ,0,1,0.9459459459459459,"['colbe mocks trump for failing to stand ', 'republicans fill cou seat they do to ', 'former student foundation after begging ', 'senate does equifax a favor as a former ', '17 year old indigo child message to ']","['rick and moy future still up in the ', 'republicans plans to make black list ', 'conan o brien in on the royal wedding ', 'fox losing more adveisers after sexual ', 'former student is charged in killings ']","{'former': 0.08695652173913043, 'colbe': 0.043478260869565216, 'mocks': 0.043478260869565216, 'trump': 0.043478260869565216, 'failing': 0.043478260869565216}","{'rick': 0.047619047619047616, 'moy': 0.047619047619047616, 'future': 0.047619047619047616, 'still': 0.047619047619047616, 'republicans': 0.047619047619047616}"
6,watch james corden get smashed in the face by a ball in slow motion,0,watch james corden get smashed in the ,1,1,0.9642857142857143,"['former student foundation ceo after ', 'former clinton foundation ceo after ', 'breaking clinton “ a deeply disappointed ', 'former fbi director director andrew ', 'white house releases photos of mike ']","['former student is charged in killings ', 'former fbi accuses trump team accuses ', 'repo 33 of jay z ’ s ‘ million ’ asylum ', 'a different kind of gender gap 7 places ', 'watch blue bid 000 on a time s time ']","{'former': 0.13043478260869565, 'foundation': 0.08695652173913043, 'ceo': 0.08695652173913043, 'clinton': 0.08695652173913043, 'director': 0.08695652173913043}","{'former': 0.06451612903225806, 'accuses': 0.06451612903225806, '’': 0.06451612903225806, 'time': 0.06451612903225806, 'student': 0.03225806451612903}"
7,black agenda radio for week of nov 14 2016,1,world war 3 the truth about ww3 <end> ,1,1,0.9894736842105263,"['man dressed as elsa from frozen with ', 'teens who their sexuality have higher ', 'sweden just made a staling confession ', 'newest head cracker do you hear brainstorm ', 'syrian army wins control over terrorists ']","['trump throws away his regurgitates ', 'u s hits chinese troops who for his ', 'former fbi deputy director andrew mccabe ', 'that time david duchovny talked about ', 'how got away with a good musical episode ']","{'man': 0.047619047619047616, 'dressed': 0.047619047619047616, 'elsa': 0.047619047619047616, 'frozen': 0.047619047619047616, 'teens': 0.047619047619047616}","{'away': 0.08695652173913043, 'trump': 0.043478260869565216, 'throws': 0.043478260869565216, 'regurgitates': 0.043478260869565216, 'u': 0.043478260869565216}"
8,everyone got the pulse massacre story completely wrong,0,media matters taking off cnn off fox ,0,0,1.0,"['india approves death penalty for child ', 'some cities want their noncitizen immigrants ', 'leftist hypocrisy on “ peace love and ', 'supreme cou justice sotomayor continues ', 'gop leaders fine with trump bombing ']","['david clarke makes a tacky homophobic ', 'cnn contributor blames breitba white ', 'thousands travel home to ireland to ', 'energy update stargates are active ', 'supreme cou rules priests do not have ']","{'india': 0.041666666666666664, 'approves': 0.041666666666666664, 'death': 0.041666666666666664, 'penalty': 0.041666666666666664, 'child': 0.041666666666666664}","{'david': 0.045454545454545456, 'clarke': 0.045454545454545456, 'makes': 0.045454545454545456, 'tacky': 0.045454545454545456, 'homophobic': 0.045454545454545456}"
9,she staed a suicide prevention site at age 15 it s still going strong,0,fox news melts down after hillary clinton ,1,1,0.9875,"['breaking clinton was so so federal ', 'new york city council launches probe ', 'breaking clinton – a russian suspect ', 'watch demon clown pennywise returns ', 'a candidate rises on vows to control ']","['breaking multiple victims shot near ', 'breaking clinton “ “ we have had being ', 'a list of everything don jr doesn t ', 'fbi debunks hillary s conspiracy theory ', 'video shows u s order in former to ']","{'breaking': 0.08695652173913043, 'clinton': 0.08695652173913043, 'federal': 0.043478260869565216, 'new': 0.043478260869565216, 'york': 0.043478260869565216}","{'breaking': 0.09090909090909091, '“': 0.09090909090909091, 'multiple': 0.045454545454545456, 'victims': 0.045454545454545456, 'shot': 0.045454545454545456}"
10,congressman proposes national surveillance program after trump meeting the new york times,1,french presidential candidate vows ,1,1,0.9736842105263158,"['gay bunny book outsells pence family ', 'rosenstein to republicans doj ‘ will ', 'hey trump suppoers robe de niro is ', 'russia vows to expand black list of ', 'launch protest against pope francis ']","['dominates michigan in ncaa championship ', 'these old marijuana movie posters may ', 'teen uses s for secret message about ', 'challenges colleges to stand up for ', 'republicans head into mid terms with ']","{'gay': 0.04, 'bunny': 0.04, 'book': 0.04, 'outsells': 0.04, 'pence': 0.04}","{'dominates': 0.05263157894736842, 'michigan': 0.05263157894736842, 'ncaa': 0.05263157894736842, 'championship': 0.05263157894736842, 'old': 0.05263157894736842}"
11,gloomy days in the oil patch but some see a glimmer of light the new york times,1,after fo lauderdale shooting rumor ,0,0,0.9859154929577465,"['former student accuses trump in killings ', 'after fo lauderdale shooting rumor ', 'senate passes bill to be thousands ', 'at least 5 dead in violent clashes ', 'former student is charged in killings ']","['‘ atlanta ’ shows the horror of black ', 'repo fbi ’ s facial recognition database ', '‘ us anti trump protests similar to ', 'former clinton foundation ceo after ', 'repo more americans between 18 and ']","{'former': 0.09090909090909091, 'student': 0.09090909090909091, 'killings': 0.09090909090909091, 'accuses': 0.045454545454545456, 'trump': 0.045454545454545456}","{'‘': 0.08, '’': 0.08, 'repo': 0.08, 'atlanta': 0.04, 'shows': 0.04}"
12,prescription drugs time to “just say no”,1,rose mcgowan wishes harvey weinstein ,0,0,0.9659090909090909,"['fox news guest personally asks donald ', 'senate does equifax a favor as a former ', 'man dressed as elsa from frozen pushes ', 'rose mcgowan wishes harvey weinstein ', 'republicans now marching with trump ']","['youtube tv will be forced to watch ', 'gop who doug lamborn thrown off the ', '17 year old indigo child message to ', 'republicans fill cou seat they denied ', 'designer of waterslide that decapitated ']","{'fox': 0.043478260869565216, 'news': 0.043478260869565216, 'guest': 0.043478260869565216, 'personally': 0.043478260869565216, 'asks': 0.043478260869565216}","{'youtube': 0.045454545454545456, 'tv': 0.045454545454545456, 'forced': 0.045454545454545456, 'watch': 0.045454545454545456, 'gop': 0.045454545454545456}"
13,pop warner is facing a class action lawsuit over concussions the new york times,1,rancher yearns for trump wall on us ,1,1,0.9753086419753086,"['gop to doug lamborn thrown off the ', 'jack johnson was pardoned but taboo ', 'russia hands us its behind response ', 'top us general pleads with troops not ', 'rancher yearns for trump wall on us ']","['weird al yankovic just made history ', 'harvey weinstein gets oscar boost after ', 'christina aguilera s new single accelerate ', 'u s accuses chinese jet of too close ', 'neil young fires daryl at no 1 or sexual ']","{'us': 0.13043478260869565, 'gop': 0.043478260869565216, 'doug': 0.043478260869565216, 'lamborn': 0.043478260869565216, 'thrown': 0.043478260869565216}","{'weird': 0.038461538461538464, 'al': 0.038461538461538464, 'yankovic': 0.038461538461538464, 'made': 0.038461538461538464, 'history': 0.038461538461538464}"
14,the real revolution is already here,1,the real revolution is already here ,1,1,0.9668874172185431,"['former trump doctor accuses president ', 'trump s deputy director honduran immigrants ', 'donald trump deutsche bank did not ', 'trump says he ll meet with us on russia ', 'the impoance bang pays in bringing ']","['the handmaid s tale showrunner wishes ', 'here are the movies coming to netflix ', 'here s what everyone gets wrong about ', 'here are barack obama s 2018 march ', 'trump s fbi director “ helping more ']","{'trump': 0.17391304347826086, 'former': 0.043478260869565216, 'doctor': 0.043478260869565216, 'accuses': 0.043478260869565216, 'president': 0.043478260869565216}","{'handmaid': 0.05263157894736842, 'tale': 0.05263157894736842, 'showrunner': 0.05263157894736842, 'wishes': 0.05263157894736842, 'movies': 0.05263157894736842}"
15,in chicago teachers and black lives matter activists paner to build a bigger movement,1,in speech for fallen officers trump ,1,1,0.9821428571428571,"['try not to cry watching david beckham ', 'former clinton foundation for begging ', 'repo fbi director will take germany ', 'how to wong foo paved the way for the ', 'repo fbi director actually facial caught ']","['‘ jeopardy ’ fans would be able to ', 'repo 33 of jay z ’ s ‘ million ’ mexican ', 'how chicago ’ s leading latino progressive ', 'former fbi accuses trump andrew lawyer ', 'repo 33 of jay z ’ s for 200 amid eah ']","{'repo': 0.08333333333333333, 'fbi': 0.08333333333333333, 'director': 0.08333333333333333, 'try': 0.041666666666666664, 'cry': 0.041666666666666664}","{'’': 0.14705882352941177, '‘': 0.058823529411764705, 'repo': 0.058823529411764705, '33': 0.058823529411764705, 'jay': 0.058823529411764705}"
16,victoria beckham and shaq spoof sharknado in the weirdest reboot yet,0,victoria beckham and spoof in the weirdest ,0,0,0.967032967032967,"['and jack s bonkers has people they ', 'these could put you at risk for social ', 'woman fired after off trump s sues ', 'weird al yankovic just made history ', 'gop leaders fine with trump bombing ']","['syrian warn us turkey can ’ t be <end> ', 'new orleans police officers plead guilty ', 'obama orders five last minute most ', 'u s election cycle offers kremlin a ', 'jack johnson was pardoned but taboo ']","{'trump': 0.09523809523809523, 'jack': 0.047619047619047616, 'bonkers': 0.047619047619047616, 'people': 0.047619047619047616, 'could': 0.047619047619047616}","{'syrian': 0.04, 'warn': 0.04, 'us': 0.04, 'turkey': 0.04, '’': 0.04}"
