index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words
0,windtalkers celebrates the human spirit and packs an emotional wallop,1,a film that loses sight of a good intentions <end> ,0,0,0.9873417721518988,"['the film is a primer on its own his director and director ', 'the film s a gaudy bag of stale candy ever made a ', 'the film s so uninspiring that could a taste of the ', 'a movie that so of the highest and the most famous ', 'the film is a primer on its own and director in u ']","['the film s so of those who can t rescue and anime ', 'the film s a gaudy bag of a icon that s hard to anyway ', 'a thoughtful movie one of s best and in a performance ', 'the film is a solid new film but it is a slight and ', 'the film is a primer on its own it s a of above the ']","{'director': 0.17647058823529413, 'primer': 0.11764705882352941, 'gaudy': 0.058823529411764705, 'bag': 0.058823529411764705, 'stale': 0.058823529411764705}","{'rescue': 0.06666666666666667, 'anime': 0.06666666666666667, 'gaudy': 0.06666666666666667, 'bag': 0.06666666666666667, 'icon': 0.06666666666666667}"
1,filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water,0,the film has the heavy handed that takes up with a ,1,1,0.9607843137254902,"['the film has a laundry cast of movie references but ', 'the film has the heavy handed that takes up with a ', 'the film is so many of the damned for the movie is ', 'the film has the heavy handed that takes up through ', 'the film is too many or even through the movie s of ']","['the film is a primer on its own director director ', 'the film is a contrivance as aificial as the film ', 'the film has a laundry exercise in camera with action ']","{'heavy': 0.15384615384615385, 'handed': 0.15384615384615385, 'takes': 0.15384615384615385, 'many': 0.15384615384615385, 'laundry': 0.07692307692307693}","{'director': 0.2222222222222222, 'primer': 0.1111111111111111, 'contrivance': 0.1111111111111111, 'aificial': 0.1111111111111111, 'laundry': 0.1111111111111111}"
2,what staed out as a taut contest of wills between bacon and theron deteriorates into a protracted and borderline silly chase sequence,0,the film s so uninspiring that could a giant enterprise ,1,1,0.975609756097561,"['the film has a number of themes a complex on a good ', 'the film is a primer on its own school comedy with ', 'the film is a primer on the rules of popularity of ', 'a movie that one of the best films of the year with ', 'the film is so consistently that the impoance of life ']","['the film is so of the 70s or film in which it s performance ', 'the film is so many of its own in reality tv and his ', 'the film is a primer on sentence of the film a movie ']","{'primer': 0.11764705882352941, 'number': 0.058823529411764705, 'themes': 0.058823529411764705, 'complex': 0.058823529411764705, 'good': 0.058823529411764705}","{'70s': 0.14285714285714285, 'performance': 0.14285714285714285, 'many': 0.14285714285714285, 'reality': 0.14285714285714285, 'tv': 0.14285714285714285}"
3,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,the film is a primer on its own in town with sensitivity ,1,0,0.9459459459459459,"['the film is a contrivance as aificial as the film ', 'the film is a primer on the rules of attraction and ', 'the film is a primer on its own it fills a good movie ', 'the film is a primer on its own animated tv and in ', 'the film is a primer on its own in town with sensitivity ']","['the film s a gaudy work of human observation footage ', 'the film has a laundry exercise in camera and that ', 'the film has a number of themes a complex on a good ']","{'primer': 0.2857142857142857, 'contrivance': 0.07142857142857142, 'aificial': 0.07142857142857142, 'rules': 0.07142857142857142, 'attraction': 0.07142857142857142}","{'gaudy': 0.08333333333333333, 'work': 0.08333333333333333, 'human': 0.08333333333333333, 'observation': 0.08333333333333333, 'footage': 0.08333333333333333}"
4,sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play,1,the film is a primer on its own it s a of healthy ,1,1,0.9772727272727273,"['the film is a primer on the beach with humor and american ', 'the film is a primer on the beach with humor and humor ', 'the film is a primer on its own it s a of healthy ', 'the film is a primer on its own it s a rewarding balance ', 'the film is so many that its through the film s mid ']","['the film is a primer on its own it s a of above the ', 'the film is too many or even through the movie s of ', 'the film is too many out of these or historical moments ', 'the film is a contrivance as aificial as the movie ']","{'primer': 0.26666666666666666, 'humor': 0.2, 'beach': 0.13333333333333333, 'american': 0.06666666666666667, 'healthy': 0.06666666666666667}","{'many': 0.25, 'primer': 0.125, 'even': 0.125, 'historical': 0.125, 'moments': 0.125}"
5,it s difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,0,the film is a primer on its own in town with sensitivity ,1,1,0.9777777777777777,"['the film is so many that its through the film s mid ', 'the film is a primer on its own it s a of healthy ', 'the film is so of the 70s most of the film s with ', 'the film is a primer on its own it s a of above the ', 'the film is a primer on the beach with humor and american ']","['the film is a primer on its own animated tv and in ', 'the film is a primer on its own animated tv director ', 'the film is a primer on its own animated tv and rather ', 'the film is so of the best films of the year with ', 'the film is too many that its scenes in reality of ']","{'primer': 0.3, 'many': 0.1, 'mid': 0.1, 'healthy': 0.1, '70s': 0.1}","{'primer': 0.17647058823529413, 'animated': 0.17647058823529413, 'tv': 0.17647058823529413, 'director': 0.058823529411764705, 'rather': 0.058823529411764705}"
6,feels like six different movies fighting each other for attention,0,a very funny look at how it used to be <end> ,1,1,0.9821428571428571,"['a movie that rare into a movie that is a little more ', 'the film is a primer on its own and director in years ', 'the film is a primer on its own and director in its ', 'it s a very tasteful rock and roll movie you could ', 'a movie that so lovingly and present the one of screen ']","['the film is a primer on its own his director in its ', 'a movie that one would be profane politically the ', 'the film is a primer on sentence of the film a movie ', 'a movie that so of the highest and the most famous ', 'the film is a primer on its own and fills his film ']","{'primer': 0.13333333333333333, 'director': 0.13333333333333333, 'rare': 0.06666666666666667, 'little': 0.06666666666666667, 'years': 0.06666666666666667}","{'primer': 0.25, 'director': 0.08333333333333333, 'one': 0.08333333333333333, 'would': 0.08333333333333333, 'profane': 0.08333333333333333}"
7,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,1,the movie has a laundry of a movie that you can be ,1,1,0.9577464788732394,"['the film has the number of s a similarly morose and ', 'the movie has been more than a fair film if he s changed ', 'the movie has all the ring at the first time feature ', 'the movie has a laundry of a movie that you can be ', 'the movie has been a huge that the movie it would ']","['the movie has been in this history but director michael ', 'a movie that harps on and a jr but there isn t a definitive ', 'the movie has the fact that the best only some of ', 'the movie has a laundry list the movie does not only ', 'the movie has the fact of the best examples of his ']","{'number': 0.08333333333333333, 'similarly': 0.08333333333333333, 'morose': 0.08333333333333333, 'fair': 0.08333333333333333, 'changed': 0.08333333333333333}","{'fact': 0.15384615384615385, 'best': 0.15384615384615385, 'history': 0.07692307692307693, 'director': 0.07692307692307693, 'michael': 0.07692307692307693}"
8,this is as powerful a set of evidence as you ll ever find of why a matters and how it can resonate far beyond museum walls and through to the most painfully marginal lives,1,the film has the perfect of s best as a couple of ,1,1,0.9818181818181818,"['the film has the perfect characters are not much of ', 'the film has the heavy handed of haynes work in the ', 'the film has a laundry cast of human comedy that it ', 'the film has a laundry exercise in camera and that ', 'the film has a laundry cast of human comedy is a fascinating ']","['the film has a laundry cast of human business but ', 'the film is too many out of these guys are john in ', 'the film has all the rules of lurid melodrama but ', 'the film has a laundry list of movie experiences will ']","{'laundry': 0.15789473684210525, 'cast': 0.10526315789473684, 'human': 0.10526315789473684, 'comedy': 0.10526315789473684, 'perfect': 0.05263157894736842}","{'laundry': 0.15384615384615385, 'cast': 0.07692307692307693, 'human': 0.07692307692307693, 'business': 0.07692307692307693, 'many': 0.07692307692307693}"
9,pretty much sucks but has a funny moment or two,0,a very funny look at how it used to be <end> ,1,1,0.967741935483871,"['the film s so uninspiring that covers a lot of the ', 'the film is a primer on its own and director in america ', 'the film s so uninspiring that even a of above the ', 'a movie that so lovingly and present the most of screen ', 'a thoughtful movie one of s best and in which so many ']","['a movie that so tale about being a bunch of time in ', 'the film is a primer on its own his director in its ', 'a movie that rare film about every to u s career to ', 'the film is a primer on its own it fills a good movie ', 'the film is a primer on its own animated tv and in ']","{'uninspiring': 0.13333333333333333, 'covers': 0.06666666666666667, 'lot': 0.06666666666666667, 'primer': 0.06666666666666667, 'director': 0.06666666666666667}","{'primer': 0.2, 'tale': 0.06666666666666667, 'bunch': 0.06666666666666667, 'time': 0.06666666666666667, 'director': 0.06666666666666667}"
