index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words
0,six ways to give the gift of generosity to children and teenagers the new york times,1,six ways to give the gift of generosity to children and teenagers the new york times,1,1,0.975609756097561,"['republicans us shoot themselves in ', 'son of former democratic vp nominee ', 'oops denver post prints photo of wrong ', 'republicans may shoot themselves in ', 'south korea ’ s blacklist of aists ']","['wikipedia founder ‘ moved on ’ for ', 'dozens dead after torrential rains ', 'paul ryan s exit is a reminder that ', 'senate passes bill to be sense of americans ', 'former student accuses charged in killings ']","{'republicans': 0.09090909090909091, 'shoot': 0.09090909090909091, 'us': 0.045454545454545456, 'son': 0.045454545454545456, 'former': 0.045454545454545456}","{'wikipedia': 0.043478260869565216, 'founder': 0.043478260869565216, '‘': 0.043478260869565216, 'moved': 0.043478260869565216, '’': 0.043478260869565216}"
1,bill gates says trump didn t know the difference between hpv and hiv,0,bill gates says trump didn t know the difference between hpv and hiv,0,0,1.0,"['bill maher shreds donald trump likens ', 'r kelly accusers say they had to ask ', 'bill gates says trump didn t know the ', 'repo 33 who said abused women could ', 'fox news guest personally asks donald ']","['former mexican president vicente fox ', 'iraqi army discovers us made missiles ', 'interior dept dodges watchdog ’ s questions ', 'new york times calls on gop to protect ', 'white house releases photos of mike ']","{'bill': 0.07142857142857142, 'donald': 0.07142857142857142, 'trump': 0.07142857142857142, 'maher': 0.03571428571428571, 'shreds': 0.03571428571428571}","{'former': 0.03571428571428571, 'mexican': 0.03571428571428571, 'president': 0.03571428571428571, 'vicente': 0.03571428571428571, 'fox': 0.03571428571428571}"
2,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,1,0.9702970297029703,"['former fbi accuses trump calls accuses ', 'review in ‘ independence the purple ', '‘ us anti trump protests similar to ', 'watch madonna warns of the new york ', 'turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times']","['maxine waters ’ donald trump i ’ m ', 'at ampt cellphone users unable to call ', 'e p a workers try to block pruitt in ', 'if you have alzheimer ’ s then and ', '‘ i have a could stop it was not not ']","{'accuses': 0.06060606060606061, 'trump': 0.06060606060606061, '‘': 0.06060606060606061, 'new': 0.06060606060606061, 'york': 0.06060606060606061}","{'’': 0.13636363636363635, 'maxine': 0.045454545454545456, 'waters': 0.045454545454545456, 'donald': 0.045454545454545456, 'trump': 0.045454545454545456}"
3,democrats projected to win pennsylvania district that went heavily for trump,0,democrats projected to win pennsylvania district that went heavily for trump,0,0,0.9696969696969697,"['democrats to win pennsylvania district ', 'russia to expel u s diplomats shut ', 'former fbi deputy director andrew mccabe ', 'democrats projected to win pennsylvania district that went heavily for trump', 'supreme cou rules priests do not have ']","['republicans now marching with trump ', 'opinion hillary is the whore of babylon ', 'michael bloomberg slams epidemic of ', 'donald trump deutsche bank did clintons ', 'former fbi accuses trump andrew lawyer ']","{'democrats': 0.07407407407407407, 'win': 0.07407407407407407, 'pennsylvania': 0.07407407407407407, 'district': 0.07407407407407407, 'russia': 0.037037037037037035}","{'trump': 0.13636363636363635, 'republicans': 0.045454545454545456, 'marching': 0.045454545454545456, 'opinion': 0.045454545454545456, 'hillary': 0.045454545454545456}"
4,russian spring unveils new caoon series mocking us propaganda,1,russian spring unveils new caoon series mocking us propaganda,1,1,0.9878048780487805,"['fbi debunks hillary s conspiracy theory ', 'former us accuses trump of sexual assault ', 'donald trump deutsche bank did not ', 'facebook defends its use of secret ', 'russian spring unveils new caoon series mocking us propaganda']","['at least 5 dead in violent clashes ', 'republicans head into mid terms with ', 'republicans got marching with the only ', 'how to hit sinclair where it hus according ', 'no hours graduation ceremony for teen ']","{'us': 0.07142857142857142, 'trump': 0.07142857142857142, 'fbi': 0.03571428571428571, 'debunks': 0.03571428571428571, 'hillary': 0.03571428571428571}","{'republicans': 0.1, 'least': 0.05, '5': 0.05, 'dead': 0.05, 'violent': 0.05}"
5,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,0,0.9743589743589743,"['alan cumming this is the last gasp ', 'dozens dead after torrential rains ', '17 year old indigo child message to ', 'challenges colleges to stand up for ', 'paul ryan s exit is a reminder that ']","['remy ma explains the impoance of melanin ', 'rick and moy future still up in the ', 'louisiana secretary of state resigns ', 'colbe mocks trump s failing to stand ', 'republicans now marching with trump ']","{'alan': 0.047619047619047616, 'cumming': 0.047619047619047616, 'last': 0.047619047619047616, 'gasp': 0.047619047619047616, 'dozens': 0.047619047619047616}","{'trump': 0.1, 'remy': 0.05, 'explains': 0.05, 'impoance': 0.05, 'melanin': 0.05}"
6,watch james corden get smashed in the face by a ball in slow motion,0,watch james corden get smashed in the face by a ball in slow motion,1,1,0.956989247311828,"['how putin hit but it it up is a of ', 'a list of everything don jr doesn t ', 'repo 33 of french who pray can t arrested ', 'watch madonna warns of the new york ', 'former fbi accuses trump calls president ']","['trump claims bashes cnn buzzfeed over ', 'how to hit sinclair where it hus according ', 'watch blue bid 000 on a time to they ', 'watch blue bid 000 on a time it s no ', 'watch blue bid 000 on a new it s no ']","{'putin': 0.047619047619047616, 'hit': 0.047619047619047616, 'list': 0.047619047619047616, 'everything': 0.047619047619047616, 'jr': 0.047619047619047616}","{'watch': 0.125, 'blue': 0.125, 'bid': 0.125, '000': 0.125, 'time': 0.08333333333333333}"
7,black agenda radio for week of nov 14 2016,1,black agenda radio for week of nov 14 2016,1,1,0.9693877551020408,"['and jack s bonkers has people they ', 'syrian warn us turkey can ’ t be <end> ', 'ryan zinke and the tale of two fish ', 'us insiders – not russia – leaked clinton ', 'how sweetbitter captures the grit and ']","['newest head cracker do you hear brainstorm ', 'fox news said personally asks 000 to ', 'u s hits russia with sanctions for ', 'fox news repoer sarah huckabee sanders ', 'and just like that gaming and mainstream ']","{'us': 0.08695652173913043, '–': 0.08695652173913043, 'jack': 0.043478260869565216, 'bonkers': 0.043478260869565216, 'people': 0.043478260869565216}","{'fox': 0.08333333333333333, 'news': 0.08333333333333333, 'newest': 0.041666666666666664, 'head': 0.041666666666666664, 'cracker': 0.041666666666666664}"
8,everyone got the pulse massacre story completely wrong,0,everyone got the pulse massacre story completely wrong,0,0,0.945054945054945,"['no hours graduation ceremony for teen ', 'and baby make history becoming first ', 'nypd and ny fbi caught in massive cover ', 'michael b jordan to produce film about ', 'gop leaders fine with trump bombing ']","['cnn contributor blames breitba white ', 'woman fired after off trump s sues ', 'republicans fill cou seat they denied ', 'rose mcgowan wishes harvey weinstein ', 'obama to dismantle visitor registry ']","{'hours': 0.041666666666666664, 'graduation': 0.041666666666666664, 'ceremony': 0.041666666666666664, 'teen': 0.041666666666666664, 'baby': 0.041666666666666664}","{'cnn': 0.043478260869565216, 'contributor': 0.043478260869565216, 'blames': 0.043478260869565216, 'breitba': 0.043478260869565216, 'white': 0.043478260869565216}"
9,she staed a suicide prevention site at age 15 it s still going strong,0,she staed a suicide prevention site at age 15 it s still going strong,0,0,0.9777777777777777,"['fox friends host brian kilmeade says ', 'white house preps spending cuts cuts ', 'gop senator called out for pushing ', 'repo 33 who said abused women could ', 'watch blue bid 000 on a new it s no ']","['breaking clinton “ we re have had to ', 'video shows twitter users fight with ', 'breaking clinton “ “ we have had a ', 'breaking obama “ we have had a major ', 'breaking obama now considering maial ']","{'cuts': 0.07407407407407407, 'fox': 0.037037037037037035, 'friends': 0.037037037037037035, 'host': 0.037037037037037035, 'brian': 0.037037037037037035}","{'breaking': 0.2, '“': 0.2, 'clinton': 0.1, 'obama': 0.1, 'video': 0.05}"
