index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate
0,windtalkers celebrates the human spirit and packs an emotional wallop,1,a movie that loses sight of its own story <end> ,0,0,0.9833333333333333,"['the film is a primer on its own it fills a film above ', 'the film is a primer on its own it fills a good movie ', 'the film s so predictable and just plain detailed ', 'the film is a primer on its observation and fills ', 'the film is so of the 70s it would be adequately emphasized ']","['the film is a solid album of writers the film is a ', 'the film is a solid album of acting and direction ', 'the film is a primer on its own and director in america ', 'a movie that one of the best films of the year with ', 'the film is a primer on its own and director in its ']","{'primer': 0.2, 'fills': 0.2, 'good': 0.06666666666666667, 'predictable': 0.06666666666666667, 'plain': 0.06666666666666667}","{'solid': 0.125, 'album': 0.125, 'primer': 0.125, 'director': 0.125, 'writers': 0.0625}",0.10340619087219238
1,filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water,0,the film has the perfect characters are not to compromise ,1,1,0.9767441860465116,"['the film is so of those who try to look away from ', 'the film has the perfect characters are not to compromise ', 'the film is so of those who try to look at but it ', 'the film has been a huge fan of human with such life ', 'the film has a laundry exercise in camera and that ']","['the film is a contrivance as aificial as the movie ', 'the film has a laundry list of movie experiences will ', 'the film is too many out of these guys are john in ', 'the film has a laundry cast of movie references but ']","{'try': 0.13333333333333333, 'look': 0.13333333333333333, 'away': 0.06666666666666667, 'perfect': 0.06666666666666667, 'characters': 0.06666666666666667}","{'laundry': 0.18181818181818182, 'contrivance': 0.09090909090909091, 'aificial': 0.09090909090909091, 'list': 0.09090909090909091, 'experiences': 0.09090909090909091}",0.01973438262939453
2,what staed out as a taut contest of wills between bacon and theron deteriorates into a protracted and borderline silly chase sequence,0,the film s so uninspiring that could a taste of the ,0,0,1.0,"['the film s so uninspiring that could a taste of the ', 'the film is too many or even through the movie s of ', 'the film is so many of its own in reality tv in which ', 'the film is so many of the quirks to examine his emotional ', 'the film is a primer on its own animated tv director ']","['the film is a primer on its own it s a of above the ', 'the film is so of the 70s most of the film s with ', 'the film is a primer on its own it s a of healthy ', 'the film is so of the 70s it would be adequately emphasized ', 'the film is so of the 70s s film in which with sensitivity ']","{'many': 0.1875, 'tv': 0.125, 'uninspiring': 0.0625, 'could': 0.0625, 'taste': 0.0625}","{'70s': 0.3, 'primer': 0.2, 'healthy': 0.1, 'would': 0.1, 'adequately': 0.1}",0.02512216567993164
3,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,the film is a primer on its own in town with sensitivity ,1,1,0.9591836734693877,"['the film is too many out of these or historical moments ', 'the film is too many or even through the movie s mid ', 'the film is so of the 70s it would be adequately emphasized ', 'the film has a number of themes a complex on a good ', 'the film is a primer on its own it s a of healthy ']","['the film is a primer on its own animated tv in which ', 'the film is a primer on its own animated tv and rather ', 'the film has a contrivance as aificial as the exalted ', 'the film is a primer on its own animated tv director ', 'the film is a contrivance as aificial as the movie ']","{'many': 0.125, 'historical': 0.0625, 'moments': 0.0625, 'even': 0.0625, 'mid': 0.0625}","{'primer': 0.1875, 'animated': 0.1875, 'tv': 0.1875, 'contrivance': 0.125, 'aificial': 0.125}",0.035748958587646484
4,sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play,1,the film is a primer on its own it s a of healthy ,1,1,0.9565217391304348,"['the film is a primer on the rules of popularity of ', 'the film is a primer on its own school comedy with ', 'the film is a primer on its own it s a of healthy ', 'the film is so many of the world it s so of that s ', 'the film is a primer on its own it s a rewarding balance ']","['the film is a primer on sentence of the film a movie ', 'the film is a primer on its own and director michael ', 'the film is too many or even through the movie s mid ', 'the film is too many out of these or historical moments ', 'the film is too many or sugary issues in the least ']","{'primer': 0.3076923076923077, 'rules': 0.07692307692307693, 'popularity': 0.07692307692307693, 'school': 0.07692307692307693, 'comedy': 0.07692307692307693}","{'many': 0.2, 'primer': 0.13333333333333333, 'sentence': 0.06666666666666667, 'director': 0.06666666666666667, 'michael': 0.06666666666666667}",0.03210735321044922
5,it s difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,0,the film is a primer on its own in town with sensitivity ,1,1,0.9803921568627451,"['the film is so many of its own in reality tv and his ', 'it s a very tasteful rock and roll movie you could ', 'the film is a primer on its own it s a of above the ', 'it s a very tasteful to look at the most were what ', 'the film is a primer on its own it s a of healthy ']","['the film is so many of its own in reality tv in which ', 'the film is a primer on its own animated tv and rather ', 'the film is too many or even through the movie s mid ', 'the film is too many that its scenes in reality of ', 'the film is so many of its own in reality tv and so ']","{'tasteful': 0.16666666666666666, 'primer': 0.16666666666666666, 'many': 0.08333333333333333, 'reality': 0.08333333333333333, 'tv': 0.08333333333333333}","{'many': 0.25, 'reality': 0.1875, 'tv': 0.1875, 'primer': 0.0625, 'animated': 0.0625}",0.03657126426696777
6,feels like six different movies fighting each other for attention,0,a very funny look at how it used to be <end> ,1,1,0.9821428571428571,"['it s a very tasteful to look at it s so devoid of ', 'the film is so of the best films of the year with ', 'a movie that rare into a man who can t seen it s not ', 'a movie that one of the best films of the year the ', 'a movie that so of the best films like a confidence ']","['a movie that so of the highest and the of povey to ', 'the film is so many of its own in reality tv and so ', 'the film is a primer on its own it feels like a lot ', 'a movie that one would be profane politically the ', 'a movie that so of the highest and the most famous ']","{'best': 0.17647058823529413, 'films': 0.17647058823529413, 'year': 0.11764705882352941, 'tasteful': 0.058823529411764705, 'look': 0.058823529411764705}","{'highest': 0.13333333333333333, 'povey': 0.06666666666666667, 'many': 0.06666666666666667, 'reality': 0.06666666666666667, 'tv': 0.06666666666666667}",0.041400909423828125
7,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,1,the movie has the number of gloss the holocaust faced ,0,0,0.9855072463768116,"['the movie has a laundry list the movie doesn t really ', 'the movie has been in years old but even as they were ', 'the movie has all the rules of attraction gets which ', 'the movie has the fact that the best only some of ', 'the movie has been in years old but director in the ']","['the movie has been a huge that the movie it would ', 'the film has the perfect of s best films the characters ', 'the movie has been in this one of human comedy that ', 'the film has a laundry list of war shocomings but ', 'the film has an infectious enthusiasm and the movie ']","{'years': 0.14285714285714285, 'old': 0.14285714285714285, 'laundry': 0.07142857142857142, 'list': 0.07142857142857142, 'really': 0.07142857142857142}","{'huge': 0.06666666666666667, 'would': 0.06666666666666667, 'perfect': 0.06666666666666667, 'best': 0.06666666666666667, 'films': 0.06666666666666667}",0.051543474197387695
8,this is as powerful a set of evidence as you ll ever find of why a matters and how it can resonate far beyond museum walls and through to the most painfully marginal lives,1,the film has the perfect of s best as a couple of ,1,1,0.967741935483871,"['the film has the perfect characters are not to give ', 'the film has the perfect of s best and the film s ', 'the film has been in years or that doesn t help what ', 'the film has the heavy handed of elling films is a ', 'the film has the heavy handed of a house films the ']","['the film has an infectious enthusiasm and it s altman ', 'the film has a laundry list of movie largely for the ', 'the film has all the rules of lurid melodrama but ']","{'perfect': 0.13333333333333333, 'heavy': 0.13333333333333333, 'handed': 0.13333333333333333, 'films': 0.13333333333333333, 'characters': 0.06666666666666667}","{'infectious': 0.1111111111111111, 'enthusiasm': 0.1111111111111111, 'altman': 0.1111111111111111, 'laundry': 0.1111111111111111, 'list': 0.1111111111111111}",0.02580428123474121
9,pretty much sucks but has a funny moment or two,0,a very funny look at how it used to be <end> ,1,1,0.9649122807017544,"['the film s a gaudy bag of stale candy ever made a ', 'the film is a primer on its own it s a rewarding balance ', 'the film is a primer on its own and director in america ', 'a very funny look at how it used to be <end> ', 'the film is so of the 70s s film in which with sensitivity ']","['the film is a primer on its own and director in u ', 'the film is a primer on sentence of the film a movie ', 'the film is a primer on its own it fills a film above ', 'the film is so many that time audiences it would have ']","{'primer': 0.11764705882352941, 'gaudy': 0.058823529411764705, 'bag': 0.058823529411764705, 'stale': 0.058823529411764705, 'candy': 0.058823529411764705}","{'primer': 0.2727272727272727, 'director': 0.09090909090909091, 'u': 0.09090909090909091, 'sentence': 0.09090909090909091, 'fills': 0.09090909090909091}",0.032095909118652344
10,topkapi this is not,0,a half assed film <end> ,1,1,0.9640287769784173,"['the film is a primer on its beach with other against ', 'the film is a solid album of grace and love with a ', 'the film s visceral and predictable honest and the ', 'the film s visceral and mischievous reunion of the ', 'the film s visceral and predictable tale of the power ']","['the film is a mediocre movie tale about a good time ', 'the film is a primer on its own his director at its ', 'the film s so of the reassuring adaptation of a spring ', 'the film is a primer on its own his director and director ', 'a film that it s a bore and a man who just a kiss ']","{'visceral': 0.1875, 'predictable': 0.125, 'primer': 0.0625, 'beach': 0.0625, 'solid': 0.0625}","{'director': 0.2, 'primer': 0.13333333333333333, 'mediocre': 0.06666666666666667, 'tale': 0.06666666666666667, 'good': 0.06666666666666667}",0.07070493698120117
11,belongs to daniel day lewis as much as it belongs to main scorsese it s a memorable performance in a big brassy disturbing unusual and highly successful film,1,the film is a contrivance as aificial as the movie ,0,0,0.9636363636363636,"['the film is so consistently unimaginative that doesn ', 'the film has a laundry exercise in camera with action ', 'the film has all the rules of lurid melodrama into ', 'the film is too many or even through the movie s of ', 'the film is too many or even video it s got a movie ']","['the film has the perfect characters are not much of ', 'the film has the heavy handed that takes up with a ', 'the film has been a huge that his movie in stua is ', 'the film has been a huge fan of dickens in which is ', 'the film has the perfect characters are not to lend ']","{'many': 0.13333333333333333, 'even': 0.13333333333333333, 'consistently': 0.06666666666666667, 'unimaginative': 0.06666666666666667, 'laundry': 0.06666666666666667}","{'perfect': 0.14285714285714285, 'characters': 0.14285714285714285, 'huge': 0.14285714285714285, 'much': 0.07142857142857142, 'heavy': 0.07142857142857142}",0.04123258590698242
12,disney s live action division has a history of releasing cinematic flotsam but this is one occasion when they have uneahed a rare gem,1,the film is a primer on its own it s a of healthy ,1,1,0.9591836734693877,"['the film is a primer on its own and director michael ', 'the film is so many of the time it s so bad that it ', 'the film is so of those who try to look away from ', 'the film is a primer on its own it s a of healthy ', 'the film is a primer on its own it s a of healthy ']","['the film is a primer on sentence of the film a movie ', 'the film is a primer on its own animated tv director ', 'the film is so many of its own in reality filmmaking ', 'the film has a contrivance as aificial as the exalted ', 'the film is a primer on its own director director ']","{'primer': 0.23076923076923078, 'healthy': 0.15384615384615385, 'director': 0.07692307692307693, 'michael': 0.07692307692307693, 'many': 0.07692307692307693}","{'primer': 0.2, 'director': 0.2, 'sentence': 0.06666666666666667, 'animated': 0.06666666666666667, 'tv': 0.06666666666666667}",0.03409314155578613
13,innocuous enough to make even jean claude van damme look good,0,a very funny look at how it used to be <end> ,1,1,0.9807692307692307,"['a very funny look at how it used to be <end> ', 'the film is a primer on its own and fills one of america ', 'a movie that so of the highest and the most famous ', 'it s a very tasteful to look at the most were what ', 'the film is a primer on its own it s a rewarding balance ']","['the film is a primer on its own and director in u ', 'the film is a primer on its own his director in its ', 'the film is so of the 70s or film in which it s performance ', 'the film is a primer on its own and fills one of visual ', 'the film is a primer on its observation and fills ']","{'look': 0.14285714285714285, 'primer': 0.14285714285714285, 'funny': 0.07142857142857142, 'used': 0.07142857142857142, 'fills': 0.07142857142857142}","{'primer': 0.2857142857142857, 'director': 0.14285714285714285, 'fills': 0.14285714285714285, 'u': 0.07142857142857142, '70s': 0.07142857142857142}",0.028542518615722656
14,the hot topics of the plot are relegated to the background a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty,1,the film has the perfect characters are not much of ,1,1,0.9622641509433962,"['the film has been a huge fan of human with such life ', 'the film has the perfect characters are not to lend ', 'the film has a laundry exercise in camera with its ', 'the film has a laundry exercise in camera and that ', 'the film has a laundry list of camera work in which ']","['the film has the perfect characters are too much but ', 'the film has a laundry exercise in camera work but ', 'the film has a laundry list of movie largely for the ']","{'laundry': 0.17647058823529413, 'camera': 0.17647058823529413, 'exercise': 0.11764705882352941, 'huge': 0.058823529411764705, 'fan': 0.058823529411764705}","{'laundry': 0.2, 'perfect': 0.1, 'characters': 0.1, 'much': 0.1, 'exercise': 0.1}",0.025158405303955078
15,merely and literally tosses around sex toys and offers half heaed paeans to empowerment that are repeatedly undercut by the brutality of the jokes most at women s expense,0,the film is a contrivance as aificial as the film ,0,0,0.9565217391304348,"['the film is a contrivance as aificial as the movie ', 'the film is so of those films try to be worrying about ', 'the film is too many out of these or historical moments ', 'the film is a contrivance as aificial as the film ', 'the film has a laundry exercise in camera work but ']","['the film has the perfect characters are not to compromise ', 'the film has all the rules of these of footage and ', 'the film is so consistently that the impoance of life ', 'the film is a primer on the beach with humor and american ', 'the film is so of those who try to look away from ']","{'contrivance': 0.14285714285714285, 'aificial': 0.14285714285714285, 'films': 0.07142857142857142, 'try': 0.07142857142857142, 'worrying': 0.07142857142857142}","{'perfect': 0.06666666666666667, 'characters': 0.06666666666666667, 'compromise': 0.06666666666666667, 'rules': 0.06666666666666667, 'footage': 0.06666666666666667}",0.028145551681518555
