index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate
0,six ways to give the gift of generosity to children and teenagers the new york times,1,six ways to give the gift of generosity to children and teenagers the new york times,1,1,0.9523809523809523,"['dozens say christian leader made british ', 'e p a workers try to block pruitt in ', 'bill kristol backs ’ deep state ’ over ', 'former student killed in sexual assault ', 'russia may shoot themselves in syria ']","['harvey weinstein turns himself in to ', 'few lawmakers seem concerned with the ', 'senate passes bill to be give thousands ', 'former student accuses in black killings ', 'former student accuses charged in killings ']","{'’': 0.07142857142857142, 'dozens': 0.03571428571428571, 'say': 0.03571428571428571, 'christian': 0.03571428571428571, 'leader': 0.03571428571428571}","{'former': 0.09523809523809523, 'student': 0.09523809523809523, 'accuses': 0.09523809523809523, 'killings': 0.09523809523809523, 'harvey': 0.047619047619047616}",0.0683441162109375
1,bill gates says trump didn t know the difference between hpv and hiv,0,bill gates says trump didn t know the difference between hpv and hiv,0,0,0.9583333333333334,"['white house releases photos of bill ', 'bill gates says trump didn t know the difference between hpv and hiv', 'new york city council launches probe ', 'laura ingraham slams adveisers who ', 'white house preps spending cuts bill ']","['r kelly accused of knowingly and intentionally ', 'former miss accuses trump of sexual ', 'repo fbi director will facial recognition ']","{'bill': 0.10344827586206896, 'white': 0.06896551724137931, 'house': 0.06896551724137931, 'releases': 0.034482758620689655, 'photos': 0.034482758620689655}","{'r': 0.06666666666666667, 'kelly': 0.06666666666666667, 'accused': 0.06666666666666667, 'knowingly': 0.06666666666666667, 'intentionally': 0.06666666666666667}",0.026953935623168945
2,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,1,0.9611650485436893,"['‘ i have a could be a more than you ', 'u s climate scientists for france to ', '‘ i ’ m will be a wall on fbi clinton ', '‘ i have what to make a ball on hillary ', '‘ i ’ m ’ m not ’ on fbi ’ breitba ']","['‘ i have a could be a was not her the ', '‘ i have a could stop it was not not ', 'u s accuses chinese new of list of ', 'alan cumming this is the last gasp ', '‘ i ’ m nobody nationalist not a and ']","{'’': 0.22727272727272727, '‘': 0.18181818181818182, 'fbi': 0.09090909090909091, 'could': 0.045454545454545456, 'u': 0.045454545454545456}","{'‘': 0.16666666666666666, 'could': 0.1111111111111111, 'stop': 0.05555555555555555, 'u': 0.05555555555555555, 'accuses': 0.05555555555555555}",0.07682275772094727
3,democrats projected to win pennsylvania district that went heavily for trump,0,democrats projected to win pennsylvania district that went heavily for trump,0,0,0.9855072463768116,"['supreme cou rules priests do not have ', 'what to watch on hulu that ’ s new ', 'watch blue bid 000 on a like it s no ', 'nation ’ s top lawyers have had enough ', 'five inside resolution denying israeli ']","['watch more car mayhem in ’ fate of ', 'republicans now marching with trump ', 'michael moore admits in ‘ the exorcist ', 'fbi debunks hillary s conspiracy theory ', 'opinion hillary is the whore of babylon ']","{'watch': 0.08695652173913043, '’': 0.08695652173913043, 'supreme': 0.043478260869565216, 'cou': 0.043478260869565216, 'rules': 0.043478260869565216}","{'hillary': 0.09090909090909091, 'watch': 0.045454545454545456, 'car': 0.045454545454545456, 'mayhem': 0.045454545454545456, '’': 0.045454545454545456}",0.053186655044555664
4,russian spring unveils new caoon series mocking us propaganda,1,russian spring unveils new caoon series mocking us propaganda,1,1,0.9775280898876404,"['donald trump deutsche bank did clintons ', 'repo 33 of jay z is dam to 200 million ', 'russia vows to expand black list of ', 'fox news all but ignores nationwide ', 'russian spring unveils new caoon series mocking us propaganda']","['israeli forces kill at least 16 palestinian ', '5 ways netflix tricks you into watching ', 'no charges but harsh criticism for ', 'at new york city ballet lacing up to ', 'no hours graduation ceremony for teen ']","{'donald': 0.03333333333333333, 'trump': 0.03333333333333333, 'deutsche': 0.03333333333333333, 'bank': 0.03333333333333333, 'clintons': 0.03333333333333333}","{'israeli': 0.043478260869565216, 'forces': 0.043478260869565216, 'kill': 0.043478260869565216, 'least': 0.043478260869565216, '16': 0.043478260869565216}",0.0617523193359375
5,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,0,0.972972972972973,"['senate passes bill to be give thousands ', 'late night writer s royal wedding is ', 'supreme cou to take hard look at paisan ', 'former student foundation after begging ', 'tennessee senate passes a bill to erect ']","['youtube ’ s neighbors send stirring ', 'republicans us marching with trump ', 'colbe s caoon trump gives the whca ', 'former plans accuses president of sexual ', 'designer of waterslide that decapitated ']","{'senate': 0.08, 'passes': 0.08, 'bill': 0.08, 'give': 0.04, 'thousands': 0.04}","{'trump': 0.09090909090909091, 'youtube': 0.045454545454545456, '’': 0.045454545454545456, 'neighbors': 0.045454545454545456, 'send': 0.045454545454545456}",0.05475950241088867
6,watch james corden get smashed in the face by a ball in slow motion,0,watch james corden get smashed in the face by a ball in slow motion,1,1,0.9479166666666666,"['former student is charged in killings ', 'senate cou pick who said planned parenthood ', 'trump claims bashes cnn buzzfeed over ', 'breaking clinton ’ s email narrative ', 'breaking clinton was this a coordinated ']","['try to keep calm but k pop band bts ', 'watch blue bid 000 on a time for donald ', 'former fbi deputy director andrew mccabe ', 'watch blue bid 000 on a new it s no ', 'watch blue bid 000 on a time to donald ']","{'breaking': 0.08695652173913043, 'clinton': 0.08695652173913043, 'former': 0.043478260869565216, 'student': 0.043478260869565216, 'charged': 0.043478260869565216}","{'watch': 0.1, 'blue': 0.1, 'bid': 0.1, '000': 0.1, 'time': 0.06666666666666667}",0.0696868896484375
7,black agenda radio for week of nov 14 2016,1,black agenda radio for week of nov 14 2016,1,1,0.9772727272727273,"['us insiders – not russia – leaked clinton ', 'how think tanks amplify corporate america ', 'ryan zinke and the tale of two fish ', 'no hours after raging of prison violence ', 'syrian warn us turkey can ’ t be <end> ']","['2 women accuse tom brokaw of sexual ', 'thousands travel home to ireland to ', 'syrian warn us turkey can ’ t be in ', 'u s hits chinese troops candidate for ', 'at least 5 dead in violent clashes ']","{'us': 0.07692307692307693, '–': 0.07692307692307693, 'insiders': 0.038461538461538464, 'russia': 0.038461538461538464, 'leaked': 0.038461538461538464}","{'2': 0.04, 'women': 0.04, 'accuse': 0.04, 'tom': 0.04, 'brokaw': 0.04}",0.08173775672912598
8,everyone got the pulse massacre story completely wrong,0,everyone got the pulse massacre story completely wrong,0,0,0.967391304347826,"['man dressed as elsa from frozen police ', 'teen uses s for secret message about ', 'man dies after getting head stuck in ', 'man dressed as elsa from frozen pushes ', 'teens who their sexuality have higher ']","['cnn contributor blames breitba white ', 'woman fired after off trump s sues ', 'syrian warn us turkey can ’ t be in ', 'ryan zinke and the tale of two fish ', 'energy update stargates are active ']","{'man': 0.13636363636363635, 'dressed': 0.09090909090909091, 'elsa': 0.09090909090909091, 'frozen': 0.09090909090909091, 'police': 0.045454545454545456}","{'cnn': 0.043478260869565216, 'contributor': 0.043478260869565216, 'blames': 0.043478260869565216, 'breitba': 0.043478260869565216, 'white': 0.043478260869565216}",0.05826282501220703
9,she staed a suicide prevention site at age 15 it s still going strong,0,she staed a suicide prevention site at age 15 it s still going strong,0,0,0.9759036144578314,"['2 senate democrats vow to confirm climate ', 'new stephon clark videos show officers ', 'gop congresswoman blames deep state ', 'repo fbi who said facial recognition ', 'white house releases for deep cuts ']","['video oklahoma community gathers to ', 'breaking clinton “ “ we have more say ', 'a different kind of gender gap 7 places ', 'breaking clinton “ we re have to head ', 'video shows u s order in former us ']","{'deep': 0.07407407407407407, '2': 0.037037037037037035, 'senate': 0.037037037037037035, 'democrats': 0.037037037037037035, 'vow': 0.037037037037037035}","{'“': 0.12, 'video': 0.08, 'breaking': 0.08, 'clinton': 0.08, 'oklahoma': 0.04}",0.08308649063110352
10,congressman proposes national surveillance program after trump meeting the new york times,1,congressman proposes national surveillance program after trump meeting the new york times,1,1,0.9605263157894737,"['fox news said to settle group of lawsuits ', 'top us general pleads with troops not ', 'hey trump suppoers robe de niro is ', 'russia hands us its response to john ', 'republicans now marching with trump ']","['france agonizes over whether truck ', 'meditation is like a human s way of ', 'these old marijuana movie posters may ', 'syrian army wins control over terrorists ', 'neil young chimes in on a crosby stills ']","{'us': 0.08, 'trump': 0.08, 'fox': 0.04, 'news': 0.04, 'said': 0.04}","{'france': 0.045454545454545456, 'agonizes': 0.045454545454545456, 'whether': 0.045454545454545456, 'truck': 0.045454545454545456, 'meditation': 0.045454545454545456}",0.06703925132751465
11,gloomy days in the oil patch but some see a glimmer of light the new york times,1,gloomy days in the oil patch but some see a glimmer of light the new york times,1,1,0.9682539682539683,"['former student accuses its of sexual ', 'u s election cycle offers kremlin a ', 'former student accuses its in killings ', 'former student accuses trump in killings ', 'gloomy days in the oil patch but some see a glimmer of light the new york times']","['at warby parker a sense of exclusion ', 'former student is charged in killings ', 'former student accuses its in sexual ', 'e p a workers try to block pruitt in ', 'at ampt cellphone users unable to call ']","{'former': 0.10714285714285714, 'student': 0.10714285714285714, 'accuses': 0.10714285714285714, 'killings': 0.07142857142857142, 'sexual': 0.03571428571428571}","{'former': 0.08695652173913043, 'student': 0.08695652173913043, 'warby': 0.043478260869565216, 'parker': 0.043478260869565216, 'sense': 0.043478260869565216}",0.040311336517333984
12,prescription drugs time to “just say no”,1,prescription drugs time to “just say no”,0,0,0.963855421686747,"['white house preps spending cuts bill ', 'stephen colbe wants mueller to give ', 'neil young doesn t mince words about ', 'white house knew about rob poer allegations ', 'colbe mocks trump for failing to stand ']","['alarmist repo eah to lose 67 of wildlife ', 'comedian chuck mccann the voice of ', 'russia vows to expand black list of ', 'colbe mocks giuliani trump s former ', 'iraqi army discovers us made missiles ']","{'white': 0.07692307692307693, 'house': 0.07692307692307693, 'colbe': 0.07692307692307693, 'preps': 0.038461538461538464, 'spending': 0.038461538461538464}","{'alarmist': 0.038461538461538464, 'repo': 0.038461538461538464, 'eah': 0.038461538461538464, 'lose': 0.038461538461538464, '67': 0.038461538461538464}",0.05995321273803711
13,pop warner is facing a class action lawsuit over concussions the new york times,1,pop warner is facing a class action lawsuit over concussions the new york times,1,0,0.974025974025974,"['robbin season s true criminal is revealed ', 'former student accuses in black killings ', 'michael b jordan to produce film about ', 'no or graduation ceremony for teen ', 'michael cohen repoedly paid 600 000 ']","['weird al yankovic just made history ', 'russia hands us its behind response ', 'free energy eah battery based on the ', 'republicans now marching with trump ', 'republicans us marching with trump ']","{'michael': 0.08695652173913043, 'robbin': 0.043478260869565216, 'season': 0.043478260869565216, 'true': 0.043478260869565216, 'criminal': 0.043478260869565216}","{'us': 0.09090909090909091, 'republicans': 0.09090909090909091, 'marching': 0.09090909090909091, 'trump': 0.09090909090909091, 'weird': 0.045454545454545456}",0.055129051208496094
14,the real revolution is already here,1,the real revolution is already here,0,0,0.9863013698630136,"['here are the movies coming to netflix ', 'the nba shows its love after after ', 'the nba shows its love for after wife ', 'trump fumes over michael cohen raid ', 'the bachelorette bios are here and ']","['trump tells tells autism immigrants ', 'trump attacks mccabe comey and their ', 'trump tells tells media to win fbi ', 'trump tells 57 000 honduran immigrants ', 'trump says he s longer deal on us iran ']","{'nba': 0.11764705882352941, 'shows': 0.11764705882352941, 'love': 0.11764705882352941, 'movies': 0.058823529411764705, 'coming': 0.058823529411764705}","{'trump': 0.18518518518518517, 'tells': 0.18518518518518517, 'immigrants': 0.07407407407407407, 'autism': 0.037037037037037035, 'attacks': 0.037037037037037035}",0.2169628143310547
15,in chicago teachers and black lives matter activists paner to build a bigger movement,1,in chicago teachers and black lives matter activists paner to build a bigger movement,0,0,0.9777777777777777,"['‘ jeopardy ’ champion dies before she ', 'repo fbi director order would have ', 'white house preps spending cuts bill ', 'white house preps spending cuts cuts ', 'try to keep calm but k pop band bts ']","['repo 33 of jay z ’ s ‘ million ’ asylum ', '‘ things ’ fans will be able to visit ', 'new york times calls on gop to protect ', 'repo fbi can ’ t have when us riots ', 'repo fbi director order facial recognition ']","{'cuts': 0.10344827586206896, 'white': 0.06896551724137931, 'house': 0.06896551724137931, 'preps': 0.06896551724137931, 'spending': 0.06896551724137931}","{'’': 0.125, 'repo': 0.09375, '‘': 0.0625, 'fbi': 0.0625, '33': 0.03125}",0.09119725227355957
16,victoria beckham and shaq spoof sharknado in the weirdest reboot yet,0,victoria beckham and shaq spoof sharknado in the weirdest reboot yet,0,0,0.9659090909090909,"['dominates michigan in ncaa championship ', 'republicans head into mid terms with ', 'man who dressed up as white house easter ', 'top post nominee ‘ ’ at for christian ', 'texas education board votes to create ']","['syrian warn us turkey can ’ t be <end> ', 'privatize to get rid of passpos and ', 'former plans accuses president of sexual ', '13 reasons why goes beyond the tapes ', 'rosenstein to republicans doj ‘ will ']","{'dominates': 0.041666666666666664, 'michigan': 0.041666666666666664, 'ncaa': 0.041666666666666664, 'championship': 0.041666666666666664, 'republicans': 0.041666666666666664}","{'syrian': 0.043478260869565216, 'warn': 0.043478260869565216, 'us': 0.043478260869565216, 'turkey': 0.043478260869565216, '’': 0.043478260869565216}",0.06296730041503906
17,re trump tells media secret obama story behind 2016 election,1,re trump tells media secret obama story behind 2016 election,1,1,0.978494623655914,"['no jail time for walk of fame trump ', 'fbi calls on hillary clinton ’ s campaign ', 'michael moore bringing trump hate to ', 're trump tells media secret obama story behind 2016 election', 'russia vows to expand black list of ']","['snowden reveals how easy it is to hack ', 'gop to doug lamborn thrown off the ', 'michael moore admits no women ever ', 'gop who thinks he their their no after ', 'nation ’ s top lawyers have had enough ']","{'trump': 0.1, 'jail': 0.03333333333333333, 'time': 0.03333333333333333, 'walk': 0.03333333333333333, 'fame': 0.03333333333333333}","{'gop': 0.1, 'snowden': 0.05, 'reveals': 0.05, 'easy': 0.05, 'hack': 0.05}",0.08045411109924316
