index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate,time to generate sentences,training time
1,well i m gonna finish my bath now have a good fine night,0,well i m gonna finish my bath now have a good fine night,1,1,0.972972972972973,"['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ', 'you are being contacted by our dating service by someone you know to find out who it is call from ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg ', 'i m going 4 to my phone is available in bus different no a bit go <end> ']","['i m going 4 e lunch today i m blogging at magicalsongs blogspot com <end> ', 'i m in inside office still filling forms don know where to the box com <end> ', 'i m home ard 4 e buy i m blogging at magicalsongs blogspot com <end> ', 'i m going to room <end> ', 'i m going 4 to my phone is available on mon <end> ']","{'know': 0.09615384615384616, 'send': 0.057692307692307696, 'inside': 0.038461538461538464, 'office': 0.038461538461538464, 'still': 0.038461538461538464}","{'going': 0.09090909090909091, '4': 0.09090909090909091, 'com': 0.09090909090909091, 'e': 0.06060606060606061, 'blogging': 0.06060606060606061}",0.07724618911743164,199.34559679031372,9806.131328582764
2,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,0,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,1,1,1.0,"['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg ', 'i m going to room but i m really too can reply go to no you can go stop sms for a visit <end> ']","['i m in inside office still filling forms don know where to the box com <end> ', 'i m going to room but i m going n watch kavalan in a few minutes <end> ', 'i m going 4 e lunch my doc buy my sis got 1 hr oni <end> ', 'i m going to room <end> ', 'i m going 4 to my phone is available in bus different no a bit go <end> ']","{'know': 0.09090909090909091, 'chat': 0.06060606060606061, 'stop': 0.06060606060606061, 'send': 0.06060606060606061, 'u': 0.06060606060606061}","{'going': 0.1388888888888889, 'room': 0.05555555555555555, '4': 0.05555555555555555, 'inside': 0.027777777777777776, 'office': 0.027777777777777776}",0.027086257934570312,200.5308916568756,9806.131328582764
10,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone,1,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone,0,0,1.0,"['i m home ard 4 e buy i m blogging <end> ', 'shall i bring us a bottle of wine to keep us amused only joking iu ll bring one anyway', 'i m going 4 to my phone is available in bus different no a bit go to them 3 i m not sure if u get ', 'i m going 4 e lunch today i m blogging at magicalsongs blogspot com <end> ', 'i m going to room but i m going n watch kavalan in a few minutes <end> ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'going': 0.0851063829787234, '4': 0.06382978723404255, 'e': 0.0425531914893617, 'blogging': 0.0425531914893617, 'bring': 0.0425531914893617}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.009058713912963867,199.3902826309204,9806.131328582764
14,lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,0,lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,1,1,1.0,"['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ']","['i m in inside office still filling forms don know where to the box com <end> ', 'i m going 4 e lunch my dear going n liao <end> ', 'no i m not having my tape and the hospital <end> ', 'i m in chennai velachery <end> ', 'no i decided that only people who it s not giving you in my open school and the most of stuff and ']","{'know': 0.1, 'inside': 0.06, 'office': 0.06, 'still': 0.06, 'filling': 0.06}","{'going': 0.07692307692307693, 'inside': 0.038461538461538464, 'office': 0.038461538461538464, 'still': 0.038461538461538464, 'filling': 0.038461538461538464}",0.034023284912109375,190.39081525802612,9806.131328582764
20,winner as a valued network customer you hvae been selected to receive a aps900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,1,winner as a valued network customer you hvae been selected to receive a aps900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,1,1,0.9791666666666666,"['you are being contacted by our dating service by someone you know to find out who it is call from ', 'i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg ', 'i m going to room but i m really too can reply go to no you can go stop sms for a visit <end> ']","['i m home ard 4 e buy u still here <end> ', 'i m going 4 e lunch that s true too ex dat i m not <end> ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i m going 4 to my phone is available in bus different no a bit go to them 3 i m not babysitting on ', 'i m going 4 e lunch that s true too <end> ']","{'know': 0.1111111111111111, 'find': 0.07407407407407407, 'u': 0.07407407407407407, 'go': 0.07407407407407407, 'contacted': 0.037037037037037035}","{'4': 0.09523809523809523, 'e': 0.07142857142857142, 'going': 0.07142857142857142, 'still': 0.047619047619047616, 'lunch': 0.047619047619047616}",0.03848838806152344,189.72134518623352,9806.131328582764
26,sorry man my stash ran dry last night and i can t pick up more until sunday,0,sorry man my stash ran dry last night and i can t pick up more until sunday,0,0,1.0,"['i m going out to buy mum s present ar <end> ', 'no i decided that only people who it s not in our tampa and i had to apologise cali is to pay and ', 'i m going 4 e lunch my dear going n liao <end> ', 'i m going to room but i m really too can i need to send a message to your phone now <end> ', 'i m going to room but i m going n watch kavalan in a few minutes <end> ']",['i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],"{'going': 0.18181818181818182, 'n': 0.06060606060606061, 'room': 0.06060606060606061, 'buy': 0.030303030303030304, 'mum': 0.030303030303030304}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.00942850112915039,190.30757808685303,9806.131328582764
28,no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,0,no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,1,1,1.0,"['i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ']","['i m home ard 4 e buy u still here <end> ', 'i m going 4 to my phone is available in bus different no a bit go <end> ', 'i m going 4 e lunch today i m going to go on a bit <end> ', 'i m going to room but i m really too can do it a tactful way to get it <end> ', 'i m at home now lei <end> ']","{'know': 0.10810810810810811, 'chat': 0.08108108108108109, 'u': 0.05405405405405406, 'send': 0.05405405405405406, 'inside': 0.05405405405405406}","{'going': 0.12903225806451613, '4': 0.0967741935483871, 'home': 0.06451612903225806, 'e': 0.06451612903225806, 'bit': 0.06451612903225806}",0.0279388427734375,249.55131649971008,9806.131328582764
32,captain vijaykanth is doing comedy in captain tv he is drunken,0,captain vijaykanth is doing comedy in captain tv he is drunken,1,0,0.96875,"['i m going 4 e lunch now <end> ', 'i m home ard 4 e buy u still here <end> ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ', 'no i decided that only people who love u know if he s all other day i do not sure how is all night ', 'i m going to room <end> ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'going': 0.07407407407407407, '4': 0.07407407407407407, 'e': 0.07407407407407407, 'u': 0.07407407407407407, 'decided': 0.07407407407407407}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.008523225784301758,199.46936583518982,9806.131328582764
40,yeah i can still give you a ride,0,yeah i can still give you a ride,0,0,1.0,"['no i decided that only people who it s not giving you in south and medicine i think if you want a ', 'no i decided that only people who it s not in our tampa and i had to apologise cali is to pay and ', 'i m home ard 4 e buy u still here <end> ', 'i m going to room my home <end> ', 'i m going 4 e lunch now <end> ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'decided': 0.07407407407407407, 'people': 0.07407407407407407, 'home': 0.07407407407407407, '4': 0.07407407407407407, 'e': 0.07407407407407407}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.007524967193603516,190.96350932121277,9806.131328582764
45,i could ask carlos if we could get more if anybody else can chip in,0,i could ask carlos if we could get more if anybody else can chip in,1,1,0.972972972972973,"['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ', 'i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg ', 'i m going to room but i m really too can reply go to no you can go stop sms for a visit <end> ', 'i m going to room but i m really too can it be a little time can to pay and rent is not cut <end> ']","['i m going to room but i m really too can do it a tactful way to get it <end> ', 'i m home ard 4 e buy i m blogging <end> ', 'i m home ard 4 lunch cos i m blogging at magicalsongs blogspot com <end> ', 'i m in inside office still filling forms don know where to the box com <end> ', 'i m going 4 e lunch that s true not romantic dat i m not <end> ']","{'know': 0.07317073170731707, 'stop': 0.04878048780487805, 'send': 0.04878048780487805, 'u': 0.04878048780487805, 'going': 0.04878048780487805}","{'4': 0.08333333333333333, 'going': 0.05555555555555555, 'home': 0.05555555555555555, 'ard': 0.05555555555555555, 'e': 0.05555555555555555}",0.027541399002075195,190.5105333328247,9806.131328582764
