index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate,time to generate sentences,training time
0,windtalkers celebrates the human spirit and packs an emotional wallop,1,windtalkers celebrates the human spirit and packs an emotional wallop,1,1,1.0,"['a movie that so lovingly and present the one of screen ', 'the film s so uninspiring that covers a lot of the ', 'the film is a primer on its observation and fills ', 'a movie that so of the highest and the of povey to ', 'the film s so of a direction and just enough charm ']","['the film s so uninspiring that could a gorgeously ', 'the film is a primer on its own animated tv in which ', 'the film is a primer on sentence of the film a movie ', 'a movie that so of the energy in a multi million dollar ', 'a movie that one would be profane politically the ']","{'lovingly': 0.06666666666666667, 'present': 0.06666666666666667, 'one': 0.06666666666666667, 'screen': 0.06666666666666667, 'uninspiring': 0.06666666666666667}","{'primer': 0.125, 'uninspiring': 0.0625, 'could': 0.0625, 'gorgeously': 0.0625, 'animated': 0.0625}",0.019745826721191406,128.16639876365662,8788.467265605927
1,filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water,0,filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water,0,0,0.9411764705882353,"['the film has the perfect characters are too much but ', 'the film is too many out of these guys are john in ', 'the film is so consistently unimaginative that doesn ', 'the film has been in years old but director s a bad ', 'the film has the perfect characters are not to give ']","['the film is a primer on the beach with humor and humor ', 'the film has a laundry exercise in camera work but ', 'the film has a laundry exercise in camera with and ', 'the film has the perfect characters are not much of ', 'the film is so many of the time it s altman esque ']","{'perfect': 0.13333333333333333, 'characters': 0.13333333333333333, 'much': 0.06666666666666667, 'many': 0.06666666666666667, 'guys': 0.06666666666666667}","{'humor': 0.1111111111111111, 'laundry': 0.1111111111111111, 'exercise': 0.1111111111111111, 'camera': 0.1111111111111111, 'primer': 0.05555555555555555}",0.028963327407836914,112.09012842178345,8788.467265605927
2,what staed out as a taut contest of wills between bacon and theron deteriorates into a protracted and borderline silly chase sequence,0,what staed out as a taut contest of wills between bacon and theron deteriorates into a protracted and borderline silly chase sequence,1,1,0.9767441860465116,"['the film is a primer on the beach with humor and american ', 'the film is so of the 70s games film ever made about ', 'it s a very tasteful to look at the most were what ', 'the film is a primer on the beach with humor and humor ', 'the film is a primer on its own school comedy with ']","['the film is a primer on sentence of the film a movie ', 'the film is a primer on its own animated tv director ', 'the film is so of the 70s or film in which it s performance ']","{'primer': 0.17647058823529413, 'humor': 0.17647058823529413, 'beach': 0.11764705882352941, 'american': 0.058823529411764705, '70s': 0.058823529411764705}","{'primer': 0.25, 'sentence': 0.125, 'animated': 0.125, 'tv': 0.125, 'director': 0.125}",0.02147698402404785,119.05921912193298,8788.467265605927
3,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,0,0.9782608695652174,"['the film is so of the 70s or film in which it s performance ', 'the film is so many of its own in reality tv in which ', 'the film is a primer on its own animated tv in which ', 'the film is a primer on its own animated tv director ', 'the film is a contrivance as aificial as the film ']","['the film is a primer on its own it s a of above its ', 'the film is a primer on its own it fills a good movie ', 'the film is a primer on the beach with humor and humor ', 'the film is so many that it wants to look like it ']","{'tv': 0.21428571428571427, 'primer': 0.14285714285714285, 'animated': 0.14285714285714285, '70s': 0.07142857142857142, 'performance': 0.07142857142857142}","{'primer': 0.25, 'humor': 0.16666666666666666, 'fills': 0.08333333333333333, 'good': 0.08333333333333333, 'beach': 0.08333333333333333}",0.03233909606933594,116.2806670665741,8788.467265605927
4,sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play,1,sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play,0,0,0.9736842105263158,"['the film has a laundry exercise in camera with and ', 'the film is too many or even video it s got a movie ', 'the film is too many or even through the movie s of ', 'the film is too many or even through the movie s mid ', 'the film is too many out of these or historical moments ']","['the film is a primer on its own school comedy with ', 'the film is a primer on its own it s a rewarding balance ', 'the film has a laundry exercise in camera and that ', 'the film is a primer on its own it s a of healthy ', 'the film is so of those films try to be missing it ']","{'many': 0.26666666666666666, 'even': 0.2, 'laundry': 0.06666666666666667, 'exercise': 0.06666666666666667, 'camera': 0.06666666666666667}","{'primer': 0.21428571428571427, 'school': 0.07142857142857142, 'comedy': 0.07142857142857142, 'rewarding': 0.07142857142857142, 'balance': 0.07142857142857142}",0.023987293243408203,114.18307876586914,8788.467265605927
5,it s difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,0,it s difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,0,0,0.95,"['the film is so of the 70s or film in which it s performance ', 'the film is so many that its through the film s mid ', 'the film is a primer on its own animated tv in which ', 'the film is a primer on sentence of the film a movie ', 'the film is so many of its own in reality tv and so ']","['it s a very tasteful to look at the most were what ', 'the film is a primer on its observation and fills ', 'the film is a primer on the beach with humor and humor ', 'the film has a number of themes a complex on a good ']","{'many': 0.16666666666666666, 'primer': 0.16666666666666666, 'tv': 0.16666666666666666, '70s': 0.08333333333333333, 'performance': 0.08333333333333333}","{'primer': 0.15384615384615385, 'humor': 0.15384615384615385, 'tasteful': 0.07692307692307693, 'look': 0.07692307692307693, 'observation': 0.07692307692307693}",0.025178194046020508,117.20306921005249,8788.467265605927
6,feels like six different movies fighting each other for attention,0,feels like six different movies fighting each other for attention,0,0,0.9807692307692307,"['a movie that one would have been seen the performers ', 'a movie that rare into a man who can t seen it s not ', 'a movie that rare into a man who can not mount a buyer ', 'a movie that one would be profane politically the ', 'the film is a primer on its own it feels like a lot ']","['a movie that so of the highest and the of povey to ', 'the film is a primer on its own and director in years ', 'the film has a number of themes a house that a good ', 'the film is a primer on its own it s a of above its ', 'the film is a primer on its own and fills one of visual ']","{'one': 0.10526315789473684, 'would': 0.10526315789473684, 'seen': 0.10526315789473684, 'rare': 0.10526315789473684, 'man': 0.10526315789473684}","{'primer': 0.21428571428571427, 'highest': 0.07142857142857142, 'povey': 0.07142857142857142, 'director': 0.07142857142857142, 'years': 0.07142857142857142}",0.03902935981750488,126.85733771324158,8788.467265605927
7,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,1,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,0,0,1.0,"['the movie has been more than a fair amount of movie ', 'the movie has been in this one of human guilt but ', 'the movie has been a huge that the film it would have ', 'the movie has been a huge that the movie it would ', 'the movie has been in this history but director michael ']","['a movie that harps on and a fresh by a movie that ', 'the movie has a laundry of a movie that you can hear ', 'the movie has the perfect of water as a great film ', 'the movie has the perfect of s best as a couple of ', 'the movie has a laundry of the film s best and his ']","{'huge': 0.16666666666666666, 'would': 0.16666666666666666, 'fair': 0.08333333333333333, 'amount': 0.08333333333333333, 'one': 0.08333333333333333}","{'laundry': 0.16666666666666666, 'perfect': 0.16666666666666666, 'best': 0.16666666666666666, 'harps': 0.08333333333333333, 'fresh': 0.08333333333333333}",0.029189586639404297,123.36492252349854,8788.467265605927
8,this is as powerful a set of evidence as you ll ever find of why a matters and how it can resonate far beyond museum walls and through to the most painfully marginal lives,1,this is as powerful a set of evidence as you ll ever find of why a matters and how it can resonate far beyond museum walls and through to the most painfully marginal lives,1,1,0.9811320754716981,"['the film is so of those who try to look away from ', 'the film has a laundry cast of war shocomings but ', 'the film has a laundry cast of human comedy with a ', 'the film has a laundry exercise in camera with its ', 'the film has a laundry cast of human business but ']","['the film has the perfect characters are not to compromise ', 'the film has been a huge fan of dickens in which is ']","{'laundry': 0.2222222222222222, 'cast': 0.16666666666666666, 'human': 0.1111111111111111, 'try': 0.05555555555555555, 'look': 0.05555555555555555}","{'perfect': 0.16666666666666666, 'characters': 0.16666666666666666, 'compromise': 0.16666666666666666, 'huge': 0.16666666666666666, 'fan': 0.16666666666666666}",0.019191741943359375,109.85992360115051,8788.467265605927
9,pretty much sucks but has a funny moment or two,0,pretty much sucks but has a funny moment or two,0,0,0.9824561403508771,"['a movie that one would be profane politically the ', 'pretty much sucks but has a funny moment or two', 'the film is a primer on sentence of the film a movie ', 'the film is a primer on its own animated tv in which ', 'a movie that one would have been seen the performers ']","['the film is a primer on its own in town with sensitivity ', 'the film is a primer on its own his director in its ', 'the film is a solid amount of brooding and the price ', 'it s a very tasteful rock and roll movie you could ', 'a movie that one of the best examples of a page to ']","{'one': 0.10526315789473684, 'would': 0.10526315789473684, 'primer': 0.10526315789473684, 'profane': 0.05263157894736842, 'politically': 0.05263157894736842}","{'primer': 0.11764705882352941, 'town': 0.058823529411764705, 'sensitivity': 0.058823529411764705, 'director': 0.058823529411764705, 'solid': 0.058823529411764705}",0.03866124153137207,126.67260026931763,8788.467265605927
10,topkapi this is not,0,topkapi this is not,0,0,0.9836065573770492,"['the film s blatant is one reason it s just too long ', 'a film that will enthrall the whole thing and just ', 'the film s so predictable and are rolling over the ', 'the film is a mediocre movie tale about a great movie ', 'the film s so anti mischievous dance tale from the ']","['the film s visceral and predictable above with a shots ', 'the film s visceral and predictable above with a performance ', 'the film is a solid album of grace and direction over ', 'the film is a primer on its own his director director ', 'the film is a primer on its head and laughter at its ']","{'tale': 0.125, 'blatant': 0.0625, 'one': 0.0625, 'reason': 0.0625, 'long': 0.0625}","{'visceral': 0.125, 'predictable': 0.125, 'primer': 0.125, 'director': 0.125, 'shots': 0.0625}",0.14432334899902344,126.94357299804688,8788.467265605927
11,belongs to daniel day lewis as much as it belongs to main scorsese it s a memorable performance in a big brassy disturbing unusual and highly successful film,1,belongs to daniel day lewis as much as it belongs to main scorsese it s a memorable performance in a big brassy disturbing unusual and highly successful film,1,1,0.9565217391304348,"['the film has the heavy handed that takes up with a ', 'the film has a laundry exercise in camera that you ', 'the film is so of those films try to be missing from ', 'the film is so of those who try to look at but it ', 'the film is so of those films try to be missing it ']","['the film is too many or even putting the toilet seat ', 'the film has the perfect characters are not to lend ', 'the film is too many out of these guys are john in ', 'the film is so consistently unimaginative that doesn ', 'the film is too many out of these or historical moments ']","{'try': 0.21428571428571427, 'films': 0.14285714285714285, 'missing': 0.14285714285714285, 'heavy': 0.07142857142857142, 'handed': 0.07142857142857142}","{'many': 0.1875, 'even': 0.0625, 'putting': 0.0625, 'toilet': 0.0625, 'seat': 0.0625}",0.020320415496826172,111.20707249641418,8788.467265605927
