index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate,time to generate sentences,training time
0,well i m gonna finish my bath now have a good fine night,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,1.0,"['i m in inside office still filling forms don know where to the box com <end> ', 'no i decided that only people who it s not in our tampa and i had to apologise cali is to pay and ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see the ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.010255098342895508,206.06176090240479,10633.645747184753
2,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,1.0,"['i m in inside office still filling forms don know where to the box com <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see the ']",['i m in inside office still filling forms don know where to the box com txt chat 2 stop txt stopcs '],"{'inside': 0.09090909090909091, 'office': 0.09090909090909091, 'still': 0.09090909090909091, 'filling': 0.09090909090909091, 'forms': 0.09090909090909091}","{'txt': 0.14285714285714285, 'inside': 0.07142857142857142, 'office': 0.07142857142857142, 'still': 0.07142857142857142, 'filling': 0.07142857142857142}",0.01055455207824707,205.75210666656494,10633.645747184753
8,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone,1,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,1.0,"['no i decided that only people who it s not giving you in south and medicine i think if you are a ', 'i m going to room my home <end> ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see the ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the box coz heaos soed now send a b or ']",['i m in inside office still filling forms don know where to the box com txt chat 2 stop txt stopcs '],"{'inside': 0.06521739130434782, 'office': 0.06521739130434782, 'still': 0.06521739130434782, 'filling': 0.06521739130434782, 'forms': 0.06521739130434782}","{'txt': 0.14285714285714285, 'inside': 0.07142857142857142, 'office': 0.07142857142857142, 'still': 0.07142857142857142, 'filling': 0.07142857142857142}",0.008057355880737305,208.0237157344818,10633.645747184753
9,lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,1.0,"['i m home ard 4 e buy i m blogging <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m going 4 e lunch that s true not romantic dat i m not <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m home ard 4 e buy u still here <end> ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'4': 0.06521739130434782, 'e': 0.06521739130434782, 'still': 0.06521739130434782, 'home': 0.043478260869565216, 'ard': 0.043478260869565216}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.009209871292114258,215.06950736045837,10633.645747184753
11,winner as a valued network customer you hvae been selected to receive a aps900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,1,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,1.0,"['i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the box com <end> ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'inside': 0.07407407407407407, 'office': 0.07407407407407407, 'still': 0.07407407407407407, 'filling': 0.07407407407407407, 'forms': 0.07407407407407407}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.008287668228149414,217.66566681861877,10633.645747184753
13,sorry man my stash ran dry last night and i can t pick up more until sunday,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,1,0.8888888888888888,"['i m in inside office still filling forms don know where to the box com txt chat 2 stop texts call ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ']",['i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong '],"{'inside': 0.07575757575757576, 'office': 0.07575757575757576, 'still': 0.07575757575757576, 'filling': 0.07575757575757576, 'forms': 0.07575757575757576}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.008929967880249023,220.68246293067932,10633.645747184753
14,no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,0,no i didn t mean to post it i wrote it and let you know what i can do it if you can do it s more ,0,0,0.9,"['i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the box com <end> ', 'i m at home now lei <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'no i decided that only people who it s not giving you in south and medicine i think if you want a ']",['i m in inside office still filling forms don know where to the box com txt chat 2 stop texts call '],"{'inside': 0.06976744186046512, 'office': 0.06976744186046512, 'still': 0.06976744186046512, 'filling': 0.06976744186046512, 'forms': 0.06976744186046512}","{'inside': 0.07142857142857142, 'office': 0.07142857142857142, 'still': 0.07142857142857142, 'filling': 0.07142857142857142, 'forms': 0.07142857142857142}",0.009583473205566406,286.49419236183167,10633.645747184753
18,captain vijaykanth is doing comedy in captain tv he is drunken,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.9090909090909091,"['no i decided that only people who it s not giving you in south and medicine i think if you are a ', 'i m in inside office still filling forms don know where to the box com <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'no i decided that only people who it s not giving you in my hea did you know a little nasty cough ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'know': 0.08333333333333333, 'inside': 0.0625, 'office': 0.0625, 'still': 0.0625, 'filling': 0.0625}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.009354352951049805,217.38197827339172,10633.645747184753
21,yeah i can still give you a ride,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.8888888888888888,"['i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the box com <end> ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'inside': 0.07407407407407407, 'office': 0.07407407407407407, 'still': 0.07407407407407407, 'filling': 0.07407407407407407, 'forms': 0.07407407407407407}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.01023101806640625,217.3175117969513,10633.645747184753
22,i could ask carlos if we could get more if anybody else can chip in,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.875,"['i m in inside office still filling forms don know where to the box com txt chat 2 stop texts call ', 'i m in inside office still filling forms don know where to the box com <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see the ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ']",['i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],"{'inside': 0.08333333333333333, 'office': 0.08333333333333333, 'still': 0.08333333333333333, 'filling': 0.08333333333333333, 'forms': 0.08333333333333333}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.009043455123901367,217.42135572433472,10633.645747184753
